Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;6,800.00;6,925.00;6,925.00;6,775.00;10.29M;-1.09%
07/30/2025;6,875.00;7,000.00;7,000.00;6,850.00;7.26M;-1.08%
07/29/2025;6,950.00;7,050.00;7,050.00;6,950.00;6.28M;-1.07%
07/28/2025;7,025.00;7,025.00;7,075.00;6,975.00;8.95M;2.18%
07/25/2025;6,875.00;6,950.00;6,975.00;6,850.00;6.40M;-0.72%
07/24/2025;6,925.00;7,200.00;7,275.00;6,900.00;13.90M;-3.48%
07/23/2025;7,175.00;7,100.00;7,200.00;7,025.00;29.27M;2.87%
07/22/2025;6,975.00;6,750.00;7,025.00;6,725.00;26.41M;3.33%
07/21/2025;6,750.00;6,825.00;6,850.00;6,725.00;12.52M;-1.10%
07/18/2025;6,825.00;6,800.00;6,875.00;6,725.00;14.71M;0.00%
07/17/2025;6,825.00;6,975.00;6,975.00;6,800.00;9.02M;-1.44%
07/16/2025;6,925.00;7,075.00;7,100.00;6,900.00;6.27M;-1.42%
07/15/2025;7,025.00;6,975.00;7,050.00;6,900.00;5.93M;1.44%
07/14/2025;6,925.00;7,000.00;7,075.00;6,925.00;6.58M;-1.07%
07/11/2025;7,000.00;7,000.00;7,100.00;6,975.00;6.52M;0.36%
07/10/2025;6,975.00;6,875.00;7,050.00;6,875.00;5.41M;1.82%
07/09/2025;6,850.00;6,900.00;6,900.00;6,825.00;7.96M;-0.72%
07/08/2025;6,900.00;6,950.00;7,000.00;6,875.00;2.95M;-0.72%
07/07/2025;6,950.00;7,000.00;7,025.00;6,825.00;5.02M;-0.71%
07/04/2025;7,000.00;6,925.00;7,075.00;6,900.00;5.26M;1.08%
07/03/2025;6,925.00;6,750.00;7,025.00;6,725.00;14.47M;3.36%
07/02/2025;6,700.00;6,750.00;6,800.00;6,650.00;6.62M;-0.37%
07/01/2025;6,725.00;6,800.00;6,825.00;6,700.00;6.10M;-0.37%
06/30/2025;6,750.00;6,700.00;6,800.00;6,700.00;7.30M;0.75%
