Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,110;1,110;1,140;1,090;52.68M;0.45%
07/30/2025;1,105;1,140;1,145;1,100;45.57M;-2.21%
07/29/2025;1,130;1,145;1,160;1,110;86.81M;-2.16%
07/28/2025;1,155;1,170;1,215;1,150;41.38M;-2.12%
07/25/2025;1,180;1,210;1,230;1,180;34.10M;-0.84%
07/24/2025;1,190;1,235;1,250;1,175;98.26M;-2.86%
07/23/2025;1,225;1,105;1,270;1,100;352.09M;12.90%
07/22/2025;1,085;1,010;1,085;1,010;151.73M;8.50%
07/21/2025;1,000;975;1,010;975;33.78M;2.56%
07/18/2025;975;995;1,005;975;18.52M;-2.01%
07/17/2025;995;990;1,000;980;13.10M;0.51%
07/16/2025;990;990;1,005;990;10.68M;0.00%
07/15/2025;990;985;995;970;18.15M;0.51%
07/14/2025;985;1,005;1,010;970;21.17M;-1.99%
07/11/2025;1,005;1,020;1,035;1,000;27.18M;-1.47%
07/10/2025;1,020;960;1,030;960;36.26M;6.81%
07/09/2025;955;955;965;940;4.79M;0.53%
07/08/2025;950;935;960;935;7.14M;1.60%
07/07/2025;935;960;965;930;10.79M;-2.60%
07/04/2025;960;970;970;950;7.59M;-0.52%
07/03/2025;965;925;970;920;24.27M;4.32%
07/02/2025;925;985;990;920;54.96M;-6.09%
07/01/2025;985;1,000;1,010;980;22.62M;-1.50%
06/30/2025;1,000;1,005;1,010;995;10.44M;0.50%
06/26/2025;995;995;1,005;985;10.29M;0.51%
06/25/2025;990;1,030;1,035;990;28.15M;-2.94%
06/24/2025;1,020;1,010;1,045;1,005;29.23M;2.51%
06/23/2025;995;1,020;1,020;990;32.70M;-2.45%
06/20/2025;1,020;1,005;1,020;965;39.81M;1.49%
06/19/2025;1,005;1,035;1,035;990;23.59M;-2.90%
06/18/2025;1,035;1,020;1,035;990;35.83M;2.48%
06/17/2025;1,010;1,025;1,035;1,010;12.17M;-0.98%
06/16/2025;1,020;985;1,045;985;59.66M;3.55%
06/13/2025;985;985;1,005;975;56.14M;-3.43%
06/12/2025;1,020;1,030;1,040;1,010;32.44M;-0.49%
06/11/2025;1,025;1,015;1,030;1,010;28.14M;1.49%
06/10/2025;1,010;1,030;1,035;1,005;40.14M;-1.94%
06/05/2025;1,030;1,070;1,070;1,025;45.09M;-2.83%
06/04/2025;1,060;1,030;1,070;1,000;99.16M;4.43%
06/03/2025;1,015;1,040;1,045;1,005;26.88M;-1.93%
06/02/2025;1,035;1,035;1,065;1,015;49.58M;0.49%
05/28/2025;1,030;1,080;1,100;1,030;65.59M;-4.19%
05/27/2025;1,075;1,090;1,100;1,055;51.56M;0.94%
05/26/2025;1,065;1,085;1,090;1,045;44.39M;-1.39%
05/23/2025;1,080;1,095;1,105;1,065;51.88M;-1.37%
05/22/2025;1,095;1,090;1,120;1,065;82.81M;0.46%
05/21/2025;1,090;1,000;1,100;990;152.27M;10.10%
05/20/2025;990;1,010;1,025;985;84.53M;-1.00%
05/19/2025;1,000;955;1,025;955;180.39M;5.26%
05/16/2025;950;905;965;895;129.20M;5.56%
05/15/2025;900;910;915;895;47.06M;-0.55%
05/14/2025;905;905;920;900;21.58M;0.56%
05/09/2025;900;895;910;895;15.49M;0.00%
05/08/2025;900;915;920;895;30.69M;-1.64%
05/07/2025;915;915;930;905;26.56M;0.55%
05/06/2025;910;910;920;905;13.40M;0.55%
05/05/2025;905;905;925;890;27.31M;0.00%
05/02/2025;905;900;910;880;19.15M;0.56%
04/30/2025;900;925;930;900;43.98M;-5.26%
04/29/2025;950;960;965;950;10.20M;-0.52%
04/28/2025;955;965;975;955;15.12M;-0.52%
04/25/2025;960;945;985;945;28.15M;2.13%
04/24/2025;940;960;970;935;25.94M;-1.57%
04/23/2025;955;990;995;950;34.86M;-2.55%
04/22/2025;980;905;1,005;900;84.43M;8.89%
04/21/2025;900;900;920;900;6.97M;0.00%
04/17/2025;900;910;915;885;13.10M;-0.55%
04/16/2025;905;890;935;890;39.28M;2.26%
04/15/2025;885;880;905;865;23.94M;0.57%
04/14/2025;880;825;910;820;51.97M;6.67%
04/11/2025;825;825;845;810;24.25M;-0.60%
04/10/2025;830;835;850;815;40.40M;5.06%
04/09/2025;790;790;815;770;32.59M;0.00%
04/08/2025;790;810;810;765;48.16M;-12.22%
03/27/2025;900;900;910;890;13.32M;0.00%
03/26/2025;900;900;930;890;19.70M;1.12%
03/25/2025;890;895;900;870;9.04M;0.56%
03/24/2025;885;895;895;840;25.52M;-1.67%
03/21/2025;900;910;910;865;33.14M;-0.55%
03/20/2025;905;895;935;895;48.97M;1.12%
03/19/2025;895;880;920;860;37.33M;1.13%
03/18/2025;885;890;895;825;36.79M;0.00%
03/17/2025;885;895;915;875;23.91M;0.00%
03/14/2025;885;900;900;860;23.79M;-1.12%
03/13/2025;895;865;910;855;48.05M;3.47%
03/12/2025;865;870;880;830;31.68M;0.00%
03/11/2025;865;850;890;835;43.04M;0.58%
03/10/2025;860;915;925;860;56.82M;-3.37%
03/07/2025;890;865;945;830;145.45M;4.09%
