Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,850;1,900;1,910;1,850;74.71M;-2.63%
07/30/2025;1,900;1,930;1,940;1,890;45.12M;-1.04%
07/29/2025;1,920;1,930;1,945;1,910;38.45M;-0.26%
07/28/2025;1,925;1,925;1,960;1,920;43.99M;0.52%
07/25/2025;1,915;1,985;1,995;1,910;66.71M;-3.04%
07/24/2025;1,975;2,030;2,040;1,965;64.71M;-2.23%
07/23/2025;2,020;2,010;2,050;1,970;147.27M;2.80%
07/22/2025;1,965;1,890;2,050;1,890;270.04M;4.24%
07/21/2025;1,885;1,865;1,895;1,845;52.15M;2.72%
07/18/2025;1,835;1,830;1,860;1,830;32.81M;0.27%
07/17/2025;1,830;1,850;1,855;1,825;42.89M;-0.54%
07/16/2025;1,840;1,820;1,870;1,820;46.38M;1.38%
07/15/2025;1,815;1,825;1,830;1,800;35.31M;-0.55%
07/14/2025;1,825;1,875;1,880;1,815;53.41M;-2.41%
07/11/2025;1,870;1,850;1,915;1,840;96.07M;1.63%
07/10/2025;1,840;1,745;1,845;1,745;76.25M;5.75%
07/09/2025;1,740;1,745;1,755;1,730;49.88M;-0.29%
07/08/2025;1,745;1,740;1,790;1,740;58.17M;0.29%
07/07/2025;1,740;1,760;1,760;1,730;32.28M;-0.85%
07/04/2025;1,755;1,760;1,765;1,730;43.98M;-0.28%
07/03/2025;1,760;1,785;1,795;1,740;71.57M;-0.85%
07/02/2025;1,775;1,830;1,835;1,775;54.36M;-3.01%
07/01/2025;1,830;1,845;1,860;1,815;38.39M;0.00%
06/30/2025;1,830;1,810;1,840;1,800;51.58M;2.23%
06/26/2025;1,790;1,790;1,805;1,780;48.21M;0.28%
06/25/2025;1,785;1,840;1,840;1,765;66.29M;-1.65%
06/24/2025;1,815;1,810;1,845;1,810;62.77M;0.83%
06/23/2025;1,800;1,850;1,850;1,790;86.74M;-3.23%
06/20/2025;1,860;1,925;1,935;1,850;182.12M;-3.38%
06/19/2025;1,925;1,990;1,990;1,920;72.92M;-3.27%
06/18/2025;1,990;2,000;2,010;1,975;69.27M;-0.50%
06/17/2025;2,000;2,030;2,030;1,990;35.73M;0.00%
06/16/2025;2,000;1,995;2,050;1,985;77.29M;0.25%
06/13/2025;1,995;1,960;2,030;1,950;131.14M;-5.90%
06/12/2025;2,120;2,120;2,150;2,100;117.40M;0.00%
06/11/2025;2,120;2,130;2,140;2,100;83.18M;0.47%
06/10/2025;2,110;2,120;2,140;2,080;112.23M;-0.47%
06/05/2025;2,120;2,120;2,140;2,090;70.32M;0.95%
06/04/2025;2,100;2,110;2,170;2,100;105.92M;0.00%
06/03/2025;2,100;2,150;2,170;2,090;102.07M;-1.41%
06/02/2025;2,130;2,200;2,210;2,110;137.73M;-3.18%
05/28/2025;2,200;2,310;2,360;2,180;351.82M;-3.93%
05/27/2025;2,290;2,130;2,300;2,100;276.93M;9.57%
05/26/2025;2,090;2,130;2,160;2,070;104.20M;-0.48%
05/23/2025;2,100;2,160;2,160;2,090;112.42M;-2.33%
05/22/2025;2,150;2,160;2,180;2,130;104.43M;-0.46%
