Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,340;1,330;1,345;1,315;34.69M;1.13%
07/30/2025;1,325;1,345;1,350;1,310;25.24M;-1.49%
07/29/2025;1,345;1,330;1,365;1,320;68.26M;1.89%
07/28/2025;1,320;1,250;1,330;1,240;59.24M;6.45%
07/25/2025;1,240;1,250;1,250;1,220;10.99M;0.00%
07/24/2025;1,240;1,260;1,270;1,105;49.26M;-1.59%
07/23/2025;1,260;1,220;1,260;1,220;20.85M;3.28%
07/22/2025;1,220;1,220;1,235;1,215;12.00M;0.41%
07/21/2025;1,215;1,210;1,215;1,200;11.72M;2.10%
07/18/2025;1,190;1,215;1,215;1,185;19.85M;-2.06%
07/17/2025;1,215;1,220;1,225;1,200;7.53M;-0.41%
07/16/2025;1,220;1,260;1,265;1,205;18.63M;-1.61%
07/15/2025;1,240;1,220;1,255;1,215;17.56M;2.06%
07/14/2025;1,215;1,200;1,230;1,195;22.88M;2.10%
07/11/2025;1,190;1,170;1,200;1,170;17.85M;1.71%
07/10/2025;1,170;1,160;1,180;1,155;10.61M;1.30%
07/09/2025;1,155;1,160;1,175;1,155;8.54M;-0.43%
07/08/2025;1,160;1,175;1,190;1,160;12.61M;-0.85%
07/07/2025;1,170;1,190;1,190;1,130;17.32M;-1.68%
07/04/2025;1,190;1,180;1,200;1,170;3.30M;0.85%
07/03/2025;1,180;1,180;1,190;1,160;27.69M;1.29%
07/02/2025;1,165;1,180;1,185;1,160;7.50M;-0.43%
07/01/2025;1,170;1,175;1,185;1,160;6.45M;0.86%
06/30/2025;1,160;1,200;1,210;1,160;14.03M;-2.52%
06/26/2025;1,190;1,155;1,195;1,150;13.65M;3.03%
06/25/2025;1,155;1,230;1,235;1,155;29.32M;-4.55%
06/24/2025;1,210;1,200;1,255;1,200;30.06M;-3.97%
06/23/2025;1,260;1,250;1,305;1,250;63.99M;3.70%
06/20/2025;1,215;1,270;1,275;1,215;74.81M;-4.71%
06/19/2025;1,275;1,325;1,325;1,255;25.80M;-2.30%
06/18/2025;1,305;1,315;1,345;1,300;29.40M;0.77%
06/17/2025;1,295;1,280;1,295;1,260;14.56M;1.17%
06/16/2025;1,280;1,345;1,370;1,275;37.93M;-2.66%
06/13/2025;1,315;1,315;1,350;1,315;40.35M;2.33%
06/12/2025;1,285;1,270;1,300;1,265;30.72M;2.80%
06/11/2025;1,250;1,220;1,250;1,215;19.81M;2.46%
06/10/2025;1,220;1,210;1,255;1,200;42.49M;0.83%
06/05/2025;1,210;1,230;1,235;1,200;13.40M;-2.02%
06/04/2025;1,235;1,265;1,270;1,235;16.38M;-2.37%
06/03/2025;1,265;1,245;1,265;1,215;22.34M;2.43%
06/02/2025;1,235;1,275;1,280;1,205;18.31M;-3.14%
05/28/2025;1,275;1,300;1,305;1,275;19.46M;-1.16%
05/27/2025;1,290;1,305;1,305;1,285;9.27M;-0.39%
05/26/2025;1,295;1,315;1,315;1,270;16.58M;-0.38%
05/23/2025;1,300;1,355;1,360;1,300;24.63M;-2.99%
05/22/2025;1,340;1,375;1,380;1,245;44.03M;-2.55%
05/21/2025;1,375;1,280;1,375;1,275;79.06M;8.27%
05/20/2025;1,270;1,270;1,300;1,265;11.32M;0.00%
05/19/2025;1,270;1,280;1,305;1,265;29.64M;-0.39%
05/16/2025;1,275;1,265;1,285;1,245;16.23M;2.00%
05/15/2025;1,250;1,265;1,265;1,245;6.87M;-0.40%
05/14/2025;1,255;1,245;1,290;1,245;12.68M;0.80%
05/09/2025;1,245;1,255;1,280;1,235;13.15M;0.40%
05/08/2025;1,240;1,250;1,265;1,235;21.27M;-3.88%
05/07/2025;1,290;1,275;1,310;1,265;51.68M;1.57%
05/06/2025;1,270;1,275;1,280;1,235;35.01M;0.00%
05/05/2025;1,270;1,250;1,300;1,250;25.62M;2.01%
05/02/2025;1,245;1,260;1,275;1,230;12.94M;-1.19%
04/30/2025;1,260;1,245;1,295;1,245;27.86M;1.61%
04/29/2025;1,240;1,205;1,250;1,185;31.71M;3.33%
04/28/2025;1,200;1,185;1,225;1,180;14.28M;1.27%
04/25/2025;1,185;1,200;1,215;1,160;17.81M;-0.84%
04/24/2025;1,195;1,135;1,210;1,125;37.04M;5.29%
04/23/2025;1,135;1,115;1,155;1,115;25.70M;2.71%
04/22/2025;1,105;1,075;1,110;1,075;8.98M;2.79%
04/21/2025;1,075;1,060;1,120;1,050;20.41M;2.38%
04/17/2025;1,050;1,045;1,060;1,035;29.71M;0.48%
04/16/2025;1,045;1,050;1,070;1,035;43.25M;-0.48%
04/15/2025;1,050;1,075;1,095;1,050;38.24M;-2.33%
04/14/2025;1,075;1,050;1,110;1,050;42.02M;2.38%
04/11/2025;1,050;1,095;1,100;1,035;44.56M;-4.55%
04/10/2025;1,100;960;1,125;960;54.69M;22.22%
04/09/2025;900;970;990;890;28.17M;-7.22%
04/08/2025;970;980;990;945;35.62M;-11.42%
03/27/2025;1,095;1,105;1,120;1,085;14.65M;-0.90%
03/26/2025;1,105;1,135;1,155;1,105;21.92M;-2.64%
03/25/2025;1,135;1,095;1,240;1,060;39.60M;3.65%
03/24/2025;1,095;1,105;1,110;1,050;17.11M;-0.45%
03/21/2025;1,100;1,110;1,130;1,100;13.01M;0.00%
03/20/2025;1,100;1,100;1,135;1,100;12.11M;0.46%
03/19/2025;1,095;1,100;1,125;1,075;11.02M;0.92%
03/18/2025;1,085;1,130;1,145;1,075;22.12M;-3.56%
03/17/2025;1,125;1,145;1,145;1,110;10.41M;-1.32%
03/14/2025;1,140;1,185;1,190;1,115;24.90M;-2.98%
03/13/2025;1,175;1,320;1,320;1,165;29.32M;-9.96%
03/12/2025;1,305;1,285;1,320;1,285;14.96M;1.95%
03/11/2025;1,280;1,280;1,305;1,270;11.12M;-0.78%
03/10/2025;1,290;1,300;1,315;1,265;18.78M;-1.15%
03/07/2025;1,305;1,285;1,330;1,285;19.32M;1.95%
03/06/2025;1,280;1,205;1,295;1,205;16.65M;6.22%
03/05/2025;1,205;1,210;1,230;1,195;26.59M;-0.41%
03/04/2025;1,210;1,245;1,250;1,160;18.76M;-2.02%
03/03/2025;1,235;1,250;1,265;1,210;14.42M;-0.40%
02/28/2025;1,240;1,315;1,325;1,240;68.46M;-5.34%
02/27/2025;1,310;1,220;1,330;1,220;106.15M;8.71%
02/26/2025;1,205;1,200;1,220;1,200;6.51M;0.42%
02/25/2025;1,200;1,220;1,225;1,195;6.98M;-1.23%
02/24/2025;1,215;1,235;1,235;1,215;6.74M;-1.22%
02/21/2025;1,230;1,235;1,240;1,210;6.01M;-0.40%
02/20/2025;1,235;1,210;1,250;1,200;14.59M;2.49%
02/19/2025;1,205;1,215;1,235;1,190;19.54M;0.42%
02/18/2025;1,200;1,115;1,215;1,115;34.92M;7.62%
02/17/2025;1,115;1,100;1,125;1,100;8.15M;0.45%
02/14/2025;1,110;1,105;1,110;1,090;6.78M;0.45%
02/13/2025;1,105;1,110;1,115;1,100;12.54M;0.00%
02/12/2025;1,105;1,105;1,110;1,095;20.40M;0.00%
02/11/2025;1,105;1,105;1,120;1,090;12.07M;0.00%
02/10/2025;1,105;1,125;1,125;1,080;18.30M;-2.21%
02/07/2025;1,130;1,125;1,140;1,080;10.18M;0.44%
02/06/2025;1,125;1,120;1,125;1,095;8.70M;0.00%
02/05/2025;1,125;1,155;1,155;1,110;7.28M;1.81%
02/04/2025;1,105;1,100;1,115;1,090;19.04M;0.91%
02/03/2025;1,095;1,110;1,115;1,075;17.60M;-1.35%
01/31/2025;1,110;1,120;1,130;1,085;15.26M;-0.89%
01/30/2025;1,120;1,190;1,190;1,105;22.73M;-5.88%
01/24/2025;1,190;1,235;1,235;1,180;8.75M;-3.25%
01/23/2025;1,230;1,235;1,260;1,230;14.12M;0.00%
01/22/2025;1,230;1,245;1,250;1,225;21.43M;-1.20%
01/21/2025;1,245;1,255;1,270;1,230;12.80M;-0.40%
01/20/2025;1,250;1,205;1,270;1,200;15.92M;4.17%
01/17/2025;1,200;1,215;1,215;1,200;13.74M;0.00%
01/16/2025;1,200;1,225;1,230;1,200;10.05M;-1.64%
01/15/2025;1,220;1,210;1,225;1,200;9.45M;0.83%
01/14/2025;1,210;1,175;1,225;1,175;30.81M;3.42%
01/13/2025;1,170;1,200;1,225;1,170;21.85M;-2.50%
01/10/2025;1,200;1,195;1,200;1,150;19.10M;2.13%
01/09/2025;1,175;1,170;1,210;1,125;39.59M;0.43%
01/08/2025;1,170;1,100;1,200;1,075;27.25M;6.36%
01/07/2025;1,100;1,045;1,100;1,030;25.08M;5.26%
01/06/2025;1,045;1,125;1,125;1,045;31.50M;-7.11%
01/03/2025;1,125;1,155;1,165;1,125;10.47M;-2.60%
01/02/2025;1,155;1,135;1,155;1,125;8.61M;3.13%
12/30/2024;1,120;1,135;1,140;1,075;23.80M;0.00%
12/27/2024;1,120;1,120;1,140;1,115;8.08M;0.00%
12/24/2024;1,120;1,140;1,145;1,115;9.32M;-0.88%
12/23/2024;1,130;1,130;1,165;1,120;11.86M;-0.88%
12/20/2024;1,140;1,120;1,165;1,115;34.87M;1.79%
12/19/2024;1,120;1,165;1,165;1,115;17.01M;-4.27%
12/18/2024;1,170;1,225;1,235;1,155;24.01M;-4.49%
12/17/2024;1,225;1,280;1,280;1,220;10.93M;-4.30%
12/16/2024;1,280;1,315;1,315;1,275;9.57M;-2.66%
12/13/2024;1,315;1,340;1,340;1,310;2.38M;-1.50%
12/12/2024;1,335;1,340;1,355;1,325;12.15M;0.00%
12/11/2024;1,335;1,350;1,355;1,330;8.95M;-1.48%
12/10/2024;1,355;1,345;1,370;1,340;20.21M;0.74%
12/09/2024;1,345;1,320;1,345;1,310;11.42M;1.89%
12/06/2024;1,320;1,310;1,325;1,295;7.47M;0.38%
12/05/2024;1,315;1,270;1,330;1,255;20.92M;3.54%
12/04/2024;1,270;1,230;1,280;1,230;14.03M;3.67%
12/03/2024;1,225;1,225;1,225;1,210;9.08M;0.00%
12/02/2024;1,225;1,230;1,245;1,215;6.94M;-0.41%
11/29/2024;1,230;1,240;1,240;1,215;10.05M;0.41%
11/28/2024;1,225;1,230;1,240;1,210;9.78M;-0.41%
11/26/2024;1,230;1,265;1,270;1,225;20.03M;-2.77%
11/25/2024;1,265;1,305;1,325;1,265;31.56M;-3.07%
11/22/2024;1,305;1,305;1,315;1,295;8.14M;0.00%
11/21/2024;1,305;1,340;1,350;1,300;11.15M;-1.88%
11/20/2024;1,330;1,315;1,340;1,310;4.28M;1.53%
11/19/2024;1,310;1,340;1,355;1,305;8.43M;-2.24%
11/18/2024;1,340;1,300;1,345;1,295;6.49M;3.08%
11/15/2024;1,300;1,350;1,350;1,295;23.20M;-3.70%
11/14/2024;1,350;1,370;1,370;1,340;4.38M;-1.46%
11/13/2024;1,370;1,350;1,385;1,350;12.32M;1.48%
11/12/2024;1,350;1,370;1,370;1,335;10.60M;-2.17%
11/11/2024;1,380;1,380;1,380;1,320;11.12M;0.36%
11/08/2024;1,375;1,310;1,395;1,300;18.68M;4.96%
11/07/2024;1,310;1,340;1,340;1,300;22.19M;-2.24%
11/06/2024;1,340;1,370;1,370;1,325;10.08M;-1.47%
11/05/2024;1,360;1,300;1,375;1,300;18.64M;4.62%
11/04/2024;1,300;1,350;1,355;1,295;28.04M;-3.70%
11/01/2024;1,350;1,360;1,390;1,335;11.99M;0.00%
10/31/2024;1,350;1,395;1,400;1,350;20.61M;-3.23%
10/30/2024;1,395;1,350;1,405;1,345;28.66M;3.33%
10/29/2024;1,350;1,360;1,370;1,325;39.41M;-0.74%
10/28/2024;1,360;1,400;1,400;1,360;30.30M;-3.55%
10/25/2024;1,410;1,420;1,425;1,405;16.17M;-0.70%
10/24/2024;1,420;1,440;1,445;1,415;25.51M;-1.39%
10/23/2024;1,440;1,450;1,455;1,435;20.37M;-0.69%
10/22/2024;1,450;1,455;1,460;1,445;11.21M;0.35%
10/21/2024;1,445;1,445;1,460;1,440;18.46M;0.00%
10/18/2024;1,445;1,490;1,495;1,445;32.73M;-3.02%
10/17/2024;1,490;1,490;1,500;1,470;33.23M;-0.67%
10/16/2024;1,500;1,460;1,500;1,440;87.83M;2.74%
10/15/2024;1,460;1,535;1,535;1,460;76.28M;-4.89%
10/14/2024;1,535;1,540;1,550;1,535;16.92M;-0.32%
10/11/2024;1,540;1,555;1,555;1,525;26.54M;-0.32%
10/10/2024;1,545;1,525;1,545;1,520;24.93M;1.31%
10/09/2024;1,525;1,545;1,560;1,510;13.38M;-1.29%
10/08/2024;1,545;1,625;1,635;1,530;47.83M;-4.33%
10/07/2024;1,615;1,620;1,650;1,605;39.76M;0.00%
10/04/2024;1,615;1,605;1,625;1,600;38.96M;1.25%
10/03/2024;1,595;1,585;1,605;1,580;30.23M;0.95%
10/02/2024;1,580;1,570;1,590;1,565;51.03M;1.94%
10/01/2024;1,550;1,550;1,560;1,535;18.50M;0.00%
09/30/2024;1,550;1,550;1,560;1,535;41.43M;0.00%
09/27/2024;1,550;1,530;1,560;1,525;21.85M;1.64%
09/26/2024;1,525;1,520;1,535;1,505;17.33M;-0.33%
09/25/2024;1,530;1,565;1,570;1,530;25.50M;-1.92%
09/24/2024;1,560;1,520;1,570;1,520;73.48M;2.63%
09/23/2024;1,520;1,495;1,525;1,485;36.89M;1.67%
09/20/2024;1,495;1,465;1,495;1,455;25.74M;1.70%
09/19/2024;1,470;1,465;1,475;1,460;13.73M;0.34%
09/18/2024;1,465;1,490;1,490;1,465;16.03M;-1.01%
