Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;850;910;915;835;18.72M;-6.59%
07/30/2025;910;865;910;855;12.16M;5.20%
07/29/2025;865;915;970;860;33.54M;-5.46%
07/28/2025;915;905;915;885;6.22M;1.67%
07/25/2025;900;915;925;900;6.56M;-1.64%
07/24/2025;915;885;925;885;16.34M;3.98%
07/23/2025;880;890;895;845;7.77M;-0.56%
07/22/2025;885;895;920;855;20.16M;-0.56%
07/21/2025;890;825;900;810;34.57M;9.88%
07/18/2025;810;805;825;785;10.54M;0.00%
07/17/2025;810;795;825;795;10.91M;2.53%
07/16/2025;790;815;825;790;12.16M;-3.07%
07/15/2025;815;760;820;755;24.38M;7.24%
07/14/2025;760;760;770;755;2.44M;0.00%
07/11/2025;760;750;765;750;4.69M;1.33%
07/10/2025;750;750;760;745;3.52M;-0.66%
07/09/2025;755;745;755;740;2.16M;0.67%
07/08/2025;750;745;755;730;6.71M;0.67%
07/07/2025;745;740;750;730;2.47M;-0.67%
07/04/2025;750;740;750;715;9.85M;-1.32%
07/03/2025;760;755;760;750;5.28M;0.66%
07/02/2025;755;765;775;750;8.28M;-1.31%
07/01/2025;765;760;770;745;6.81M;0.66%
06/30/2025;760;740;780;730;9.90M;3.40%
06/26/2025;735;750;760;735;4.90M;-2.00%
06/25/2025;750;755;755;730;5.50M;0.00%
06/24/2025;750;710;760;710;15.26M;5.63%
06/23/2025;710;725;725;675;9.19M;-2.07%
06/20/2025;725;705;735;695;3.90M;2.84%
06/19/2025;705;740;740;700;5.27M;-4.08%
06/18/2025;735;740;750;720;3.60M;-0.68%
06/17/2025;740;745;750;735;2.55M;0.68%
06/16/2025;735;735;750;730;6.33M;-1.34%
06/13/2025;745;755;760;735;8.70M;-1.32%
06/12/2025;755;750;780;750;17.21M;0.00%
06/11/2025;755;755;760;745;6.02M;0.67%
06/10/2025;750;725;760;720;18.70M;4.90%
06/05/2025;715;720;725;705;6.47M;-2.05%
06/04/2025;730;685;740;685;18.50M;7.35%
06/03/2025;680;690;690;675;6.36M;-1.45%
06/02/2025;690;700;705;685;6.66M;-1.43%
05/28/2025;700;705;710;690;2.25M;-0.71%
05/27/2025;705;685;705;670;3.86M;2.92%
05/26/2025;685;725;730;675;9.32M;-5.52%
05/23/2025;725;715;735;715;6.16M;1.40%
05/22/2025;715;705;715;700;5.20M;1.42%
05/21/2025;705;715;715;695;8.70M;-2.08%
05/20/2025;720;730;750;720;12.22M;-0.69%
05/19/2025;725;715;765;715;18.10M;1.40%
05/16/2025;715;700;715;695;8.31M;2.14%
05/15/2025;700;705;715;690;11.72M;-0.71%
05/14/2025;705;705;710;685;14.92M;2.92%
05/09/2025;685;710;720;685;8.15M;-3.52%
05/08/2025;710;665;710;665;12.02M;6.77%
05/07/2025;665;665;675;660;5.14M;-1.48%
05/06/2025;675;665;680;665;2.93M;0.00%
05/05/2025;675;670;690;665;6.88M;1.50%
05/02/2025;665;685;695;660;8.12M;-2.92%
04/30/2025;685;700;720;680;32.52M;3.01%
04/29/2025;665;635;670;620;11.15M;4.72%
04/28/2025;635;610;655;605;10.69M;4.10%
04/25/2025;610;585;610;575;5.67M;4.27%
04/24/2025;585;565;590;565;4.80M;1.74%
04/23/2025;575;570;590;560;6.00M;1.77%
04/22/2025;565;505;575;505;9.95M;11.88%
04/21/2025;505;500;520;500;1.05M;1.00%
04/17/2025;500;494;505;494;1.05M;1.21%
04/16/2025;494;510;530;492;4.64M;-5.90%
04/15/2025;525;515;535;510;2.88M;1.94%
04/14/2025;515;510;525;505;2.48M;3.41%
04/11/2025;498;480;510;480;2.38M;1.63%
04/10/2025;490;472;494;472;1.63M;7.46%
04/09/2025;456;454;466;452;5.41M;0.00%
04/08/2025;456;496;496;452;7.33M;-13.96%
03/27/2025;530;560;560;525;3.78M;-5.36%
03/26/2025;560;520;560;515;5.39M;7.69%
03/25/2025;520;490;530;490;3.91M;6.12%
03/24/2025;490;510;510;480;2.37M;-3.92%
03/21/2025;510;520;530;510;1.81M;-1.92%
03/20/2025;520;530;550;500;6.11M;-1.89%
03/19/2025;530;515;540;515;2.28M;1.92%
03/18/2025;520;550;550;500;4.89M;-4.59%
03/17/2025;545;555;555;540;1.08M;0.00%
03/14/2025;545;550;560;545;2.36M;-0.91%
03/13/2025;550;555;560;540;1.89M;-0.90%
03/12/2025;555;565;565;555;1.48M;-1.77%
03/11/2025;565;560;565;545;1.42M;0.89%
03/10/2025;560;575;580;535;3.35M;-2.61%
03/07/2025;575;575;580;565;1.12M;-0.86%
03/06/2025;580;560;595;560;2.68M;3.57%
03/05/2025;560;545;570;545;2.67M;2.75%
03/04/2025;545;585;585;535;3.03M;-5.22%
03/03/2025;575;570;590;560;3.46M;0.88%
02/28/2025;570;600;600;570;2.34M;-5.00%
02/27/2025;600;600;605;585;2.49M;0.00%
02/26/2025;600;595;605;585;1.94M;0.84%
02/25/2025;595;620;625;590;1.70M;-4.03%
02/24/2025;620;615;625;605;523.30K;0.00%
02/21/2025;620;615;630;615;999.80K;0.81%
02/20/2025;615;630;640;615;2.47M;-2.38%
02/19/2025;630;630;635;615;5.66M;0.00%
02/18/2025;630;630;640;620;4.72M;-0.79%
02/17/2025;635;590;635;585;5.50M;7.63%
02/14/2025;590;590;605;585;3.59M;0.85%
02/13/2025;585;580;590;575;2.13M;0.86%
02/12/2025;580;600;600;580;3.66M;0.00%
02/11/2025;580;625;625;570;8.55M;-7.20%
02/10/2025;625;625;635;605;4.25M;0.00%
02/07/2025;625;625;635;615;1.76M;0.00%
02/06/2025;625;645;650;615;4.47M;-3.10%
02/05/2025;645;660;665;645;4.85M;-2.27%
02/04/2025;660;660;670;655;725.70K;0.00%
02/03/2025;660;670;680;650;3.80M;-2.22%
01/31/2025;675;655;685;650;4.60M;3.05%
01/30/2025;655;650;660;650;1.59M;0.00%
01/24/2025;655;655;660;655;1.31M;0.00%
01/23/2025;655;660;665;650;3.09M;-0.76%
01/22/2025;660;665;670;655;1.10M;-0.75%
01/21/2025;665;660;665;655;4.93M;0.76%
01/20/2025;660;660;670;655;2.50M;0.00%
01/17/2025;660;680;680;655;1.22M;-2.94%
01/16/2025;680;660;680;650;4.22M;3.03%
01/15/2025;660;655;665;650;2.21M;0.76%
01/14/2025;655;650;660;645;2.24M;0.00%
01/13/2025;655;655;660;650;1.47M;-0.76%
01/10/2025;660;660;670;650;2.49M;0.00%
01/09/2025;660;675;675;660;1.14M;-2.22%
01/08/2025;675;665;675;655;4.44M;2.27%
01/07/2025;660;665;675;655;2.45M;-0.75%
01/06/2025;665;680;680;660;3.22M;-2.21%
01/03/2025;680;690;695;675;1.95M;-0.73%
01/02/2025;685;690;690;675;1.31M;-0.72%
12/30/2024;690;670;690;655;2.02M;2.99%
12/27/2024;670;690;690;665;801.70K;0.00%
12/24/2024;670;665;680;660;1.81M;0.75%
12/23/2024;665;660;685;660;2.45M;0.76%
12/20/2024;660;655;665;650;2.67M;0.76%
12/19/2024;655;675;675;655;3.77M;-3.68%
12/18/2024;680;680;685;670;1.21M;0.00%
12/17/2024;680;685;710;645;15.86M;-0.73%
12/16/2024;685;710;715;685;7.56M;-3.52%
12/13/2024;710;715;720;710;1.23M;-0.70%
12/12/2024;715;715;725;710;3.47M;0.00%
12/11/2024;715;730;745;715;4.64M;-2.05%
12/10/2024;730;745;745;725;2.68M;0.00%
12/09/2024;730;715;750;715;8.21M;2.10%
12/06/2024;715;720;730;715;3.22M;0.00%
12/05/2024;715;720;725;710;1.20M;-0.69%
12/04/2024;720;710;725;705;3.01M;1.41%
12/03/2024;710;705;715;700;3.87M;0.71%
12/02/2024;705;720;725;700;3.00M;-2.08%
11/29/2024;720;700;725;700;4.05M;2.13%
11/28/2024;705;710;715;705;1.40M;-0.70%
11/26/2024;710;715;720;705;2.14M;-0.70%
11/25/2024;715;720;725;710;3.45M;-0.69%
11/22/2024;720;715;725;715;1.40M;0.70%
11/21/2024;715;725;725;715;969.00K;-1.38%
