Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;8,400.00;8,125.00;8,425.00;8,125.00;38.18M;1.20%
07/30/2025;8,300.00;8,350.00;8,375.00;8,150.00;20.84M;-0.60%
07/29/2025;8,350.00;8,275.00;8,400.00;8,275.00;27.37M;0.60%
07/28/2025;8,300.00;8,250.00;8,350.00;8,225.00;21.97M;0.61%
07/25/2025;8,250.00;8,250.00;8,275.00;8,125.00;22.40M;0.00%
07/24/2025;8,250.00;8,050.00;8,300.00;7,975.00;45.69M;2.48%
07/23/2025;8,050.00;7,950.00;8,100.00;7,950.00;30.96M;1.26%
07/22/2025;7,950.00;8,075.00;8,100.00;7,800.00;23.01M;-1.24%
07/21/2025;8,050.00;8,025.00;8,125.00;7,925.00;33.11M;0.31%
07/18/2025;8,025.00;8,100.00;8,125.00;7,950.00;25.15M;-0.93%
07/17/2025;8,100.00;8,225.00;8,250.00;8,000.00;26.31M;-1.52%
07/16/2025;8,225.00;8,225.00;8,300.00;8,100.00;32.29M;0.30%
07/15/2025;8,200.00;8,400.00;8,425.00;8,175.00;19.96M;-2.38%
07/14/2025;8,400.00;8,375.00;8,400.00;8,225.00;19.46M;0.30%
07/11/2025;8,375.00;8,500.00;8,525.00;8,275.00;20.33M;-1.47%
07/10/2025;8,500.00;8,750.00;8,775.00;8,450.00;30.93M;-2.86%
07/09/2025;8,750.00;8,500.00;8,850.00;8,500.00;44.37M;4.79%
07/08/2025;8,350.00;8,400.00;8,525.00;8,300.00;21.43M;-0.60%
07/07/2025;8,400.00;8,500.00;8,525.00;8,325.00;14.27M;-1.18%
07/04/2025;8,500.00;8,525.00;8,625.00;8,425.00;18.65M;-0.29%
07/03/2025;8,525.00;8,575.00;8,750.00;8,425.00;18.08M;-0.58%
07/02/2025;8,575.00;8,675.00;8,700.00;8,400.00;21.02M;-1.15%
07/01/2025;8,675.00;8,475.00;8,750.00;8,475.00;37.39M;2.66%
06/30/2025;8,450.00;8,525.00;8,650.00;8,225.00;41.01M;-0.88%
06/26/2025;8,525.00;8,400.00;8,550.00;8,225.00;52.81M;1.49%
06/25/2025;8,400.00;8,100.00;8,475.00;8,100.00;40.89M;4.02%
06/24/2025;8,075.00;7,825.00;8,225.00;7,825.00;45.16M;3.19%
06/23/2025;7,825.00;7,625.00;7,850.00;7,525.00;34.69M;2.62%
06/20/2025;7,625.00;7,900.00;7,900.00;7,425.00;61.42M;-3.48%
06/19/2025;7,900.00;7,825.00;7,950.00;7,625.00;25.58M;1.28%
06/18/2025;7,800.00;8,125.00;8,150.00;7,625.00;46.37M;-4.00%
06/17/2025;8,125.00;7,725.00;8,175.00;7,575.00;67.98M;7.26%
06/16/2025;7,575.00;8,300.00;9,225.00;7,500.00;176.90M;-7.62%
06/13/2025;8,200.00;8,225.00;8,300.00;8,050.00;26.71M;0.00%
06/12/2025;8,200.00;8,000.00;8,300.00;8,000.00;37.56M;2.18%
06/11/2025;8,025.00;7,975.00;8,025.00;7,625.00;27.83M;0.31%
06/10/2025;8,000.00;7,850.00;8,075.00;7,775.00;40.12M;1.27%
06/05/2025;7,900.00;7,475.00;8,075.00;7,275.00;61.73M;6.40%
06/04/2025;7,425.00;6,950.00;7,425.00;6,925.00;76.04M;7.22%
06/03/2025;6,925.00;6,925.00;7,025.00;6,875.00;26.48M;0.36%
06/02/2025;6,900.00;6,925.00;6,950.00;6,700.00;19.18M;-0.36%
05/28/2025;6,925.00;6,900.00;7,075.00;6,875.00;38.38M;0.36%
05/27/2025;6,900.00;6,800.00;6,900.00;6,725.00;25.04M;1.85%
05/26/2025;6,775.00;6,975.00;7,000.00;6,750.00;14.68M;-1.81%
05/23/2025;6,900.00;6,850.00;7,025.00;6,850.00;28.17M;0.73%
05/22/2025;6,850.00;6,950.00;6,950.00;6,800.00;17.09M;-0.72%
05/21/2025;6,900.00;6,775.00;6,925.00;6,775.00;19.67M;2.99%
05/20/2025;6,700.00;6,900.00;6,900.00;6,600.00;26.51M;-2.90%
05/19/2025;6,900.00;7,075.00;7,075.00;6,875.00;14.09M;-1.78%
05/16/2025;7,025.00;7,100.00;7,175.00;6,975.00;16.78M;0.00%
05/15/2025;7,025.00;7,225.00;7,275.00;7,000.00;17.22M;-2.77%
05/14/2025;7,225.00;7,275.00;7,400.00;7,225.00;17.02M;-0.69%
05/09/2025;7,275.00;7,375.00;7,450.00;7,225.00;13.21M;-1.36%
05/08/2025;7,375.00;7,425.00;7,550.00;7,175.00;21.44M;-0.34%
05/07/2025;7,400.00;7,575.00;7,850.00;7,400.00;35.53M;-1.99%
05/06/2025;7,550.00;7,125.00;7,550.00;7,125.00;32.11M;6.71%
05/05/2025;7,075.00;6,975.00;7,100.00;6,900.00;14.41M;1.43%
05/02/2025;6,975.00;7,125.00;7,125.00;6,900.00;14.18M;-2.11%
04/30/2025;7,125.00;7,025.00;7,200.00;7,000.00;22.68M;1.79%
04/29/2025;7,000.00;6,875.00;7,075.00;6,800.00;27.25M;1.82%
04/28/2025;6,875.00;6,875.00;6,950.00;6,775.00;11.92M;0.00%
04/25/2025;6,875.00;6,875.00;6,900.00;6,775.00;16.12M;0.73%
04/24/2025;6,825.00;6,875.00;7,000.00;6,800.00;15.73M;0.00%
04/23/2025;6,825.00;7,125.00;7,175.00;6,700.00;22.44M;-3.87%
04/22/2025;7,100.00;6,675.00;7,125.00;6,650.00;23.86M;6.77%
04/21/2025;6,650.00;6,475.00;6,675.00;6,400.00;17.73M;3.50%
04/17/2025;6,425.00;6,075.00;6,425.00;6,050.00;23.97M;5.76%
04/16/2025;6,075.00;6,075.00;6,150.00;5,950.00;19.67M;0.41%
04/15/2025;6,050.00;6,025.00;6,175.00;5,825.00;24.24M;0.83%
04/14/2025;6,000.00;5,275.00;6,000.00;5,150.00;30.34M;14.29%
04/11/2025;5,250.00;5,025.00;5,350.00;4,880.00;27.76M;5.00%
04/10/2025;5,000.00;4,800.00;5,075.00;4,800.00;27.99M;7.99%
04/09/2025;4,630.00;4,600.00;4,770.00;4,500.00;17.26M;0.43%
04/08/2025;4,610.00;5,000.00;5,050.00;4,570.00;23.54M;-14.23%
03/27/2025;5,375.00;5,200.00;5,375.00;5,100.00;15.96M;3.37%
03/26/2025;5,200.00;5,225.00;5,375.00;5,175.00;12.19M;1.46%
03/25/2025;5,125.00;5,125.00;5,375.00;5,100.00;14.81M;0.49%
03/24/2025;5,100.00;5,850.00;5,875.00;5,025.00;18.43M;-13.19%
03/21/2025;5,875.00;6,250.00;6,300.00;5,850.00;28.61M;-6.00%
03/20/2025;6,250.00;5,800.00;6,350.00;5,775.00;18.60M;9.17%
03/19/2025;5,725.00;5,950.00;5,975.00;5,725.00;18.12M;-3.38%
03/18/2025;5,925.00;6,350.00;6,450.00;5,700.00;14.42M;-6.69%
03/17/2025;6,350.00;6,200.00;6,425.00;6,200.00;11.56M;2.83%
03/14/2025;6,175.00;6,450.00;6,500.00;6,175.00;17.47M;-4.26%
03/13/2025;6,450.00;6,425.00;6,450.00;6,300.00;10.84M;0.39%
03/12/2025;6,425.00;6,175.00;6,425.00;6,175.00;10.31M;4.05%
03/11/2025;6,175.00;6,325.00;6,375.00;6,175.00;7.56M;-2.37%
03/10/2025;6,325.00;6,550.00;6,575.00;6,300.00;14.11M;-3.44%
03/07/2025;6,550.00;6,700.00;6,800.00;6,550.00;15.96M;-2.24%
03/06/2025;6,700.00;6,500.00;6,725.00;6,400.00;22.33M;3.08%
03/05/2025;6,500.00;6,100.00;6,500.00;6,075.00;25.54M;8.33%
03/04/2025;6,000.00;6,800.00;6,825.00;5,950.00;18.74M;-11.76%
03/03/2025;6,800.00;6,675.00;6,875.00;6,450.00;15.61M;3.82%
02/28/2025;6,550.00;6,900.00;6,900.00;6,200.00;21.48M;-5.07%
02/27/2025;6,900.00;6,550.00;6,900.00;6,500.00;17.73M;5.75%
02/26/2025;6,525.00;6,600.00;6,775.00;6,400.00;12.01M;-0.76%
02/25/2025;6,575.00;6,925.00;7,050.00;6,575.00;12.74M;-4.71%
02/24/2025;6,900.00;7,275.00;7,275.00;6,800.00;11.33M;-5.15%
02/21/2025;7,275.00;7,175.00;7,275.00;7,000.00;13.20M;0.69%
02/20/2025;7,225.00;7,025.00;7,225.00;7,025.00;12.62M;2.85%
02/19/2025;7,025.00;7,400.00;7,400.00;7,000.00;12.83M;-4.42%
02/18/2025;7,350.00;7,050.00;7,350.00;7,000.00;20.49M;4.63%
02/17/2025;7,025.00;6,825.00;7,100.00;6,800.00;15.47M;2.93%
02/14/2025;6,825.00;6,850.00;6,900.00;6,725.00;9.40M;1.11%
02/13/2025;6,750.00;7,175.00;7,225.00;6,725.00;14.58M;-5.92%
02/12/2025;7,175.00;6,775.00;7,175.00;6,650.00;21.92M;5.90%
02/11/2025;6,775.00;7,175.00;7,325.00;6,500.00;19.30M;-4.91%
02/10/2025;7,125.00;6,950.00;7,175.00;6,775.00;19.65M;3.64%
02/07/2025;6,875.00;7,125.00;7,125.00;6,850.00;15.78M;-3.51%
02/06/2025;7,125.00;7,300.00;7,475.00;7,025.00;13.64M;-1.72%
02/05/2025;7,250.00;7,000.00;7,275.00;6,925.00;23.15M;5.07%
