Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;5,100;5,150;5,175;5,100;44.05M;-0.97%
07/30/2025;5,150;5,100;5,150;5,075;53.08M;0.98%
07/29/2025;5,100;5,100;5,125;5,025;36.86M;0.00%
07/28/2025;5,100;5,025;5,100;4,990;59.41M;2.00%
07/25/2025;5,000;5,000;5,050;4,950;28.08M;-0.99%
07/24/2025;5,050;4,990;5,075;4,980;72.46M;2.02%
07/23/2025;4,950;4,740;4,950;4,720;94.67M;5.54%
07/22/2025;4,690;4,760;4,760;4,680;47.23M;-1.47%
07/21/2025;4,760;4,810;4,810;4,720;17.02M;0.21%
07/18/2025;4,750;4,810;4,840;4,750;23.68M;-0.84%
07/17/2025;4,790;4,750;4,820;4,730;37.86M;0.84%
07/16/2025;4,750;4,700;4,810;4,690;53.39M;1.06%
07/15/2025;4,700;4,700;4,700;4,630;25.05M;0.00%
07/14/2025;4,700;4,710;4,750;4,650;32.99M;-0.21%
07/11/2025;4,710;4,720;4,720;4,680;19.38M;0.64%
07/10/2025;4,680;4,720;4,730;4,680;21.46M;-0.85%
07/09/2025;4,720;4,680;4,720;4,670;32.58M;1.29%
07/08/2025;4,660;4,670;4,670;4,620;21.17M;-0.43%
07/07/2025;4,680;4,620;4,680;4,590;20.18M;1.30%
07/04/2025;4,620;4,600;4,650;4,570;25.30M;1.09%
07/03/2025;4,570;4,540;4,590;4,530;24.12M;0.66%
07/02/2025;4,540;4,450;4,550;4,440;34.23M;2.02%
07/01/2025;4,450;4,490;4,510;4,440;27.43M;-1.11%
06/30/2025;4,500;4,470;4,520;4,450;41.87M;1.12%
06/26/2025;4,450;4,440;4,450;4,410;26.91M;-0.45%
06/25/2025;4,470;4,530;4,530;4,420;33.22M;0.00%
06/24/2025;4,470;4,470;4,500;4,430;37.52M;0.90%
06/23/2025;4,430;4,470;4,470;4,400;28.82M;-1.34%
06/20/2025;4,490;4,530;4,530;4,480;50.12M;-0.88%
06/19/2025;4,530;4,590;4,600;4,500;30.83M;-1.31%
06/18/2025;4,590;4,610;4,620;4,590;19.39M;-0.22%
06/17/2025;4,600;4,640;4,640;4,590;29.98M;-0.22%
06/16/2025;4,610;4,570;4,630;4,560;29.94M;0.88%
06/13/2025;4,570;4,580;4,600;4,560;38.51M;0.22%
06/12/2025;4,560;4,610;4,620;4,560;54.63M;-1.08%
06/11/2025;4,610;4,610;4,630;4,580;50.55M;0.22%
06/10/2025;4,600;4,670;4,670;4,600;60.47M;-0.22%
06/05/2025;4,610;4,640;4,670;4,610;38.38M;0.00%
06/04/2025;4,610;4,760;4,760;4,610;55.90M;-1.91%
06/03/2025;4,700;4,750;4,760;4,650;51.57M;-1.67%
06/02/2025;4,780;4,780;4,800;4,730;115.88M;-1.44%
05/28/2025;4,850;4,710;4,850;4,660;188.04M;3.19%
05/27/2025;4,700;4,710;4,730;4,660;38.68M;-0.63%
05/26/2025;4,730;4,770;4,780;4,690;40.97M;-0.21%
05/23/2025;4,740;4,720;4,780;4,680;99.76M;2.38%
05/22/2025;4,630;4,680;4,710;4,630;52.03M;-0.86%
05/21/2025;4,670;4,600;4,690;4,570;115.34M;-3.91%
05/20/2025;4,860;4,960;4,960;4,860;127.61M;-1.62%
05/19/2025;4,940;4,890;4,960;4,880;97.78M;1.23%
05/16/2025;4,880;4,840;4,880;4,810;64.27M;1.24%
05/15/2025;4,820;4,820;4,850;4,810;69.70M;0.21%
05/14/2025;4,810;4,860;4,880;4,800;92.39M;0.63%
05/09/2025;4,780;4,790;4,830;4,780;38.96M;0.00%
05/08/2025;4,780;4,860;4,930;4,780;92.46M;-1.04%
05/07/2025;4,830;4,780;4,840;4,770;47.79M;1.68%
05/06/2025;4,750;4,780;4,800;4,750;53.22M;-0.63%
05/05/2025;4,780;4,800;4,810;4,770;30.75M;-0.21%
05/02/2025;4,790;4,810;4,860;4,760;61.30M;-0.21%
04/30/2025;4,800;4,800;4,840;4,780;46.04M;0.00%
04/29/2025;4,800;4,910;4,910;4,800;46.88M;-1.84%
04/28/2025;4,890;4,880;4,930;4,870;22.38M;0.62%
04/25/2025;4,860;4,790;4,910;4,790;45.47M;1.89%
04/24/2025;4,770;4,830;4,840;4,770;42.31M;-1.04%
04/23/2025;4,820;4,770;4,840;4,770;38.61M;1.69%
04/22/2025;4,740;4,750;4,780;4,720;29.91M;-1.04%
04/21/2025;4,790;4,750;4,810;4,740;14.31M;0.84%
04/17/2025;4,750;4,770;4,770;4,710;28.10M;-0.63%
04/16/2025;4,780;4,850;4,860;4,690;44.48M;-1.85%
04/15/2025;4,870;4,930;4,950;4,800;56.49M;-1.22%
04/14/2025;4,930;4,740;4,930;4,710;39.84M;4.67%
04/11/2025;4,710;4,660;4,740;4,620;31.45M;0.00%
04/10/2025;4,710;4,750;4,840;4,690;43.12M;1.95%
04/09/2025;4,620;4,480;4,660;4,470;46.09M;3.13%
04/08/2025;4,480;4,800;4,800;4,450;94.75M;-8.94%
03/27/2025;4,920;4,800;4,920;4,790;44.55M;2.50%
03/26/2025;4,800;4,660;4,840;4,660;30.51M;3.23%
03/25/2025;4,650;4,700;4,700;4,610;26.32M;-0.85%
03/24/2025;4,690;4,780;4,780;4,540;29.70M;-3.10%
03/21/2025;4,840;4,720;4,840;4,630;57.73M;2.76%
03/20/2025;4,710;4,690;4,750;4,640;23.31M;0.43%
03/19/2025;4,690;4,650;4,700;4,610;37.56M;0.86%
03/18/2025;4,650;4,630;4,650;4,460;66.58M;0.65%
03/17/2025;4,620;4,660;4,670;4,610;23.86M;0.00%
03/14/2025;4,620;4,730;4,730;4,610;35.97M;-2.33%
03/13/2025;4,730;4,790;4,810;4,680;41.07M;-1.66%
03/12/2025;4,810;4,760;4,830;4,740;29.26M;0.21%
03/11/2025;4,800;4,720;4,800;4,700;35.57M;0.63%
03/10/2025;4,770;4,900;4,900;4,750;53.14M;-3.25%
03/07/2025;4,930;4,900;4,970;4,790;59.83M;0.61%
03/06/2025;4,900;4,900;4,960;4,860;51.28M;0.00%
03/05/2025;4,900;4,700;4,900;4,690;86.70M;4.48%
03/04/2025;4,690;4,680;4,700;4,590;40.87M;0.21%
03/03/2025;4,680;4,530;4,720;4,500;65.35M;3.31%
02/28/2025;4,530;4,650;4,650;4,370;70.62M;-1.31%
02/27/2025;4,590;4,550;4,590;4,480;37.73M;0.22%
