Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;4,510;4,610;4,640;4,510;155.90M;-2.38%
07/30/2025;4,620;4,710;4,720;4,620;141.26M;-1.91%
07/29/2025;4,710;4,700;4,720;4,690;74.42M;0.21%
07/28/2025;4,700;4,730;4,750;4,690;112.05M;0.21%
07/25/2025;4,690;4,800;4,800;4,690;88.47M;-2.29%
07/24/2025;4,800;4,690;4,840;4,680;273.62M;2.56%
07/23/2025;4,680;4,660;4,690;4,660;115.30M;0.43%
07/22/2025;4,660;4,680;4,710;4,650;132.98M;-0.43%
07/21/2025;4,680;4,770;4,770;4,680;103.39M;-1.27%
07/18/2025;4,740;4,760;4,810;4,720;161.26M;0.42%
07/17/2025;4,720;4,700;4,720;4,680;120.30M;0.64%
07/16/2025;4,690;4,730;4,760;4,680;323.83M;-0.21%
07/15/2025;4,700;4,700;4,740;4,690;206.96M;0.21%
07/14/2025;4,690;4,980;4,990;4,670;429.44M;-5.63%
07/11/2025;4,970;4,850;4,990;4,830;219.98M;3.11%
07/10/2025;4,820;4,750;4,830;4,730;160.89M;2.34%
07/09/2025;4,710;4,720;4,760;4,670;110.20M;-0.21%
07/08/2025;4,720;4,710;4,750;4,700;132.85M;-0.42%
07/07/2025;4,740;4,740;4,750;4,680;120.54M;0.00%
07/04/2025;4,740;4,750;4,790;4,700;104.17M;0.00%
07/03/2025;4,740;4,780;4,850;4,720;103.85M;-0.63%
07/02/2025;4,770;4,730;4,770;4,710;159.15M;0.42%
07/01/2025;4,750;4,900;4,910;4,710;319.91M;-2.66%
06/30/2025;4,880;5,050;5,050;4,880;220.48M;-2.89%
06/26/2025;5,025;4,950;5,025;4,910;94.70M;2.97%
06/25/2025;4,880;5,025;5,050;4,880;139.96M;-2.89%
06/24/2025;5,025;5,050;5,125;5,025;126.56M;2.13%
06/23/2025;4,920;4,870;4,930;4,800;119.44M;-0.20%
06/20/2025;4,930;4,940;4,990;4,830;301.15M;-0.80%
06/19/2025;4,970;5,050;5,050;4,910;114.77M;-2.07%
06/18/2025;5,075;5,075;5,100;5,025;53.35M;-0.49%
06/17/2025;5,100;5,175;5,225;5,100;70.66M;-0.97%
06/16/2025;5,150;5,150;5,200;5,100;61.70M;0.00%
06/13/2025;5,150;5,175;5,250;5,100;128.07M;-0.48%
06/12/2025;5,175;5,225;5,225;5,125;72.42M;-0.48%
06/11/2025;5,200;5,300;5,300;5,150;90.67M;-0.95%
06/10/2025;5,250;5,075;5,250;5,075;158.26M;3.45%
06/05/2025;5,075;5,050;5,075;5,000;69.18M;1.00%
06/04/2025;5,025;5,125;5,125;4,980;139.58M;-0.50%
06/03/2025;5,050;5,100;5,125;4,950;169.32M;-0.49%
06/02/2025;5,075;5,200;5,250;5,025;373.47M;-4.25%
05/28/2025;5,300;5,400;5,425;5,300;190.67M;-1.85%
05/27/2025;5,400;5,500;5,500;5,400;86.08M;-1.37%
05/26/2025;5,475;5,425;5,475;5,300;102.96M;0.92%
05/23/2025;5,425;5,500;5,500;5,375;89.69M;-0.46%
05/22/2025;5,450;5,450;5,500;5,400;137.59M;0.00%
05/21/2025;5,450;5,400;5,550;5,375;167.24M;0.93%
05/20/2025;5,400;5,500;5,550;5,350;145.53M;-2.26%
05/19/2025;5,525;5,450;5,575;5,400;191.44M;0.91%
05/16/2025;5,475;5,425;5,475;5,200;229.38M;2.82%
05/15/2025;5,325;5,075;5,400;5,050;300.15M;5.45%
05/14/2025;5,050;4,890;5,050;4,880;342.47M;5.87%
05/09/2025;4,770;4,790;4,830;4,750;164.01M;-0.42%
05/08/2025;4,790;4,960;5,025;4,790;205.20M;-3.23%
05/07/2025;4,950;5,050;5,050;4,950;100.67M;-0.60%
05/06/2025;4,980;5,025;5,050;4,980;120.17M;0.00%
05/05/2025;4,980;4,990;5,100;4,960;154.07M;0.40%
05/02/2025;4,960;4,980;4,980;4,910;146.80M;1.43%
04/30/2025;4,890;4,900;4,920;4,810;278.36M;-1.01%
04/29/2025;4,940;4,930;4,950;4,880;108.86M;0.41%
04/28/2025;4,920;4,950;4,980;4,890;90.70M;0.41%
04/25/2025;4,900;4,960;4,960;4,900;134.21M;0.20%
04/24/2025;4,890;4,950;5,025;4,860;282.97M;-0.20%
04/23/2025;4,900;4,780;4,900;4,740;273.40M;3.81%
04/22/2025;4,720;4,610;4,720;4,590;126.43M;2.39%
04/21/2025;4,610;4,600;4,640;4,560;83.03M;0.22%
04/17/2025;4,600;4,630;4,660;4,570;165.38M;-0.65%
04/16/2025;4,630;4,740;4,750;4,590;201.71M;-1.70%
04/15/2025;4,710;4,800;4,820;4,710;231.01M;-0.84%
04/14/2025;4,750;4,650;4,750;4,650;423.72M;-6.86%
04/11/2025;5,100;5,000;5,175;4,950;384.96M;1.49%
04/10/2025;5,025;5,200;5,225;4,970;559.97M;6.69%
04/09/2025;4,710;4,630;4,790;4,630;316.82M;0.86%
04/08/2025;4,670;4,500;4,830;4,500;738.45M;-10.19%
03/27/2025;5,200;5,150;5,250;5,050;301.03M;0.97%
03/26/2025;5,150;4,980;5,175;4,930;582.17M;8.65%
03/25/2025;4,740;4,500;4,810;4,500;313.03M;6.28%
03/24/2025;4,460;4,350;4,530;4,250;319.02M;1.13%
03/21/2025;4,410;4,600;4,610;4,380;374.40M;-4.55%
03/20/2025;4,620;4,760;4,770;4,610;138.21M;-1.28%
03/19/2025;4,680;4,530;4,700;4,440;273.08M;3.31%
03/18/2025;4,530;4,680;4,690;4,300;387.57M;-3.21%
03/17/2025;4,680;4,740;4,770;4,660;135.69M;-1.27%
03/14/2025;4,740;4,640;4,800;4,640;154.33M;0.00%
03/13/2025;4,740;4,940;4,940;4,710;176.29M;-2.87%
03/12/2025;4,880;4,750;4,880;4,750;129.97M;2.95%
03/11/2025;4,740;4,650;4,780;4,640;150.74M;0.64%
03/10/2025;4,710;4,730;4,760;4,660;231.15M;-2.69%
03/07/2025;4,840;4,870;4,870;4,810;117.92M;-0.62%
03/06/2025;4,870;4,910;4,980;4,870;194.91M;0.21%
03/05/2025;4,860;4,860;5,050;4,860;252.22M;0.41%
03/04/2025;4,840;4,900;4,920;4,750;144.35M;-1.22%
03/03/2025;4,900;4,750;4,980;4,700;257.12M;6.52%
02/28/2025;4,600;4,620;4,690;4,550;464.70M;-1.29%
02/27/2025;4,660;4,930;4,950;4,660;334.92M;-5.28%
02/26/2025;4,920;4,860;4,980;4,850;161.84M;1.03%
02/25/2025;4,870;5,000;5,025;4,860;224.61M;-3.08%
02/24/2025;5,025;5,050;5,075;4,980;127.58M;-0.99%
02/21/2025;5,075;5,000;5,100;5,000;152.53M;-1.46%
02/20/2025;5,150;5,125;5,225;5,100;98.36M;-0.48%
02/19/2025;5,175;5,375;5,400;5,125;204.34M;-5.05%
02/18/2025;5,450;5,450;5,550;5,375;157.43M;0.46%
02/17/2025;5,425;5,200;5,475;5,175;223.84M;5.85%
02/14/2025;5,125;5,100;5,200;4,970;239.71M;1.99%
02/13/2025;5,025;4,940;5,075;4,900;215.27M;1.72%
02/12/2025;4,940;4,920;4,950;4,830;225.07M;1.23%
02/11/2025;4,880;4,750;4,950;4,750;316.74M;-2.40%
02/10/2025;5,000;5,150;5,150;4,990;169.38M;-2.91%
02/07/2025;5,150;5,000;5,150;4,950;407.90M;0.98%
02/06/2025;5,100;5,425;5,425;5,000;642.12M;-7.69%
02/05/2025;5,525;5,600;5,600;5,475;185.66M;-2.64%
02/04/2025;5,675;5,825;5,850;5,625;121.87M;-2.16%
02/03/2025;5,800;5,975;6,000;5,700;182.18M;-3.73%
01/31/2025;6,025;6,175;6,225;6,025;107.86M;-1.23%
01/30/2025;6,100;6,100;6,225;6,075;101.40M;-0.41%
