Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;2,630;2,610;2,730;2,600;137.42M;0.77%
07/30/2025;2,610;2,630;2,730;2,600;155.30M;0.00%
07/29/2025;2,610;2,500;2,630;2,470;252.63M;5.67%
07/28/2025;2,470;2,500;2,530;2,420;182.34M;-0.40%
07/25/2025;2,480;2,180;2,500;2,160;375.56M;11.71%
07/24/2025;2,220;2,250;2,360;2,210;199.63M;0.45%
07/23/2025;2,210;2,230;2,230;2,080;234.95M;0.45%
07/22/2025;2,200;2,450;2,470;2,190;294.52M;-7.95%
07/21/2025;2,390;2,280;2,450;2,210;232.91M;5.75%
07/18/2025;2,260;2,230;2,340;2,220;243.78M;3.67%
07/17/2025;2,180;2,010;2,240;2,010;276.84M;8.46%
07/16/2025;2,010;2,050;2,060;1,930;166.47M;-0.99%
07/15/2025;2,030;2,100;2,150;1,955;351.07M;-3.33%
07/14/2025;2,100;1,930;2,160;1,840;684.75M;16.67%
07/11/2025;1,800;1,745;1,820;1,745;163.68M;3.45%
07/10/2025;1,740;1,755;1,850;1,725;355.01M;0.00%
07/09/2025;1,740;1,695;1,745;1,660;195.54M;3.26%
07/08/2025;1,685;1,670;1,725;1,640;301.45M;1.51%
07/07/2025;1,660;1,560;1,660;1,545;185.61M;7.10%
07/04/2025;1,550;1,540;1,585;1,540;88.95M;0.65%
07/03/2025;1,540;1,580;1,590;1,525;109.11M;-2.53%
07/02/2025;1,580;1,660;1,710;1,530;240.64M;-4.53%
07/01/2025;1,655;1,655;1,695;1,635;141.99M;-0.30%
06/30/2025;1,660;1,620;1,680;1,585;306.98M;4.08%
06/26/2025;1,595;1,595;1,615;1,570;189.15M;0.63%
06/25/2025;1,585;1,520;1,595;1,515;228.91M;4.28%
06/24/2025;1,520;1,540;1,560;1,495;196.30M;1.33%
06/23/2025;1,500;1,450;1,525;1,435;188.90M;0.00%
06/20/2025;1,500;1,485;1,560;1,470;405.09M;1.01%
06/19/2025;1,485;1,560;1,560;1,470;159.54M;-3.57%
06/18/2025;1,540;1,530;1,550;1,495;118.49M;0.98%
06/17/2025;1,525;1,590;1,630;1,515;268.11M;-2.24%
06/16/2025;1,560;1,530;1,575;1,475;315.62M;2.30%
06/13/2025;1,525;1,465;1,525;1,455;131.42M;2.69%
06/12/2025;1,485;1,500;1,570;1,475;312.63M;-0.67%
06/11/2025;1,495;1,475;1,520;1,445;245.83M;-0.66%
06/10/2025;1,505;1,535;1,610;1,500;659.35M;-0.33%
06/05/2025;1,510;1,305;1,530;1,300;917.96M;17.05%
06/04/2025;1,290;1,300;1,300;1,260;142.08M;0.00%
06/03/2025;1,290;1,260;1,305;1,235;335.57M;3.20%
06/02/2025;1,250;1,270;1,285;1,200;310.72M;-0.79%
05/28/2025;1,260;1,325;1,350;1,260;491.01M;-6.67%
05/27/2025;1,350;1,245;1,375;1,245;736.93M;10.66%
05/26/2025;1,220;1,185;1,310;1,165;761.55M;5.63%
05/23/2025;1,155;1,100;1,175;1,060;465.12M;6.94%
05/22/2025;1,080;985;1,080;985;453.00M;10.20%
05/21/2025;980;935;985;925;230.19M;5.38%
05/20/2025;930;895;950;890;229.74M;5.68%
05/19/2025;880;885;890;870;62.38M;0.57%
05/16/2025;875;870;890;865;102.48M;1.74%
05/15/2025;860;860;885;850;156.14M;0.58%
05/14/2025;855;855;865;835;115.57M;4.27%
05/09/2025;820;825;850;815;60.87M;0.00%
05/08/2025;820;865;865;815;169.97M;-2.96%
05/07/2025;845;790;855;785;254.72M;8.33%
05/06/2025;780;780;795;765;72.93M;1.30%
05/05/2025;770;760;800;760;83.01M;1.99%
05/02/2025;755;745;760;740;42.28M;1.34%
04/30/2025;745;755;760;740;45.00M;-1.32%
04/29/2025;755;765;765;750;30.57M;0.00%
04/28/2025;755;750;770;740;62.20M;0.67%
04/25/2025;750;770;770;750;40.99M;-1.96%
04/24/2025;765;775;785;755;45.05M;-1.29%
04/23/2025;775;780;795;765;70.63M;0.65%
04/22/2025;770;765;775;750;74.12M;0.65%
04/21/2025;765;760;790;750;71.71M;0.00%
04/17/2025;765;730;765;705;93.73M;4.79%
04/16/2025;730;710;730;695;111.09M;3.55%
04/15/2025;705;705;720;680;78.73M;1.44%
04/14/2025;695;660;700;650;49.10M;4.51%
04/11/2025;665;650;690;630;64.68M;1.53%
04/10/2025;655;650;675;640;104.65M;9.17%
04/09/2025;600;640;660;600;67.82M;-6.98%
04/08/2025;645;605;655;605;87.31M;-9.15%
03/27/2025;710;680;720;670;72.71M;4.41%
03/26/2025;680;655;685;650;67.23M;5.43%
03/25/2025;645;665;675;640;44.18M;-1.53%
03/24/2025;655;705;705;620;106.79M;-6.43%
03/21/2025;700;680;725;650;198.49M;3.70%
03/20/2025;675;675;710;660;125.96M;0.75%
03/19/2025;670;665;680;630;140.63M;2.29%
03/18/2025;655;780;780;585;391.02M;-15.48%
03/17/2025;775;795;800;765;41.35M;-0.64%
03/14/2025;780;800;800;775;38.50M;-2.50%
