Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;430;444;456;428;918.60M;-5.29%
07/30/2025;454;472;480;452;883.77M;-3.40%
07/29/2025;470;442;474;438;1.03B;6.33%
07/28/2025;442;432;444;432;314.98M;2.79%
07/25/2025;430;438;442;430;321.67M;-1.83%
07/24/2025;438;442;444;428;580.82M;-0.90%
07/23/2025;442;444;450;432;602.79M;0.91%
07/22/2025;438;474;482;438;1.19B;-7.20%
07/21/2025;472;456;474;452;843.44M;4.89%
07/18/2025;450;448;456;444;648.93M;0.90%
07/17/2025;446;456;458;446;525.53M;-1.33%
07/16/2025;452;434;456;430;1.05B;4.63%
07/15/2025;432;440;444;424;1.00B;-0.92%
07/14/2025;436;404;438;404;1.23B;9.00%
07/11/2025;400;402;406;398;283.98M;-0.50%
07/10/2025;402;404;412;400;449.00M;-0.50%
07/09/2025;404;408;414;400;383.17M;-0.98%
07/08/2025;408;398;416;398;663.09M;2.51%
07/07/2025;398;406;408;394;344.13M;-1.49%
07/04/2025;404;396;410;388;661.81M;2.02%
07/03/2025;396;392;404;392;397.60M;1.02%
07/02/2025;392;406;406;390;612.75M;-3.92%
07/01/2025;408;400;412;396;972.00M;3.03%
06/30/2025;396;402;404;384;687.74M;-0.50%
06/26/2025;398;396;406;392;501.81M;1.53%
06/25/2025;392;404;406;388;529.23M;-2.97%
06/24/2025;404;410;414;402;556.66M;0.00%
06/23/2025;404;418;422;388;1.33B;-2.42%
06/20/2025;414;422;434;412;2.86B;-1.90%
06/19/2025;422;440;442;420;1.02B;-4.52%
06/18/2025;442;460;464;438;815.09M;-3.49%
06/17/2025;458;448;466;432;1.96B;0.88%
06/16/2025;454;500;505;454;2.03B;-8.10%
06/13/2025;494;500;510;486;1.34B;0.00%
06/12/2025;494;490;500;474;1.79B;2.07%
06/11/2025;484;438;488;432;2.65B;12.04%
06/10/2025;432;414;446;404;1.95B;3.85%
06/05/2025;416;406;426;396;1.33B;3.48%
06/04/2025;402;388;414;388;1.07B;4.15%
06/03/2025;386;394;400;386;672.08M;-0.52%
06/02/2025;388;390;394;374;836.81M;-0.51%
05/28/2025;390;398;400;384;673.07M;-2.50%
05/27/2025;400;424;424;396;1.09B;-4.76%
05/26/2025;420;390;424;390;1.91B;9.38%
05/23/2025;384;388;390;374;594.08M;0.52%
05/22/2025;382;366;382;360;822.05M;6.11%
05/21/2025;360;366;374;358;461.50M;0.00%
05/20/2025;360;362;368;358;318.74M;-1.10%
05/19/2025;364;364;368;360;316.07M;1.11%
05/16/2025;360;368;372;356;447.39M;0.00%
05/15/2025;360;362;372;358;466.84M;-0.55%
05/14/2025;362;378;384;360;551.12M;-4.23%
05/09/2025;378;382;386;378;177.17M;-1.56%
05/08/2025;384;396;400;384;336.18M;-3.03%
05/07/2025;396;396;410;392;509.21M;0.00%
05/06/2025;396;382;400;382;595.13M;5.88%
05/05/2025;374;378;380;372;166.72M;0.00%
05/02/2025;374;380;390;374;353.06M;-2.09%
04/30/2025;382;404;404;382;538.19M;-3.54%
04/29/2025;396;374;402;374;748.38M;7.61%
04/28/2025;368;372;372;364;187.21M;-0.54%
04/25/2025;370;374;380;370;208.43M;-0.54%
04/24/2025;372;380;384;372;199.07M;-1.06%
04/23/2025;376;380;380;368;399.66M;-1.57%
04/22/2025;382;388;392;380;530.96M;0.53%
04/21/2025;380;378;388;374;453.89M;3.26%
04/17/2025;368;374;382;368;626.02M;-0.54%
04/16/2025;370;366;374;362;485.89M;2.78%
04/15/2025;360;362;374;356;413.10M;-0.55%
04/14/2025;362;366;376;358;565.17M;4.02%
04/11/2025;348;310;352;304;710.52M;16.00%
04/10/2025;300;298;312;294;476.65M;8.70%
04/09/2025;276;274;294;274;454.92M;-2.82%
04/08/2025;284;284;294;284;688.68M;-14.46%
03/27/2025;332;330;338;326;207.53M;0.00%
03/26/2025;332;330;342;328;407.72M;1.84%
03/25/2025;326;322;334;312;525.18M;2.52%
03/24/2025;318;332;340;304;622.08M;-6.47%
03/21/2025;340;370;370;340;998.14M;-7.61%
03/20/2025;368;368;376;364;289.43M;1.66%
03/19/2025;362;364;372;346;352.74M;0.56%
03/18/2025;360;390;392;292;829.88M;-6.74%
03/17/2025;386;378;392;376;267.62M;3.21%
03/14/2025;374;388;392;372;286.14M;-1.58%
03/13/2025;380;388;390;380;139.57M;-1.04%
03/12/2025;384;380;388;378;186.14M;2.13%
03/11/2025;376;376;384;366;298.05M;-3.59%
03/10/2025;390;402;412;388;348.49M;-2.01%
03/07/2025;398;392;410;386;419.43M;1.53%
03/06/2025;392;376;394;376;355.71M;5.38%
03/05/2025;372;370;380;366;279.11M;2.20%
03/04/2025;364;378;382;356;356.15M;-4.21%
03/03/2025;380;360;388;360;399.41M;7.34%
02/28/2025;354;382;382;352;458.09M;-7.81%
02/27/2025;384;386;394;374;397.56M;0.52%
02/26/2025;382;404;410;378;506.51M;-5.45%
02/25/2025;404;422;424;394;374.02M;-3.35%
02/24/2025;418;416;428;410;446.69M;0.48%
02/21/2025;416;430;440;416;604.76M;-3.26%
02/20/2025;430;404;452;404;2.68B;9.14%
02/19/2025;394;382;394;380;824.39M;4.23%
02/18/2025;378;370;384;364;609.13M;2.16%
02/17/2025;370;360;374;358;531.71M;1.65%
02/14/2025;364;338;370;334;717.44M;8.98%
02/13/2025;334;340;346;326;444.29M;-1.18%
02/12/2025;338;364;364;322;1.22B;-7.14%
02/11/2025;364;368;378;360;374.83M;0.55%
02/10/2025;362;370;376;354;562.71M;-2.16%
02/07/2025;370;388;388;364;438.86M;-5.61%
02/06/2025;392;394;396;386;289.70M;1.03%
02/05/2025;388;382;406;380;807.11M;3.19%
02/04/2025;376;378;392;376;444.39M;1.08%
02/03/2025;372;378;378;364;327.75M;-2.62%
01/31/2025;382;380;394;376;382.82M;2.14%
01/30/2025;374;394;394;358;1.20B;-5.08%
01/24/2025;394;400;406;394;321.88M;-1.50%
01/23/2025;400;414;418;400;417.61M;-1.96%
01/22/2025;408;414;418;408;369.61M;0.00%
01/21/2025;408;408;424;404;811.26M;0.99%
01/20/2025;404;400;408;396;344.99M;1.00%
01/17/2025;400;416;420;396;431.42M;-2.44%
01/16/2025;410;414;420;406;435.48M;0.99%
01/15/2025;406;418;418;404;356.23M;-2.87%
01/14/2025;418;404;424;394;676.30M;2.45%
01/13/2025;408;432;438;406;710.14M;-4.67%
01/10/2025;428;386;428;386;863.56M;12.04%
01/09/2025;382;404;412;376;687.95M;-4.50%
01/08/2025;400;432;432;398;602.56M;-6.10%
01/07/2025;426;428;448;424;611.52M;0.00%
01/06/2025;426;432;446;426;530.78M;-1.39%
01/03/2025;432;408;434;392;1.19B;7.46%
01/02/2025;402;346;402;336;994.23M;16.18%
12/30/2024;346;332;352;324;577.81M;4.22%
12/27/2024;332;346;354;326;513.70M;-4.05%
12/24/2024;346;350;356;340;356.25M;-0.57%
12/23/2024;348;358;358;346;551.96M;-1.14%
12/20/2024;352;354;366;350;566.35M;0.00%
12/19/2024;352;366;366;348;669.12M;-6.38%
12/18/2024;376;380;394;370;426.36M;-1.05%
12/17/2024;380;400;406;376;420.72M;-4.52%
12/16/2024;398;410;410;392;578.71M;-4.33%
12/13/2024;416;434;436;414;406.31M;-5.02%
12/12/2024;438;436;446;432;351.96M;1.39%
12/11/2024;432;454;458;428;698.33M;-2.70%
12/10/2024;444;424;448;424;822.91M;6.22%
12/09/2024;418;416;424;410;423.63M;2.45%
12/06/2024;408;412;414;406;181.88M;-0.97%
12/05/2024;412;416;426;410;223.36M;-0.96%
12/04/2024;416;400;422;400;503.99M;4.52%
12/03/2024;398;400;406;396;272.89M;0.00%
12/02/2024;398;414;430;396;889.41M;-3.86%
11/29/2024;414;396;420;394;547.83M;4.55%
11/28/2024;396;410;420;390;572.84M;-3.41%
11/26/2024;410;418;426;402;686.40M;-2.84%
11/25/2024;422;442;446;410;991.26M;-4.52%
11/22/2024;442;446;452;440;580.68M;-0.90%
11/21/2024;446;438;448;432;640.34M;2.76%
11/20/2024;434;434;444;424;615.18M;-0.46%
11/19/2024;436;430;470;430;1.52B;-3.11%
11/18/2024;450;420;458;404;2.55B;12.50%
11/15/2024;400;410;424;366;2.98B;-3.85%
11/14/2024;416;442;442;404;2.62B;-5.45%
11/13/2024;440;470;476;440;1.31B;-6.38%
11/12/2024;470;478;498;466;1.81B;-4.86%
11/11/2024;494;438;505;438;1.84B;9.78%
11/08/2024;450;400;456;400;1.78B;13.07%
11/07/2024;398;420;428;380;2.22B;-9.55%
11/06/2024;440;414;488;414;3.08B;6.80%
11/05/2024;412;384;414;380;1.30B;7.85%
11/04/2024;382;378;408;370;1.98B;1.06%
11/01/2024;378;368;378;352;805.39M;2.72%
10/31/2024;368;390;392;366;848.78M;-4.66%
10/30/2024;386;378;390;372;1.09B;2.66%
10/29/2024;376;378;386;372;653.44M;0.53%
10/28/2024;374;350;380;348;981.99M;6.86%
10/25/2024;350;362;374;348;1.04B;-3.31%
10/24/2024;362;382;386;352;1.53B;-5.24%
10/23/2024;382;388;392;372;1.35B;1.06%
10/22/2024;378;350;382;336;1.63B;9.88%
10/21/2024;344;344;352;340;837.53M;1.78%
10/18/2024;338;336;354;330;1.52B;0.60%
10/17/2024;336;288;350;288;2.61B;17.48%
10/16/2024;286;288;292;282;590.77M;-0.69%
10/15/2024;288;280;304;276;2.63B;5.11%
10/14/2024;274;272;280;268;864.17M;0.00%
10/11/2024;274;268;278;262;479.28M;4.58%
10/10/2024;262;274;278;258;632.74M;-3.68%
10/09/2024;272;276;280;266;526.75M;-1.45%
10/08/2024;276;284;286;262;1.29B;-2.82%
10/07/2024;284;260;284;260;950.12M;5.97%
10/04/2024;268;244;270;242;1.27B;9.84%
10/03/2024;244;276;276;240;1.28B;-8.96%
10/02/2024;268;250;288;250;2.53B;7.20%
10/01/2024;250;236;250;224;1.89B;8.70%
09/30/2024;230;206;232;202;1.72B;15.00%
09/27/2024;200;204;208;197;391.27M;-0.99%
09/26/2024;202;199;204;194;319.94M;2.02%
09/25/2024;198;195;206;193;635.45M;2.06%
09/24/2024;194;197;204;193;543.64M;-1.02%
09/23/2024;196;176;198;174;1.03B;12.00%
09/20/2024;175;170;178;166;413.87M;2.94%
09/19/2024;170;164;170;162;230.12M;4.29%
09/18/2024;163;166;168;162;146.16M;-1.81%
09/17/2024;166;153;167;153;216.87M;3.75%
09/13/2024;160;160;163;159;133.67M;1.27%
09/12/2024;158;157;160;156;115.48M;1.28%
09/11/2024;156;159;161;155;152.97M;-1.89%
09/10/2024;159;160;162;157;122.87M;0.00%
09/09/2024;159;163;166;159;194.33M;-2.45%
09/06/2024;163;164;166;163;77.51M;-0.61%
09/05/2024;164;170;170;162;238.61M;-2.38%
09/04/2024;168;169;171;166;244.66M;-0.59%
09/03/2024;169;161;173;160;566.88M;5.63%
09/02/2024;160;163;163;159;110.51M;-1.23%
08/30/2024;162;162;163;160;105.89M;1.25%
08/29/2024;160;164;164;160;81.34M;-1.84%
08/28/2024;163;162;167;161;175.05M;0.62%
08/27/2024;162;164;164;158;113.34M;0.62%
08/26/2024;161;159;162;159;99.65M;1.26%
08/23/2024;159;158;160;156;80.69M;1.92%
08/22/2024;156;164;164;156;161.66M;-3.11%
08/21/2024;161;160;167;157;468.75M;1.26%
08/20/2024;159;158;161;156;155.87M;1.27%
