Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;4,990;5,000;5,100;4,930;2.98M;-0.20%
07/30/2025;5,000;4,970;5,150;4,900;7.70M;1.01%
07/29/2025;4,950;4,800;5,000;4,800;10.78M;4.21%
07/28/2025;4,750;4,620;4,810;4,610;1.90M;2.37%
07/25/2025;4,640;4,610;4,640;4,580;1.43M;0.87%
07/24/2025;4,600;4,620;4,650;4,570;1.03M;-2.13%
07/23/2025;4,700;4,600;4,700;4,510;1.41M;2.17%
07/22/2025;4,600;4,530;4,600;4,480;2.73M;1.55%
07/21/2025;4,530;4,700;4,700;4,490;6.41M;-3.62%
07/18/2025;4,700;4,770;4,770;4,700;756.90K;-1.05%
07/17/2025;4,750;4,650;4,750;4,650;840.10K;2.15%
07/16/2025;4,650;4,730;4,730;4,640;2.96M;-1.69%
07/15/2025;4,730;4,710;4,760;4,700;2.29M;0.64%
07/14/2025;4,700;4,730;4,760;4,700;1.85M;-0.63%
07/11/2025;4,730;4,730;4,740;4,700;1.55M;0.21%
07/10/2025;4,720;4,750;4,750;4,680;2.05M;0.43%
07/09/2025;4,700;4,740;4,790;4,700;1.91M;0.00%
07/08/2025;4,700;4,730;4,790;4,700;3.38M;-0.63%
07/07/2025;4,730;4,790;4,850;4,710;685.90K;-2.47%
07/04/2025;4,850;4,870;4,890;4,780;1.37M;0.21%
07/03/2025;4,840;4,810;4,880;4,790;1.38M;0.62%
07/02/2025;4,810;4,730;4,870;4,700;1.43M;2.12%
07/01/2025;4,710;4,880;4,890;4,710;392.10K;-3.29%
06/30/2025;4,870;4,790;4,930;4,740;3.33M;2.10%
06/26/2025;4,770;4,700;4,770;4,700;960.10K;1.49%
06/25/2025;4,700;4,710;4,740;4,650;4.34M;0.21%
06/24/2025;4,690;4,550;4,740;4,550;1.68M;3.53%
06/23/2025;4,530;4,630;4,690;4,530;1.82M;-2.58%
06/20/2025;4,650;4,710;4,740;4,650;9.05M;-1.27%
06/19/2025;4,710;4,830;4,830;4,700;992.30K;-2.48%
06/18/2025;4,830;4,870;4,920;4,720;2.09M;0.00%
06/17/2025;4,830;4,840;4,880;4,790;829.70K;0.00%
06/16/2025;4,830;4,780;4,830;4,760;1.40M;1.05%
06/13/2025;4,780;4,880;4,880;4,730;2.25M;-2.05%
06/12/2025;4,880;4,850;4,890;4,800;2.22M;0.62%
06/11/2025;4,850;4,800;4,900;4,690;2.75M;1.04%
06/10/2025;4,800;4,800;4,870;4,690;1.68M;0.00%
06/05/2025;4,800;4,820;4,840;4,710;1.82M;-0.41%
06/04/2025;4,820;4,650;4,840;4,630;3.58M;3.66%
06/03/2025;4,650;4,650;4,690;4,560;1.88M;0.00%
06/02/2025;4,650;4,870;4,870;4,600;7.81M;-4.71%
05/28/2025;4,880;4,710;4,880;4,560;9.10M;3.39%
05/27/2025;4,720;4,790;4,800;4,570;4.88M;-1.67%
05/26/2025;4,800;4,900;4,900;4,710;1.57M;-2.04%
05/23/2025;4,900;5,100;5,100;4,890;4.21M;-1.61%
05/22/2025;4,980;4,880;5,400;4,770;14.35M;2.05%
05/21/2025;4,880;4,650;4,920;4,600;7.00M;5.63%
05/20/2025;4,620;4,720;4,740;4,530;7.82M;-1.91%
05/19/2025;4,710;4,500;4,760;4,480;5.73M;4.67%
05/16/2025;4,500;4,500;4,520;4,410;3.11M;0.22%
05/15/2025;4,490;4,400;4,520;4,400;1.66M;2.05%
05/14/2025;4,400;4,400;4,430;4,260;2.13M;0.00%
05/09/2025;4,400;4,430;4,430;4,360;622.80K;-0.68%
05/08/2025;4,430;4,480;4,480;4,370;2.64M;-0.23%
05/07/2025;4,440;4,490;4,500;4,440;1.32M;-0.89%
05/06/2025;4,480;4,490;4,550;4,470;1.58M;-0.22%
05/05/2025;4,490;4,550;4,550;4,420;1.82M;-0.22%
05/02/2025;4,500;4,580;4,590;4,420;2.47M;-1.75%
04/30/2025;4,580;4,730;4,730;4,500;5.04M;-3.17%
04/29/2025;4,730;4,800;4,800;4,650;3.03M;-2.07%
04/28/2025;4,830;4,870;4,870;4,720;2.93M;3.65%
04/25/2025;4,660;4,560;4,700;4,560;2.44M;2.87%
04/24/2025;4,530;4,510;4,670;4,450;2.58M;1.80%
04/23/2025;4,450;4,130;4,480;4,130;4.11M;7.75%
04/22/2025;4,130;4,120;4,180;4,100;1.94M;0.24%
04/21/2025;4,120;4,230;4,260;4,100;1.59M;-2.37%
04/17/2025;4,220;4,400;4,400;4,220;420.50K;-1.17%
04/16/2025;4,270;4,260;4,340;4,220;529.50K;0.47%
04/15/2025;4,250;4,360;4,380;4,250;405.50K;-2.52%
04/14/2025;4,360;4,240;4,360;4,200;693.60K;3.81%
04/11/2025;4,200;4,410;4,420;4,200;713.40K;-5.41%
04/10/2025;4,440;4,400;4,570;4,310;1.32M;3.02%
04/09/2025;4,310;4,330;4,400;4,220;2.02M;-0.69%
04/08/2025;4,340;4,250;4,450;4,110;3.07M;-4.41%
03/27/2025;4,540;4,250;4,540;4,120;2.85M;8.35%
03/26/2025;4,190;4,080;4,250;4,070;2.03M;2.70%
03/25/2025;4,080;4,030;4,160;3,950;635.60K;1.24%
03/24/2025;4,030;4,030;4,120;3,980;2.06M;0.00%
03/21/2025;4,030;4,030;4,030;3,890;6.25M;0.00%
03/20/2025;4,030;4,050;4,070;3,900;2.92M;0.00%
03/19/2025;4,030;4,180;4,180;3,940;2.80M;-3.59%
03/18/2025;4,180;4,270;4,290;4,180;676.00K;-1.88%
03/17/2025;4,260;4,360;4,360;4,250;279.90K;-2.07%
03/14/2025;4,350;4,380;4,400;4,350;234.20K;-1.14%
03/13/2025;4,400;4,410;4,440;4,350;383.70K;-0.23%
03/12/2025;4,410;4,460;4,500;4,410;454.80K;-1.12%
03/11/2025;4,460;4,460;4,510;4,370;960.90K;-0.67%
03/10/2025;4,490;4,600;4,600;4,410;1.56M;-2.39%
03/07/2025;4,600;4,550;4,600;4,500;480.00K;1.10%
03/06/2025;4,550;4,500;4,560;4,450;1.45M;1.11%
03/05/2025;4,500;4,320;4,530;4,300;3.04M;4.17%
03/04/2025;4,320;4,500;4,500;4,280;1.15M;-2.70%
03/03/2025;4,440;4,560;4,590;4,440;1.58M;-2.63%
02/28/2025;4,560;4,340;4,560;4,220;4.66M;4.83%
02/27/2025;4,350;4,400;4,400;4,270;2.39M;-1.14%
02/26/2025;4,400;4,540;4,560;4,340;3.50M;-3.08%
02/25/2025;4,540;4,600;4,620;4,450;3.78M;-1.30%
02/24/2025;4,600;4,650;4,690;4,550;1.81M;-1.29%
02/21/2025;4,660;4,700;4,770;4,640;5.14M;-0.85%
02/20/2025;4,700;4,740;4,740;4,620;5.13M;-0.84%
02/19/2025;4,740;4,850;4,850;4,670;2.39M;-2.27%
02/18/2025;4,850;4,810;4,870;4,770;695.40K;1.04%
