Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;920;950;950;920;14.48M;-2.13%
07/30/2025;940;950;955;935;4.50M;-1.05%
07/29/2025;950;945;965;930;17.21M;1.06%
07/28/2025;940;950;960;935;9.73M;0.00%
07/25/2025;940;940;950;930;7.81M;0.53%
07/24/2025;935;955;960;935;9.71M;-1.06%
07/23/2025;945;940;960;940;8.89M;0.53%
07/22/2025;940;945;955;920;22.39M;0.00%
07/21/2025;940;990;995;935;20.57M;-4.08%
07/18/2025;980;980;990;970;13.81M;0.00%
07/17/2025;980;975;985;965;10.97M;-0.51%
07/16/2025;985;995;1,020;970;37.37M;0.51%
07/15/2025;980;935;990;915;44.62M;4.81%
07/14/2025;935;980;980;935;15.52M;-4.59%
07/11/2025;980;985;995;980;10.59M;0.00%
07/10/2025;980;980;985;970;4.59M;0.51%
07/09/2025;975;960;975;955;6.71M;1.56%
07/08/2025;960;980;980;960;7.98M;-2.04%
07/07/2025;980;990;990;970;4.17M;-0.51%
07/04/2025;985;975;990;970;7.62M;1.03%
07/03/2025;975;955;995;950;14.26M;2.09%
07/02/2025;955;965;975;945;18.18M;-1.04%
07/01/2025;965;950;970;950;17.28M;1.05%
06/30/2025;955;955;965;935;15.39M;0.00%
06/26/2025;955;910;960;895;27.22M;3.24%
06/25/2025;925;950;960;925;7.24M;-2.63%
06/24/2025;950;905;970;905;51.04M;7.95%
06/23/2025;880;930;935;870;40.89M;-8.33%
06/20/2025;960;960;965;925;33.22M;-1.03%
06/19/2025;970;965;980;940;28.50M;0.00%
06/18/2025;970;1,000;1,005;965;10.40M;-2.02%
06/17/2025;990;965;1,010;955;37.54M;3.13%
06/16/2025;960;990;990;960;11.33M;-3.03%
06/13/2025;990;980;1,015;965;32.34M;1.54%
06/12/2025;975;1,000;1,005;975;25.15M;-2.99%
06/11/2025;1,005;995;1,010;980;28.28M;1.01%
06/10/2025;995;985;1,010;980;7.36M;1.02%
06/05/2025;985;975;985;960;16.74M;1.03%
06/04/2025;975;980;990;955;26.72M;0.00%
06/03/2025;975;975;980;955;29.60M;0.00%
06/02/2025;975;980;995;960;21.66M;-1.02%
05/28/2025;985;990;995;970;26.30M;0.00%
05/27/2025;985;985;995;980;14.21M;0.00%
05/26/2025;985;990;990;960;52.68M;0.00%
05/23/2025;985;975;990;975;23.15M;1.03%
05/22/2025;975;1,000;1,005;965;46.08M;-1.52%
05/21/2025;990;1,000;1,045;985;80.47M;-1.00%
05/20/2025;1,000;1,030;1,045;980;22.37M;-2.44%
05/19/2025;1,025;1,015;1,050;1,015;21.41M;0.99%
05/16/2025;1,015;1,025;1,025;995;15.33M;0.00%
05/15/2025;1,015;1,010;1,045;990;47.75M;-0.49%
05/14/2025;1,020;980;1,020;965;40.82M;5.70%
05/09/2025;965;970;975;960;13.73M;0.52%
05/08/2025;960;985;990;940;25.75M;-2.54%
05/07/2025;985;960;990;955;21.45M;3.68%
05/06/2025;950;960;965;950;31.42M;0.00%
05/05/2025;950;930;965;925;25.39M;2.15%
05/02/2025;930;920;950;920;19.19M;1.09%
04/30/2025;920;910;935;900;46.82M;1.66%
04/29/2025;905;910;915;900;11.61M;0.00%
04/28/2025;905;935;940;895;16.51M;-2.16%
04/25/2025;925;870;925;870;33.75M;6.32%
04/24/2025;870;860;885;860;33.49M;1.75%
04/23/2025;855;850;870;845;34.30M;1.18%
04/22/2025;845;855;860;830;36.56M;0.00%
04/21/2025;845;840;860;835;12.19M;0.60%
04/17/2025;840;815;850;805;17.41M;3.07%
04/16/2025;815;845;845;815;16.09M;-3.55%
04/15/2025;845;840;860;830;28.32M;0.60%
04/14/2025;840;800;860;795;50.98M;6.33%
04/11/2025;790;785;800;775;14.89M;-0.63%
04/10/2025;795;765;810;750;101.42M;6.71%
04/09/2025;745;700;750;700;29.96M;3.47%
04/08/2025;720;650;735;650;51.99M;-4.00%
03/27/2025;750;760;770;740;38.73M;-2.60%
03/26/2025;770;760;775;750;36.33M;3.36%
03/25/2025;745;730;750;720;34.73M;3.47%
03/24/2025;720;735;745;715;41.18M;-2.04%
03/21/2025;735;790;790;735;79.55M;-6.96%
03/20/2025;790;810;820;780;38.31M;-2.47%
03/19/2025;810;800;820;790;24.60M;0.62%
03/18/2025;805;850;850;780;54.09M;-5.29%
03/17/2025;850;835;855;830;9.93M;2.41%
03/14/2025;830;835;840;815;17.06M;-0.60%
03/13/2025;835;845;850;825;10.88M;-1.18%
03/12/2025;845;840;860;835;18.75M;0.60%
03/11/2025;840;850;855;830;47.30M;-2.89%
03/10/2025;865;880;880;855;11.15M;-1.70%
03/07/2025;880;870;895;855;19.20M;1.15%
03/06/2025;870;840;890;840;55.23M;4.19%
03/05/2025;835;810;855;810;26.04M;3.09%
03/04/2025;810;820;825;800;14.28M;-1.22%
03/03/2025;820;800;830;800;26.14M;3.14%
02/28/2025;795;815;820;790;42.39M;-3.64%
02/27/2025;825;810;840;805;30.75M;2.48%
02/26/2025;805;815;820;790;58.01M;-0.62%
02/25/2025;810;840;840;805;33.68M;-3.57%
02/24/2025;840;855;855;825;28.34M;-1.75%
02/21/2025;855;850;870;840;25.57M;1.18%
02/20/2025;845;870;880;835;49.68M;-3.98%
02/19/2025;880;900;905;865;30.06M;-1.12%
02/18/2025;890;910;925;890;26.16M;-2.20%
02/17/2025;910;890;935;890;35.98M;3.41%
02/14/2025;880;880;885;870;18.91M;1.15%
02/13/2025;870;865;880;850;26.92M;-0.57%
02/12/2025;875;860;885;860;16.85M;2.34%
02/11/2025;855;890;890;850;18.52M;-3.93%
02/10/2025;890;925;930;880;16.98M;-3.78%
02/07/2025;925;870;945;865;33.15M;6.32%
02/06/2025;870;940;940;860;30.44M;-5.95%
02/05/2025;925;970;970;925;20.94M;-3.65%
