Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;9,275;9,300;9,350;9,225;6.16M;0.00%
07/30/2025;9,275;9,400;9,400;9,275;4.23M;-1.33%
07/29/2025;9,400;9,475;9,475;9,275;6.50M;-0.27%
07/28/2025;9,425;9,225;9,425;9,225;9.87M;2.17%
07/25/2025;9,225;9,075;9,225;8,975;5.98M;1.37%
07/24/2025;9,100;9,050;9,100;8,950;5.66M;0.55%
07/23/2025;9,050;8,825;9,050;8,750;16.30M;2.55%
07/22/2025;8,825;9,350;9,425;8,750;19.92M;-5.36%
07/21/2025;9,325;9,500;9,525;9,300;9.44M;-0.80%
07/18/2025;9,400;9,700;9,775;9,400;14.51M;-2.84%
07/17/2025;9,675;9,600;9,750;9,550;12.99M;1.04%
07/16/2025;9,575;9,800;9,850;9,550;11.73M;-1.79%
07/15/2025;9,750;10,025;10,050;9,750;19.98M;-2.74%
07/14/2025;10,025;9,975;10,500;9,825;56.38M;2.30%
07/11/2025;9,800;9,950;10,000;9,800;10.05M;-1.01%
07/10/2025;9,900;10,050;10,050;9,900;11.84M;-1.49%
07/09/2025;10,050;10,250;10,275;9,900;16.83M;-1.23%
07/08/2025;10,175;9,800;10,275;9,800;20.17M;4.09%
07/07/2025;9,775;9,850;9,875;9,575;10.63M;-0.26%
07/04/2025;9,800;10,025;10,025;9,800;4.56M;-1.75%
07/03/2025;9,975;10,150;10,150;9,950;5.69M;-1.24%
07/02/2025;10,100;10,025;10,200;9,900;11.84M;1.00%
07/01/2025;10,000;9,925;10,025;9,850;9.06M;1.27%
06/30/2025;9,875;9,675;10,000;9,625;12.72M;2.07%
06/26/2025;9,675;9,525;9,675;9,400;8.36M;1.84%
06/25/2025;9,500;9,800;9,850;9,275;13.72M;-2.56%
06/24/2025;9,750;9,600;9,900;9,525;14.18M;4.00%
06/23/2025;9,375;9,525;9,650;9,125;18.99M;-2.85%
06/20/2025;9,650;9,800;9,900;9,600;17.28M;-1.28%
06/19/2025;9,775;10,475;10,600;9,700;25.94M;-5.33%
06/18/2025;10,325;10,250;10,350;10,225;9.16M;0.98%
06/17/2025;10,225;10,200;10,650;10,050;32.88M;3.28%
06/16/2025;9,900;10,000;10,050;9,675;13.18M;-1.00%
06/13/2025;10,000;9,750;10,050;9,650;13.77M;1.01%
06/12/2025;9,900;10,100;10,425;9,850;19.50M;-3.41%
06/11/2025;10,250;10,600;10,625;9,900;33.87M;-2.61%
06/10/2025;10,525;9,675;10,600;9,650;43.09M;9.92%
06/05/2025;9,575;9,300;9,675;9,300;21.03M;3.79%
06/04/2025;9,225;9,200;9,325;9,125;12.06M;1.10%
06/03/2025;9,125;9,350;9,450;9,125;13.05M;-1.88%
06/02/2025;9,300;9,500;9,650;9,100;27.25M;-0.27%
05/28/2025;9,325;9,875;9,900;9,325;76.68M;-4.85%
05/27/2025;9,800;9,850;9,925;9,700;19.27M;0.51%
05/26/2025;9,750;10,600;10,675;9,700;35.06M;-7.58%
05/23/2025;10,550;9,600;10,600;9,575;35.00M;10.76%
05/22/2025;9,525;9,575;9,700;9,525;7.53M;0.26%
05/21/2025;9,500;9,675;9,725;9,500;11.22M;-0.78%
05/20/2025;9,575;9,250;9,825;9,200;30.41M;4.64%
05/19/2025;9,150;9,300;9,475;9,100;16.40M;-0.81%
05/16/2025;9,225;9,125;9,275;9,100;17.40M;2.22%
05/15/2025;9,025;9,125;9,300;9,025;17.70M;-0.28%
05/14/2025;9,050;8,675;9,225;8,675;28.52M;6.16%
05/09/2025;8,525;8,875;9,000;8,400;20.63M;-3.94%
05/08/2025;8,875;9,050;9,175;8,775;25.82M;-1.66%
