Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;220;232;244;214;1.05B;-5.17%
07/30/2025;232;232;240;224;476.08M;0.00%
07/29/2025;232;236;238;226;534.94M;-1.69%
07/28/2025;236;222;238;222;780.46M;8.26%
07/25/2025;218;216;226;212;426.78M;0.93%
07/24/2025;216;224;226;210;457.60M;-2.70%
07/23/2025;222;206;224;202;620.34M;8.82%
07/22/2025;204;218;228;204;1.12B;-4.67%
07/21/2025;214;188;218;188;1.68B;14.44%
07/18/2025;187;187;189;182;414.34M;0.54%
07/17/2025;186;193;193;185;437.08M;-2.11%
07/16/2025;190;180;193;180;860.16M;5.56%
07/15/2025;180;175;182;172;373.81M;2.86%
07/14/2025;175;177;180;175;326.68M;-0.57%
07/11/2025;176;179;181;176;141.34M;-1.12%
07/10/2025;178;182;184;177;207.41M;-2.20%
07/09/2025;182;186;187;181;152.27M;-2.15%
07/08/2025;186;185;188;183;292.62M;0.54%
07/07/2025;185;183;185;179;197.24M;1.65%
07/04/2025;182;188;189;181;252.16M;-2.15%
07/03/2025;186;175;187;172;537.96M;6.90%
07/02/2025;174;178;178;172;168.05M;-1.69%
07/01/2025;177;180;181;171;294.65M;-1.67%
06/30/2025;180;176;183;174;266.01M;2.27%
06/26/2025;176;178;181;175;250.19M;-0.56%
06/25/2025;177;181;182;175;226.32M;-1.67%
06/24/2025;180;178;183;176;323.46M;2.86%
06/23/2025;175;173;184;166;406.77M;-1.69%
06/20/2025;178;178;185;175;326.23M;0.00%
06/19/2025;178;186;187;174;445.94M;-3.78%
06/18/2025;185;190;196;184;285.38M;-2.63%
06/17/2025;190;193;194;184;404.87M;-1.04%
06/16/2025;192;196;204;191;414.98M;-1.54%
06/13/2025;195;197;202;193;311.50M;-1.52%
06/12/2025;198;202;206;190;1.00B;-1.98%
06/11/2025;202;196;202;191;785.79M;5.21%
06/10/2025;192;185;202;185;1.27B;4.35%
06/05/2025;184;192;193;183;637.00M;-3.66%
06/04/2025;191;167;193;165;1.20B;15.06%
06/03/2025;166;166;169;161;299.02M;0.61%
06/02/2025;165;168;170;160;358.98M;-1.20%
05/28/2025;167;173;174;165;373.12M;-2.91%
05/27/2025;172;167;178;167;1.34B;5.52%
05/26/2025;163;162;169;159;942.17M;1.24%
05/23/2025;161;152;162;150;661.02M;5.92%
05/22/2025;152;159;162;151;755.73M;-3.18%
05/21/2025;157;157;159;154;378.99M;0.64%
05/20/2025;156;164;164;154;585.02M;-4.29%
05/19/2025;163;164;166;160;279.58M;0.00%
05/16/2025;163;166;172;160;601.38M;-1.21%
05/15/2025;165;171;172;161;850.49M;-2.37%
05/14/2025;169;154;183;152;1.43B;11.92%
05/09/2025;151;148;156;144;724.67M;2.72%
05/08/2025;147;143;154;138;787.30M;2.80%
05/07/2025;143;143;147;141;398.80M;0.70%
05/06/2025;142;138;142;136;317.42M;5.19%
05/05/2025;135;139;140;134;206.25M;-2.17%
05/02/2025;138;138;148;133;1.56B;5.34%
04/30/2025;131;130;133;125;574.98M;1.55%
04/29/2025;129;114;129;114;768.15M;13.16%
04/28/2025;114;114;117;112;159.83M;0.00%
04/25/2025;114;114;116;111;145.75M;1.79%
04/24/2025;112;116;117;112;98.37M;-2.61%
04/23/2025;115;118;119;113;187.62M;-1.71%
04/22/2025;117;115;117;112;412.09M;6.36%
04/21/2025;110;108;114;108;200.68M;1.85%
04/17/2025;108;108;110;107;136.08M;-0.92%
04/16/2025;109;109;116;107;444.96M;1.87%
04/15/2025;107;112;113;105;381.46M;-2.73%
04/14/2025;110;101;114;101;344.75M;11.11%
04/11/2025;99;93;101;91;204.43M;6.45%
04/10/2025;93;93;96;90;255.90M;8.14%
04/09/2025;86;88;93;83;262.97M;-5.49%
04/08/2025;91;91;96;91;275.58M;-14.15%
03/27/2025;106;103;107;101;139.11M;2.91%
03/26/2025;103;101;106;101;108.17M;1.98%
03/25/2025;101;97;103;97;152.38M;4.12%
03/24/2025;97;105;105;91;324.72M;-6.73%
03/21/2025;104;107;108;101;169.93M;-1.89%
03/20/2025;106;109;111;105;248.61M;-1.85%
03/19/2025;108;110;111;106;213.20M;-0.92%
03/18/2025;109;122;122;91;857.78M;-10.66%
03/17/2025;122;118;124;117;178.29M;3.39%
03/14/2025;118;122;124;116;168.33M;-1.67%
03/13/2025;120;123;125;116;327.26M;-2.44%
03/12/2025;123;128;130;123;203.22M;-3.15%
03/11/2025;127;126;129;124;279.50M;-2.31%
03/10/2025;130;131;136;129;401.52M;0.00%
03/07/2025;130;129;135;128;339.20M;0.78%
03/06/2025;129;129;131;127;146.85M;0.78%
03/05/2025;128;128;133;126;248.34M;0.79%
03/04/2025;127;135;136;125;347.30M;-5.93%
03/03/2025;135;127;136;126;336.77M;8.87%
02/28/2025;124;135;135;121;398.82M;-8.15%
02/27/2025;135;142;144;135;273.74M;-3.57%
02/26/2025;140;135;140;130;289.07M;3.70%
02/25/2025;135;141;149;135;525.37M;-3.57%
02/24/2025;140;145;146;139;234.13M;-3.45%
02/21/2025;145;146;150;142;248.89M;0.00%
02/20/2025;145;145;156;140;1.18B;0.00%
02/19/2025;145;146;147;139;560.66M;0.69%
02/18/2025;144;136;149;133;964.38M;6.67%
02/17/2025;135;122;135;121;852.89M;10.66%
02/14/2025;122;120;125;119;756.12M;3.39%
02/13/2025;118;113;121;111;695.11M;7.27%
02/12/2025;110;112;117;106;511.78M;-1.79%
02/11/2025;112;105;115;105;688.12M;8.74%
02/10/2025;103;110;110;100;479.07M;-6.36%
02/07/2025;110;112;112;106;311.16M;-1.79%
02/06/2025;112;113;114;109;436.33M;-0.88%
02/05/2025;113;119;121;111;1.08B;-3.42%
02/04/2025;117;113;129;113;2.25B;4.46%
02/03/2025;112;114;114;109;213.70M;0.00%
01/31/2025;112;111;116;111;184.24M;0.90%
01/30/2025;111;113;114;107;212.81M;-1.77%
01/24/2025;113;115;116;112;257.65M;-2.59%
01/23/2025;116;115;123;115;646.13M;1.75%
01/22/2025;114;114;117;113;189.27M;0.88%
01/21/2025;113;116;118;113;227.51M;-1.74%
01/20/2025;115;112;120;109;653.92M;3.60%
01/17/2025;111;116;117;111;113.60M;-3.48%
01/16/2025;115;111;117;110;222.76M;4.55%
01/15/2025;110;113;114;109;221.80M;-2.65%
01/14/2025;113;112;115;108;200.02M;1.80%
