Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;580;570;600;570;14.44M;1.75%
07/30/2025;570;570;585;565;10.51M;0.00%
07/29/2025;570;580;585;570;12.28M;-1.72%
07/28/2025;580;600;605;580;10.02M;-3.33%
07/25/2025;600;600;605;580;6.21M;0.84%
07/24/2025;595;610;610;595;13.24M;-2.46%
07/23/2025;610;625;625;605;4.95M;0.00%
07/22/2025;610;625;630;610;16.16M;-2.40%
07/21/2025;625;610;630;605;24.21M;4.17%
07/18/2025;600;610;615;595;18.38M;-1.64%
07/17/2025;610;590;610;585;20.75M;4.27%
07/16/2025;585;570;590;560;19.85M;2.63%
07/15/2025;570;565;570;555;7.23M;0.88%
07/14/2025;565;565;570;550;19.74M;1.80%
07/11/2025;555;540;580;540;29.53M;3.74%
07/10/2025;535;535;545;535;4.45M;0.00%
07/09/2025;535;540;540;530;3.63M;-0.93%
07/08/2025;540;520;540;520;8.13M;3.85%
07/07/2025;520;530;530;515;5.85M;-0.95%
07/04/2025;525;535;540;525;2.13M;-1.87%
07/03/2025;535;540;540;530;3.91M;0.00%
07/02/2025;535;555;555;530;9.19M;-1.83%
07/01/2025;545;545;555;545;2.91M;-1.80%
06/30/2025;555;560;560;530;30.94M;0.00%
06/26/2025;555;540;555;535;7.97M;3.74%
06/25/2025;535;525;540;525;9.50M;2.88%
06/24/2025;520;525;540;520;21.48M;0.97%
06/23/2025;515;520;525;510;5.56M;-1.90%
06/20/2025;525;545;545;525;39.24M;-3.67%
06/19/2025;545;550;550;535;9.01M;-0.91%
06/18/2025;550;555;560;550;9.86M;-1.79%
06/17/2025;560;560;560;550;4.04M;0.00%
06/16/2025;560;560;570;555;10.15M;0.00%
06/13/2025;560;570;570;560;14.78M;-1.75%
06/12/2025;570;575;585;570;19.49M;-5.00%
06/11/2025;600;605;605;595;13.50M;0.00%
06/10/2025;600;595;605;590;11.45M;0.84%
06/05/2025;595;610;610;590;9.28M;-2.46%
06/04/2025;610;610;610;590;41.94M;1.67%
06/03/2025;600;610;610;595;22.76M;-2.44%
06/02/2025;615;615;640;605;66.47M;1.65%
05/28/2025;605;650;655;605;282.73M;-6.92%
05/27/2025;650;650;655;640;23.58M;0.78%
05/26/2025;645;655;655;640;14.58M;0.00%
05/23/2025;645;660;665;645;24.52M;-0.77%
05/22/2025;650;660;665;650;13.05M;-1.52%
05/21/2025;660;655;675;655;21.53M;0.76%
05/20/2025;655;670;675;655;15.05M;-1.50%
05/19/2025;665;680;685;665;17.77M;-2.21%
05/16/2025;680;670;680;655;28.45M;2.26%
05/15/2025;665;655;680;655;54.68M;3.10%
05/14/2025;645;635;650;630;58.13M;6.61%
05/09/2025;605;600;610;600;1.10M;0.83%
05/08/2025;600;605;620;600;9.31M;0.00%
05/07/2025;600;630;630;600;18.50M;-4.00%
05/06/2025;625;610;630;605;5.61M;3.31%
05/05/2025;605;620;620;605;2.71M;-1.63%
05/02/2025;615;620;620;610;3.94M;-0.81%
04/30/2025;620;610;620;600;13.27M;1.64%
04/29/2025;610;595;610;590;11.35M;3.39%
04/28/2025;590;575;600;575;15.67M;2.61%
04/25/2025;575;575;590;575;11.48M;0.00%
04/24/2025;575;585;585;575;13.08M;-1.71%
04/23/2025;585;580;595;565;12.39M;0.86%
04/22/2025;580;565;585;565;13.04M;2.65%
04/21/2025;565;570;580;555;11.98M;-0.88%
04/17/2025;570;550;575;550;14.70M;3.64%
04/16/2025;550;550;575;545;15.73M;1.85%
04/15/2025;540;535;560;530;14.60M;2.86%
04/14/2025;525;515;540;515;14.67M;2.94%
04/11/2025;510;530;530;510;12.84M;-3.77%
04/10/2025;530;505;545;505;22.58M;6.85%
04/09/2025;496;490;505;488;18.23M;1.64%
04/08/2025;488;545;545;488;29.39M;-13.63%
03/27/2025;565;570;580;565;17.06M;0.00%
03/26/2025;565;555;575;550;11.28M;1.80%
03/25/2025;555;555;560;550;15.48M;0.00%
03/24/2025;555;550;560;545;11.09M;0.91%
03/21/2025;550;570;570;550;21.26M;-3.51%
03/20/2025;570;560;570;555;11.37M;1.79%
03/19/2025;560;570;580;560;12.72M;-1.75%
03/18/2025;570;580;580;550;12.91M;-1.72%
03/17/2025;580;570;580;565;10.56M;1.75%
03/14/2025;570;585;585;570;10.86M;-1.72%
03/13/2025;580;585;600;580;12.38M;-0.85%
03/12/2025;585;590;595;585;12.02M;0.00%
03/11/2025;585;600;600;585;11.69M;-2.50%
03/10/2025;600;605;610;590;11.84M;-0.83%
03/07/2025;605;620;620;605;13.23M;-2.42%
03/06/2025;620;630;630;615;10.99M;-1.59%
03/05/2025;630;645;645;625;12.95M;-1.56%
03/04/2025;640;650;650;640;11.60M;-1.54%
03/03/2025;650;610;650;610;14.94M;6.56%
02/28/2025;610;630;635;610;13.24M;-3.17%
02/27/2025;630;625;645;610;11.71M;0.80%
02/26/2025;625;615;650;610;12.19M;1.63%
02/25/2025;615;625;645;615;9.75M;-1.60%
02/24/2025;625;640;640;625;11.18M;-2.34%
02/21/2025;640;640;645;630;12.24M;0.00%
02/20/2025;640;645;655;630;11.67M;-0.78%
02/19/2025;645;650;660;640;11.51M;-0.77%
02/18/2025;650;650;660;640;10.89M;0.78%
02/17/2025;645;640;665;635;10.95M;0.78%
02/14/2025;640;655;655;640;12.09M;-2.29%
02/13/2025;655;640;655;630;6.88M;2.34%
02/12/2025;640;635;650;630;5.17M;0.79%
02/11/2025;635;645;655;630;7.73M;-1.55%
02/10/2025;645;650;660;640;7.23M;-0.77%
02/07/2025;650;655;660;640;21.42M;0.78%
02/06/2025;645;655;655;645;20.42M;-1.53%
02/05/2025;655;665;670;650;11.41M;-1.50%
02/04/2025;665;655;675;650;12.01M;2.31%
02/03/2025;650;650;670;640;36.91M;1.56%
