Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;625;640;640;625;70.85M;-1.57%
07/30/2025;635;620;655;600;150.77M;4.10%
07/29/2025;610;615;615;600;42.35M;-1.61%
07/28/2025;620;620;630;610;71.47M;1.64%
07/25/2025;610;595;620;580;75.04M;3.39%
07/24/2025;590;610;620;585;35.70M;-3.28%
07/23/2025;610;620;620;585;41.12M;0.83%
07/22/2025;605;625;635;605;109.40M;-1.63%
07/21/2025;615;580;635;575;183.74M;6.03%
07/18/2025;580;550;590;545;162.88M;6.42%
07/17/2025;545;520;545;515;65.38M;4.81%
07/16/2025;520;494;520;494;47.94M;5.69%
07/15/2025;492;490;494;482;23.94M;0.41%
07/14/2025;490;496;505;486;31.13M;0.00%
07/11/2025;490;490;496;486;27.99M;0.41%
07/10/2025;488;486;498;480;38.99M;1.24%
07/09/2025;482;478;484;472;24.35M;0.84%
07/08/2025;478;474;480;474;10.51M;0.42%
07/07/2025;476;472;478;472;9.44M;0.85%
07/04/2025;472;478;478;470;15.29M;-1.26%
07/03/2025;478;478;480;472;20.33M;0.00%
07/02/2025;478;482;484;470;23.10M;-0.83%
07/01/2025;482;480;488;478;12.76M;-0.41%
06/30/2025;484;474;494;474;28.47M;2.11%
06/26/2025;474;472;482;468;26.79M;0.42%
06/25/2025;472;490;492;464;49.49M;-2.88%
06/24/2025;486;492;498;486;34.74M;0.00%
06/23/2025;486;500;505;482;53.81M;-4.71%
06/20/2025;510;520;530;510;203.27M;-1.92%
06/19/2025;520;545;550;520;30.90M;-3.70%
06/18/2025;540;555;565;540;17.51M;-2.70%
06/17/2025;555;545;555;535;19.52M;2.78%
06/16/2025;540;550;555;540;26.05M;-1.82%
06/13/2025;550;570;570;550;28.47M;-3.51%
06/12/2025;570;575;580;560;24.39M;0.00%
06/11/2025;570;585;585;565;24.56M;-1.72%
06/10/2025;580;565;590;565;68.93M;2.65%
06/05/2025;565;575;580;560;16.43M;-1.74%
06/04/2025;575;570;575;555;31.67M;2.68%
06/03/2025;560;570;575;555;18.99M;-1.75%
06/02/2025;570;575;585;560;66.59M;0.00%
05/28/2025;570;550;570;540;54.02M;3.64%
05/27/2025;550;555;555;540;19.38M;0.00%
05/26/2025;550;550;560;540;34.03M;0.92%
05/23/2025;545;540;560;535;41.26M;1.87%
05/22/2025;535;540;550;535;55.63M;-0.93%
05/21/2025;540;550;560;535;51.51M;-1.82%
05/20/2025;550;570;580;545;80.35M;-3.51%
05/19/2025;570;565;585;565;24.77M;0.88%
05/16/2025;565;585;585;560;31.01M;-1.74%
05/15/2025;575;585;595;565;57.20M;-0.86%
05/14/2025;580;595;600;575;39.38M;-0.85%
05/09/2025;585;590;595;570;26.45M;1.74%
05/08/2025;575;570;600;565;70.18M;-3.36%
05/07/2025;595;605;615;585;73.45M;0.00%
05/06/2025;595;595;600;585;20.70M;0.00%
05/05/2025;595;600;620;580;56.13M;2.59%
05/02/2025;580;560;595;560;87.10M;8.41%
04/30/2025;535;535;550;535;16.40M;0.00%
04/29/2025;535;550;555;530;22.44M;-0.93%
04/28/2025;540;545;560;540;26.59M;0.93%
04/25/2025;535;505;545;500;36.60M;5.94%
04/24/2025;505;510;515;500;13.15M;0.00%
04/23/2025;505;515;515;505;22.96M;0.00%
04/22/2025;505;510;520;500;15.70M;-0.98%
04/21/2025;510;515;515;505;7.72M;-0.97%
04/17/2025;515;500;515;498;18.31M;3.83%
04/16/2025;496;505;510;496;11.75M;-1.78%
04/15/2025;505;520;530;500;15.33M;-1.94%
04/14/2025;515;510;525;510;10.87M;0.98%
04/11/2025;510;515;520;498;13.50M;-1.92%
04/10/2025;520;498;520;490;63.97M;8.33%
04/09/2025;480;470;492;470;35.84M;-0.41%
04/08/2025;482;484;494;472;56.13M;-11.56%
03/27/2025;545;530;550;510;26.60M;2.83%
03/26/2025;530;535;545;515;21.97M;6.43%
03/25/2025;498;515;525;498;14.83M;-3.30%
03/24/2025;515;550;550;496;21.45M;-3.74%
03/21/2025;535;535;555;515;94.98M;0.00%
