Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;590;590;605;545;128.29M;0.00%
07/30/2025;590;590;615;570;179.37M;0.85%
07/29/2025;585;540;590;520;207.85M;9.35%
07/28/2025;535;530;555;525;196.16M;1.90%
07/25/2025;525;478;540;478;352.21M;10.29%
07/24/2025;476;490;494;472;76.62M;-2.06%
07/23/2025;486;482;492;472;106.85M;1.67%
07/22/2025;478;494;496;466;204.05M;-3.63%
07/21/2025;496;488;505;470;407.29M;3.33%
07/18/2025;480;456;492;450;358.44M;6.19%
07/17/2025;452;450;468;430;462.39M;0.89%
07/16/2025;448;388;456;384;843.91M;17.28%
07/15/2025;382;370;386;360;294.15M;3.80%
07/14/2025;368;356;368;350;193.66M;5.14%
07/11/2025;350;354;358;348;128.87M;-0.57%
07/10/2025;352;350;354;346;97.82M;0.57%
07/09/2025;350;354;360;348;211.37M;-1.13%
07/08/2025;354;344;370;344;368.14M;3.51%
07/07/2025;342;340;350;334;125.68M;1.79%
07/04/2025;336;332;344;330;105.68M;1.20%
07/03/2025;332;336;342;330;112.85M;0.61%
07/02/2025;330;336;338;328;99.11M;-1.20%
07/01/2025;334;328;336;318;168.83M;1.83%
06/30/2025;328;342;348;326;206.94M;-1.80%
06/26/2025;334;332;354;332;346.86M;1.83%
06/25/2025;328;350;352;324;349.03M;-6.29%
06/24/2025;350;350;358;336;638.10M;-9.33%
06/23/2025;386;380;394;362;804.02M;7.82%
06/20/2025;358;358;380;342;924.58M;0.56%
06/19/2025;356;334;358;312;827.11M;6.59%
06/18/2025;334;324;356;324;950.94M;7.74%
06/17/2025;310;324;324;290;569.91M;-4.32%
06/16/2025;324;288;336;288;1.06B;18.25%
06/13/2025;274;274;282;264;467.25M;7.03%
06/12/2025;256;252;268;250;334.08M;4.07%
06/11/2025;246;234;246;230;116.85M;6.96%
06/10/2025;230;226;240;226;86.04M;1.77%
06/05/2025;226;236;238;224;81.48M;-4.24%
06/04/2025;236;216;236;212;93.26M;10.28%
06/03/2025;214;222;224;210;31.68M;-0.93%
06/02/2025;216;224;226;208;42.81M;-2.70%
05/28/2025;222;224;228;220;32.78M;-0.89%
05/27/2025;224;222;226;220;34.78M;1.82%
05/26/2025;220;222;224;218;27.53M;-0.90%
05/23/2025;222;224;228;220;40.24M;0.91%
05/22/2025;220;222;226;216;56.11M;0.00%
05/21/2025;220;216;228;216;41.98M;1.85%
05/20/2025;216;226;228;216;33.36M;-3.57%
05/19/2025;224;226;230;222;74.11M;0.90%
05/16/2025;222;230;230;220;46.74M;-2.63%
05/15/2025;228;220;232;216;146.91M;5.56%
05/14/2025;216;206;216;200;95.54M;9.09%
05/09/2025;198;200;206;198;22.41M;0.00%
05/08/2025;198;206;208;196;40.99M;-2.94%
05/07/2025;204;196;206;196;53.94M;5.15%
05/06/2025;194;193;195;191;13.62M;1.04%
05/05/2025;192;193;193;188;21.93M;-0.52%
05/02/2025;193;193;196;192;18.75M;0.00%
04/30/2025;193;195;195;190;23.45M;0.00%
04/29/2025;193;195;198;192;26.38M;0.52%
04/28/2025;192;190;197;187;26.04M;1.59%
04/25/2025;189;184;192;183;30.21M;3.85%
04/24/2025;182;188;189;182;17.97M;-2.67%
04/23/2025;187;188;192;185;33.63M;0.54%
04/22/2025;186;182;188;180;36.51M;2.76%
04/21/2025;181;176;181;176;31.93M;3.43%
04/17/2025;175;176;176;173;9.04M;0.00%
04/16/2025;175;174;182;173;38.44M;0.00%
04/15/2025;175;176;179;174;23.18M;-0.57%
04/14/2025;176;166;179;166;46.86M;6.02%
04/11/2025;166;166;168;162;18.72M;-0.60%
04/10/2025;167;162;168;161;43.21M;5.03%
04/09/2025;159;156;160;153;30.01M;0.00%
04/08/2025;159;153;159;148;40.29M;-8.09%
03/27/2025;173;171;173;169;21.28M;1.76%
03/26/2025;170;168;171;165;42.45M;1.19%
03/25/2025;168;162;170;158;43.37M;3.70%
03/24/2025;162;161;163;155;34.35M;0.00%
03/21/2025;162;166;166;155;20.25M;-1.22%
03/20/2025;164;163;165;162;18.08M;1.23%
03/19/2025;162;160;163;157;15.55M;0.62%
03/18/2025;161;169;170;149;45.27M;-4.73%
03/17/2025;169;172;172;163;29.90M;-0.59%
03/14/2025;170;173;176;167;24.32M;-1.73%
03/13/2025;173;178;179;172;15.90M;-2.26%
03/12/2025;177;177;181;175;28.46M;0.00%
03/11/2025;177;177;177;171;32.82M;0.57%
03/10/2025;176;176;185;174;39.02M;0.57%
03/07/2025;175;177;178;174;11.64M;-0.57%
03/06/2025;176;172;178;172;32.87M;2.92%
03/05/2025;171;170;174;169;26.34M;0.59%
03/04/2025;170;184;184;169;34.74M;-7.10%
03/03/2025;183;180;185;180;20.54M;1.67%
02/28/2025;180;189;189;177;28.03M;-4.76%
02/27/2025;189;190;193;187;12.55M;-0.53%
02/26/2025;190;194;197;187;43.01M;-2.56%
02/25/2025;195;202;204;193;34.06M;-3.47%
02/24/2025;202;208;210;202;16.01M;-3.81%
02/21/2025;210;216;218;210;23.79M;-1.87%
02/20/2025;214;206;214;206;59.52M;3.88%
02/19/2025;206;210;212;204;26.83M;0.00%
02/18/2025;206;204;210;202;29.10M;0.98%
02/17/2025;204;200;208;200;31.41M;2.51%
02/14/2025;199;195;202;195;20.87M;2.05%
02/13/2025;195;193;197;192;12.62M;0.00%
02/12/2025;195;195;197;189;29.35M;-0.51%
02/11/2025;196;198;202;193;22.30M;0.00%
02/10/2025;196;204;204;192;39.60M;-2.00%
02/07/2025;200;197;202;190;56.69M;1.52%
02/06/2025;197;206;206;197;62.42M;-3.43%
02/05/2025;204;208;210;204;30.77M;-0.97%
02/04/2025;206;208;216;202;61.12M;-0.96%
02/03/2025;208;220;222;202;50.12M;-4.59%
01/31/2025;218;210;222;210;40.49M;3.81%
01/30/2025;210;218;220;206;48.95M;-3.67%
01/24/2025;218;224;226;216;26.29M;-1.80%
01/23/2025;222;228;234;222;45.96M;-2.63%
01/22/2025;228;232;236;226;45.30M;-2.56%
01/21/2025;234;248;250;232;78.32M;-5.65%
01/20/2025;248;248;250;240;39.21M;0.81%
01/17/2025;246;252;252;244;39.22M;-1.60%
