Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;3,450;3,650;3,650;3,450;20.71M;-5.99%
07/30/2025;3,670;3,760;3,790;3,660;7.38M;-2.39%
07/29/2025;3,760;3,730;3,770;3,700;9.31M;1.08%
07/28/2025;3,720;3,670;3,760;3,640;12.23M;1.92%
07/25/2025;3,650;3,710;3,750;3,610;7.14M;-1.62%
07/24/2025;3,710;3,700;3,750;3,650;10.32M;0.54%
07/23/2025;3,690;3,680;3,700;3,570;8.16M;1.65%
07/22/2025;3,630;3,700;3,820;3,630;41.06M;-0.55%
07/21/2025;3,650;3,350;3,690;3,350;29.29M;9.61%
07/18/2025;3,330;3,440;3,460;3,320;14.93M;-2.63%
07/17/2025;3,420;3,510;3,510;3,420;7.60M;-2.29%
07/16/2025;3,500;3,520;3,540;3,500;7.79M;0.86%
07/15/2025;3,470;3,470;3,520;3,400;12.15M;0.29%
07/14/2025;3,460;3,430;3,470;3,370;7.58M;1.47%
07/11/2025;3,410;3,400;3,450;3,390;7.85M;1.49%
07/10/2025;3,360;3,320;3,420;3,320;9.74M;1.51%
07/09/2025;3,310;3,350;3,360;3,300;5.84M;-0.30%
07/08/2025;3,320;3,410;3,420;3,310;7.80M;-2.92%
07/07/2025;3,420;3,600;3,600;3,400;11.43M;-3.93%
07/04/2025;3,560;3,500;3,580;3,470;14.18M;3.19%
07/03/2025;3,450;3,450;3,510;3,430;6.40M;0.58%
07/02/2025;3,430;3,500;3,510;3,390;9.15M;-2.00%
07/01/2025;3,500;3,460;3,530;3,390;15.20M;1.45%
06/30/2025;3,450;3,270;3,500;3,230;15.32M;6.81%
06/26/2025;3,230;3,100;3,270;3,100;12.28M;4.53%
06/25/2025;3,090;3,210;3,210;3,080;6.35M;-2.52%
06/24/2025;3,170;3,120;3,210;3,120;8.13M;2.26%
06/23/2025;3,100;3,210;3,210;3,050;27.99M;-4.62%
06/20/2025;3,250;3,310;3,340;3,230;12.72M;-1.81%
06/19/2025;3,310;3,460;3,510;3,310;15.21M;-4.34%
06/18/2025;3,460;3,640;3,640;3,440;14.20M;-4.68%
06/17/2025;3,630;3,640;3,660;3,560;17.24M;0.00%
06/16/2025;3,630;3,430;3,660;3,400;30.64M;5.83%
06/13/2025;3,430;3,470;3,530;3,430;8.55M;-0.87%
06/12/2025;3,460;3,510;3,520;3,440;16.12M;-1.70%
06/11/2025;3,520;3,500;3,540;3,370;39.27M;0.57%
06/10/2025;3,500;3,710;3,730;3,400;50.17M;-5.66%
06/05/2025;3,710;3,880;3,900;3,680;23.77M;-4.13%
06/04/2025;3,870;3,630;3,920;3,610;47.80M;7.80%
06/03/2025;3,590;3,550;3,640;3,540;17.14M;1.70%
06/02/2025;3,530;3,520;3,540;3,450;12.54M;0.57%
05/28/2025;3,510;3,530;3,650;3,500;24.86M;-0.28%
05/27/2025;3,520;3,600;3,600;3,510;14.37M;-2.22%
05/26/2025;3,600;3,540;3,750;3,540;43.85M;1.69%
05/23/2025;3,540;3,430;3,570;3,350;35.99M;4.12%
05/22/2025;3,400;3,330;3,440;3,310;58.54M;3.03%
05/21/2025;3,300;2,950;3,320;2,950;61.05M;12.63%
05/20/2025;2,930;3,000;3,010;2,930;14.46M;-2.33%
05/19/2025;3,000;2,970;3,040;2,970;24.72M;1.69%
05/16/2025;2,950;2,900;3,080;2,880;64.10M;3.87%
05/15/2025;2,840;2,900;2,930;2,840;13.35M;-2.07%
05/14/2025;2,900;2,910;2,980;2,880;28.67M;1.40%
05/09/2025;2,860;2,760;2,880;2,760;26.10M;3.62%
05/08/2025;2,760;2,870;2,920;2,750;39.32M;-3.16%
05/07/2025;2,850;2,650;2,970;2,640;70.35M;7.55%
05/06/2025;2,650;2,540;2,660;2,510;34.15M;6.00%
05/05/2025;2,500;2,490;2,540;2,490;8.46M;0.81%
05/02/2025;2,480;2,490;2,530;2,460;10.92M;-0.40%
04/30/2025;2,490;2,560;2,590;2,490;27.13M;-0.80%
04/29/2025;2,510;2,520;2,530;2,500;4.84M;0.00%
04/28/2025;2,510;2,530;2,540;2,480;4.89M;0.00%
04/25/2025;2,510;2,460;2,560;2,460;14.39M;2.87%
04/24/2025;2,440;2,450;2,530;2,420;17.24M;-0.41%
04/23/2025;2,450;2,600;2,600;2,420;19.21M;-4.30%
04/22/2025;2,560;2,400;2,570;2,370;18.20M;7.11%
04/21/2025;2,390;2,400;2,460;2,380;9.90M;0.00%
04/17/2025;2,390;2,340;2,440;2,340;13.50M;2.14%
04/16/2025;2,340;2,300;2,390;2,230;18.85M;1.74%
04/15/2025;2,300;2,280;2,350;2,230;16.18M;0.88%
04/14/2025;2,280;2,200;2,310;2,200;21.66M;4.11%
04/11/2025;2,190;2,020;2,240;1,990;29.22M;7.35%
04/10/2025;2,040;2,000;2,150;1,930;64.21M;10.87%
04/09/2025;1,840;1,895;1,920;1,825;40.80M;-4.66%
04/08/2025;1,930;1,980;1,980;1,930;27.39M;-14.98%
03/27/2025;2,270;2,300;2,300;2,240;10.75M;-1.73%
03/26/2025;2,310;2,190;2,340;2,170;31.66M;6.45%
03/25/2025;2,170;2,100;2,250;2,040;35.88M;3.33%
03/24/2025;2,100;2,110;2,140;2,020;32.22M;-1.87%
03/21/2025;2,140;2,300;2,300;2,140;34.19M;-6.96%
03/20/2025;2,300;2,390;2,430;2,290;24.32M;-4.17%
03/19/2025;2,400;2,430;2,440;2,340;28.60M;-1.23%
03/18/2025;2,430;2,540;2,550;2,390;22.56M;-4.33%
03/17/2025;2,540;2,480;2,580;2,460;28.92M;3.25%
03/14/2025;2,460;2,560;2,560;2,460;16.47M;-2.77%
03/13/2025;2,530;2,590;2,600;2,510;11.10M;-0.78%
03/12/2025;2,550;2,600;2,610;2,520;15.51M;-1.92%
03/11/2025;2,600;2,780;2,780;2,560;31.43M;-7.14%
03/10/2025;2,800;3,080;3,080;2,780;30.89M;-9.68%
03/07/2025;3,100;2,890;3,170;2,880;22.74M;9.15%
03/06/2025;2,840;2,840;2,920;2,820;4.39M;-0.35%
03/05/2025;2,850;2,770;2,890;2,760;5.14M;3.64%
03/04/2025;2,750;2,920;2,930;2,710;5.89M;-5.17%
03/03/2025;2,900;2,910;2,930;2,860;4.18M;-0.34%
02/28/2025;2,910;2,950;2,950;2,780;7.49M;-1.69%
02/27/2025;2,960;2,890;3,030;2,880;11.45M;2.78%
02/26/2025;2,880;2,750;2,950;2,720;6.35M;4.73%
02/25/2025;2,750;2,940;2,940;2,750;6.00M;-6.46%
02/24/2025;2,940;3,040;3,040;2,930;5.63M;-3.61%
02/21/2025;3,050;2,990;3,090;2,960;11.75M;4.45%
02/20/2025;2,920;2,890;2,930;2,850;2.73M;1.04%
02/19/2025;2,890;2,990;2,990;2,890;3.95M;-3.34%
02/18/2025;2,990;2,970;3,020;2,940;6.87M;0.67%
02/17/2025;2,970;2,810;3,000;2,810;7.97M;6.83%
02/14/2025;2,780;2,800;2,840;2,780;4.75M;0.00%
02/13/2025;2,780;2,740;2,800;2,720;6.29M;2.58%
02/12/2025;2,710;2,710;2,780;2,700;7.45M;0.00%
02/11/2025;2,710;2,830;2,870;2,710;5.67M;-4.24%
02/10/2025;2,830;2,940;2,940;2,830;6.07M;-3.41%
02/07/2025;2,930;2,850;2,940;2,800;10.36M;3.17%
02/06/2025;2,840;2,870;2,870;2,780;7.34M;0.00%
02/05/2025;2,840;2,850;2,880;2,800;7.04M;0.71%
02/04/2025;2,820;2,850;2,910;2,800;8.75M;-0.70%
02/03/2025;2,840;3,010;3,020;2,810;18.70M;-5.33%
01/31/2025;3,000;3,040;3,080;2,990;12.50M;-1.32%
01/30/2025;3,040;3,220;3,230;3,010;16.00M;-5.30%
01/24/2025;3,210;3,430;3,460;3,200;19.58M;-6.14%
01/23/2025;3,420;3,540;3,540;3,420;6.83M;-3.39%
01/22/2025;3,540;3,590;3,620;3,540;3.34M;-1.12%
01/21/2025;3,580;3,600;3,640;3,580;3.03M;0.00%
01/20/2025;3,580;3,570;3,650;3,570;4.85M;0.28%
01/17/2025;3,570;3,600;3,630;3,560;3.58M;-0.56%
01/16/2025;3,590;3,620;3,630;3,580;3.70M;-1.64%
01/15/2025;3,650;3,700;3,710;3,580;8.44M;-0.82%
01/14/2025;3,680;3,440;3,750;3,440;18.12M;7.29%
01/13/2025;3,430;3,450;3,500;3,430;5.47M;0.00%
01/10/2025;3,430;3,410;3,460;3,410;2.81M;0.59%
01/09/2025;3,410;3,420;3,440;3,400;3.61M;-0.29%
01/08/2025;3,420;3,470;3,480;3,400;8.00M;-1.44%
01/07/2025;3,470;3,480;3,500;3,470;5.19M;-0.29%
01/06/2025;3,480;3,570;3,580;3,470;8.13M;-2.25%
01/03/2025;3,560;3,570;3,600;3,550;1.51M;-0.28%
01/02/2025;3,570;3,620;3,660;3,560;3.18M;-1.38%
12/30/2024;3,620;3,580;3,680;3,580;2.84M;1.12%
12/27/2024;3,580;3,510;3,640;3,510;2.72M;1.70%
12/24/2024;3,520;3,530;3,560;3,520;1.26M;0.28%
12/23/2024;3,510;3,550;3,580;3,500;4.68M;-0.85%
12/20/2024;3,540;3,600;3,660;3,540;5.15M;-1.67%
12/19/2024;3,600;3,710;3,720;3,600;8.66M;-4.00%
12/18/2024;3,750;3,760;3,840;3,740;3.20M;-0.27%
