Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;6,800;7,150;7,250;6,800;13.34M;-4.56%
07/30/2025;7,125;6,775;7,250;6,750;23.51M;5.17%
07/29/2025;6,775;6,800;6,900;6,575;13.72M;-0.37%
07/28/2025;6,800;6,100;6,850;6,100;24.09M;11.48%
07/25/2025;6,100;6,175;6,175;6,050;7.36M;-1.21%
07/24/2025;6,175;6,400;6,625;6,150;15.51M;-1.59%
07/23/2025;6,275;5,750;6,275;5,700;17.86M;9.13%
07/22/2025;5,750;5,825;5,875;5,750;4.52M;-1.29%
07/21/2025;5,825;5,750;5,850;5,725;3.93M;1.30%
07/18/2025;5,750;5,725;5,775;5,700;3.04M;0.44%
07/17/2025;5,725;5,700;5,775;5,700;3.16M;0.88%
07/16/2025;5,675;5,750;5,800;5,675;3.54M;-0.87%
07/15/2025;5,725;5,725;5,775;5,650;3.44M;0.00%
07/14/2025;5,725;5,850;5,875;5,600;6.13M;-1.29%
07/11/2025;5,800;5,575;5,875;5,525;5.78M;4.04%
07/10/2025;5,575;5,525;5,625;5,475;5.21M;1.36%
07/09/2025;5,500;5,500;5,575;5,425;4.16M;0.92%
07/08/2025;5,450;5,375;5,475;5,375;3.09M;1.40%
07/07/2025;5,375;5,375;5,475;5,325;2.84M;0.00%
07/04/2025;5,375;5,475;5,525;5,350;2.92M;-1.38%
07/03/2025;5,450;5,500;5,575;5,450;3.27M;-0.46%
07/02/2025;5,475;5,550;5,625;5,450;6.37M;-0.90%
07/01/2025;5,525;5,850;5,850;5,500;9.55M;-3.91%
06/30/2025;5,750;5,850;5,850;5,725;2.92M;0.44%
06/26/2025;5,725;5,650;5,750;5,650;2.09M;1.33%
06/25/2025;5,650;5,825;5,875;5,650;5.43M;-3.00%
06/24/2025;5,825;5,800;5,950;5,775;2.79M;0.87%
06/23/2025;5,775;5,700;5,800;5,550;10.33M;-0.43%
06/20/2025;5,800;5,700;5,925;5,675;20.84M;0.87%
06/19/2025;5,750;6,025;6,025;5,725;13.83M;-4.56%
06/18/2025;6,025;6,250;6,250;5,900;14.31M;-3.21%
06/17/2025;6,225;6,225;6,300;6,150;4.07M;0.81%
06/16/2025;6,175;6,225;6,325;6,150;5.11M;-1.59%
06/13/2025;6,275;6,400;6,475;6,175;14.90M;-3.46%
06/12/2025;6,500;6,650;6,650;6,400;7.97M;-2.26%
06/11/2025;6,650;6,525;6,650;6,425;6.16M;2.31%
06/10/2025;6,500;6,425;6,675;6,425;8.70M;1.17%
06/05/2025;6,425;6,700;6,700;6,400;8.49M;-3.75%
06/04/2025;6,675;6,200;6,675;6,200;16.44M;7.66%
06/03/2025;6,200;6,250;6,275;6,050;5.28M;-0.80%
06/02/2025;6,250;6,425;6,425;6,200;5.79M;-2.72%
05/28/2025;6,425;6,400;6,425;6,225;7.07M;1.58%
05/27/2025;6,325;6,200;6,475;6,200;8.75M;1.20%
05/26/2025;6,250;6,200;6,250;6,100;5.43M;1.21%
05/23/2025;6,175;6,275;6,300;6,175;4.14M;-1.59%
05/22/2025;6,275;6,150;6,350;6,100;5.15M;1.62%
05/21/2025;6,175;6,175;6,300;6,150;5.42M;0.00%
05/20/2025;6,175;6,200;6,400;6,150;12.38M;0.41%
05/19/2025;6,150;6,050;6,300;5,975;14.20M;2.93%
05/16/2025;5,975;5,875;6,050;5,825;7.20M;2.14%
05/15/2025;5,850;5,875;6,075;5,850;10.59M;0.86%
05/14/2025;5,800;5,925;5,975;5,775;11.15M;0.43%
05/09/2025;5,775;5,700;5,950;5,700;6.27M;2.21%
05/08/2025;5,650;5,650;5,775;5,550;7.16M;0.00%
05/07/2025;5,650;5,850;5,925;5,650;11.47M;-3.00%
05/06/2025;5,825;5,900;5,975;5,750;8.89M;-0.43%
05/05/2025;5,850;5,400;5,850;5,350;15.90M;8.84%
05/02/2025;5,375;5,150;5,425;5,150;7.45M;4.37%
04/30/2025;5,150;5,200;5,425;5,150;8.37M;-0.96%
04/29/2025;5,200;5,225;5,300;5,175;2.47M;0.48%
04/28/2025;5,175;5,300;5,375;5,175;5.33M;-1.90%
04/25/2025;5,275;5,075;5,300;5,075;6.82M;4.46%
04/24/2025;5,050;5,025;5,300;5,025;5.21M;-0.49%
04/23/2025;5,075;5,100;5,150;4,940;4.95M;1.00%
04/22/2025;5,025;4,750;5,025;4,750;5.02M;5.79%
04/21/2025;4,750;4,810;4,910;4,720;5.01M;-1.25%
04/17/2025;4,810;4,820;4,870;4,790;4.02M;-0.21%
04/16/2025;4,820;4,990;5,025;4,810;6.12M;-3.02%
04/15/2025;4,970;5,100;5,150;4,890;5.73M;-1.09%
04/14/2025;5,025;5,025;5,200;5,000;6.43M;0.50%
04/11/2025;5,000;4,770;5,100;4,670;9.28M;4.38%
04/10/2025;4,790;4,680;4,880;4,610;16.07M;10.11%
04/09/2025;4,350;4,460;4,540;4,290;11.64M;-2.47%
04/08/2025;4,460;4,450;4,550;4,220;26.08M;-9.35%
03/27/2025;4,920;4,840;5,075;4,810;22.62M;1.44%
03/26/2025;4,850;4,830;4,940;4,830;11.92M;0.62%
03/25/2025;4,820;4,780;4,910;4,720;5.24M;1.90%
03/24/2025;4,730;4,800;4,850;4,680;8.89M;-1.46%
03/21/2025;4,800;4,910;4,910;4,770;13.53M;-1.64%
03/20/2025;4,880;4,840;4,980;4,800;5.61M;1.24%
03/19/2025;4,820;4,800;4,860;4,700;4.22M;0.42%
03/18/2025;4,800;4,940;4,940;4,550;10.84M;-2.04%
03/17/2025;4,900;4,850;5,000;4,850;8.85M;1.66%
03/14/2025;4,820;4,800;4,840;4,740;5.94M;0.42%
03/13/2025;4,800;4,850;4,910;4,790;7.04M;-0.21%
03/12/2025;4,810;4,870;4,910;4,790;11.38M;-1.23%
03/11/2025;4,870;5,025;5,100;4,830;15.92M;-4.98%
03/10/2025;5,125;5,425;5,450;5,100;7.61M;-5.09%
03/07/2025;5,400;5,100;5,550;5,100;17.07M;6.93%
03/06/2025;5,050;5,000;5,275;4,950;15.59M;2.64%
03/05/2025;4,920;4,730;5,050;4,670;22.52M;5.35%
03/04/2025;4,670;4,850;4,880;4,600;24.73M;-5.47%
03/03/2025;4,940;4,610;5,100;4,610;52.86M;5.11%
02/28/2025;4,700;5,550;5,550;4,700;183.69M;-15.70%
02/27/2025;5,575;5,600;5,850;5,525;6.15M;0.00%
02/26/2025;5,575;5,800;5,875;5,550;6.41M;-3.88%
02/25/2025;5,800;6,200;6,200;5,800;10.10M;-6.45%
02/24/2025;6,200;6,275;6,350;6,150;2.25M;-1.59%
02/21/2025;6,300;6,325;6,450;6,225;2.80M;-0.40%
02/20/2025;6,325;6,350;6,350;6,200;2.88M;-0.39%
02/19/2025;6,350;6,325;6,375;6,225;1.86M;0.40%
02/18/2025;6,325;6,350;6,475;6,300;2.19M;-0.39%
02/17/2025;6,350;6,075;6,450;6,050;6.42M;4.96%
02/14/2025;6,050;6,125;6,250;5,975;3.10M;-1.63%
02/13/2025;6,150;5,875;6,325;5,875;5.03M;5.13%
02/12/2025;5,850;6,000;6,075;5,825;10.34M;-2.50%
02/11/2025;6,000;6,150;6,200;6,000;2.65M;-2.44%
02/10/2025;6,150;6,025;6,225;5,925;2.40M;1.65%
02/07/2025;6,050;6,175;6,200;6,050;3.18M;-1.63%
02/06/2025;6,150;6,425;6,450;6,100;3.89M;-4.28%
02/05/2025;6,425;6,525;6,600;6,425;2.85M;-2.28%
02/04/2025;6,575;6,750;6,750;6,575;2.71M;-2.59%
02/03/2025;6,750;6,750;6,825;6,600;2.12M;0.00%
01/31/2025;6,750;6,600;6,775;6,600;2.04M;2.27%
01/30/2025;6,600;6,750;6,750;6,600;1.92M;-2.22%
01/24/2025;6,750;6,800;6,850;6,750;2.24M;0.00%
01/23/2025;6,750;6,775;6,900;6,750;3.03M;-0.37%
01/22/2025;6,775;6,725;6,825;6,675;2.94M;0.74%
01/21/2025;6,725;6,750;6,900;6,725;3.34M;0.00%
01/20/2025;6,725;6,575;6,850;6,575;4.84M;2.67%
01/17/2025;6,550;6,650;6,725;6,550;3.06M;-1.50%
01/16/2025;6,650;6,550;6,750;6,550;3.32M;1.92%
01/15/2025;6,525;6,450;6,650;6,450;3.87M;1.56%
01/14/2025;6,425;6,700;6,750;6,425;2.97M;-4.10%
01/13/2025;6,700;6,400;6,750;6,400;6.95M;4.69%
01/10/2025;6,400;6,400;6,475;6,375;3.54M;0.39%
01/09/2025;6,375;6,475;6,525;6,375;4.55M;-1.54%
01/08/2025;6,475;6,600;6,650;6,450;5.36M;-1.52%
01/07/2025;6,575;6,650;6,725;6,575;3.28M;-1.13%
01/06/2025;6,650;6,700;6,900;6,650;4.47M;-0.75%
01/03/2025;6,700;6,825;6,850;6,700;3.65M;-1.83%
01/02/2025;6,825;6,900;6,900;6,750;2.40M;0.37%
12/30/2024;6,800;6,800;6,900;6,700;3.12M;0.74%
12/27/2024;6,750;6,750;6,825;6,700;1.02M;0.37%
12/24/2024;6,725;6,825;6,825;6,700;1.96M;-1.10%
12/23/2024;6,800;6,600;6,825;6,600;1.75M;3.03%
12/20/2024;6,600;6,750;6,800;6,600;5.60M;-2.22%
12/19/2024;6,750;6,825;6,925;6,725;2.84M;-1.10%
12/18/2024;6,825;7,000;7,050;6,825;3.65M;-2.50%
12/17/2024;7,000;7,150;7,150;7,000;4.36M;-2.44%
12/16/2024;7,175;7,150;7,175;7,100;2.33M;0.35%
12/13/2024;7,150;7,200;7,200;7,125;3.41M;-0.69%
12/12/2024;7,200;7,200;7,250;7,150;2.35M;0.00%
12/11/2024;7,200;7,250;7,375;7,200;3.24M;-0.69%
12/10/2024;7,250;7,175;7,275;7,150;6.56M;1.75%
12/09/2024;7,125;7,125;7,250;7,125;3.65M;0.00%
12/06/2024;7,125;7,300;7,375;7,075;6.57M;-2.40%
12/05/2024;7,300;7,350;7,450;7,300;4.63M;0.00%
12/04/2024;7,300;7,275;7,550;7,275;6.68M;0.69%
12/03/2024;7,250;7,225;7,300;7,125;4.59M;0.35%
12/02/2024;7,225;7,375;7,375;7,200;1.67M;-0.34%
11/29/2024;7,250;7,400;7,400;7,250;3.87M;-2.03%
11/28/2024;7,400;7,200;7,475;7,200;4.62M;3.14%
11/26/2024;7,175;7,300;7,325;7,175;2.95M;-0.69%
11/25/2024;7,225;7,150;7,300;7,125;5.64M;1.76%
11/22/2024;7,100;7,150;7,200;7,100;3.35M;0.00%
11/21/2024;7,100;7,125;7,225;7,100;2.55M;-0.35%
11/20/2024;7,125;7,175;7,200;7,100;1.62M;-0.35%
11/19/2024;7,150;7,275;7,275;7,125;2.27M;-0.69%
11/18/2024;7,200;7,100;7,225;7,100;2.30M;1.41%
11/15/2024;7,100;7,100;7,200;7,100;1.81M;0.00%
11/14/2024;7,100;7,200;7,275;7,100;2.41M;-1.39%
11/13/2024;7,200;7,125;7,225;7,125;1.92M;1.05%
11/12/2024;7,125;7,100;7,350;7,100;4.32M;0.35%
11/11/2024;7,100;7,300;7,300;7,100;4.73M;-2.74%
11/08/2024;7,300;7,400;7,525;7,275;5.53M;-1.35%
11/07/2024;7,400;7,400;7,575;7,325;4.91M;0.34%
11/06/2024;7,375;7,225;7,400;7,200;4.64M;1.37%
11/05/2024;7,275;7,325;7,400;7,225;4.62M;-0.68%
11/04/2024;7,325;7,725;7,725;7,225;12.23M;-3.93%
11/01/2024;7,625;7,900;7,900;7,625;15.44M;-5.57%
10/31/2024;8,075;8,125;8,125;8,050;2.41M;-0.62%
10/30/2024;8,125;8,225;8,225;8,100;2.41M;-1.22%
10/29/2024;8,225;8,175;8,225;8,125;2.52M;0.61%
10/28/2024;8,175;8,050;8,175;7,950;3.87M;1.87%
10/25/2024;8,025;8,050;8,125;8,000;2.99M;-0.31%
10/24/2024;8,050;8,125;8,175;8,050;4.54M;-0.62%
10/23/2024;8,100;8,200;8,200;8,075;6.41M;-0.92%
10/22/2024;8,175;8,225;8,275;8,175;5.54M;-0.30%
10/21/2024;8,200;8,250;8,325;8,200;3.51M;-0.30%
10/18/2024;8,225;8,350;8,350;8,225;4.72M;-0.30%
10/17/2024;8,250;8,250;8,325;8,200;6.02M;0.30%
10/16/2024;8,225;8,275;8,350;8,175;8.17M;-0.60%
10/15/2024;8,275;8,350;8,400;8,275;6.01M;-0.60%
10/14/2024;8,325;8,425;8,450;8,300;4.57M;-0.89%
10/11/2024;8,400;8,275;8,450;8,275;3.92M;1.82%
10/10/2024;8,250;8,350;8,425;8,250;6.44M;-1.20%
10/09/2024;8,350;8,525;8,525;8,325;7.86M;-2.05%
10/08/2024;8,525;8,800;8,825;8,500;10.44M;-2.85%
10/07/2024;8,775;8,775;8,900;8,750;6.26M;-0.57%
10/04/2024;8,825;8,850;8,875;8,725;2.94M;-0.28%
10/03/2024;8,850;8,875;8,950;8,775;4.85M;0.28%
10/02/2024;8,825;8,850;9,000;8,675;11.40M;-0.28%
10/01/2024;8,850;8,700;8,875;8,650;10.70M;2.31%
09/30/2024;8,650;8,550;8,950;8,450;25.43M;1.47%
09/27/2024;8,525;8,500;8,575;8,375;3.84M;0.59%
09/26/2024;8,475;8,500;8,500;8,375;5.90M;-0.29%
09/25/2024;8,500;8,475;8,500;8,325;5.14M;1.19%
09/24/2024;8,400;8,350;8,400;8,250;6.80M;1.20%
09/23/2024;8,300;8,300;8,325;8,250;2.60M;0.91%
09/20/2024;8,225;8,325;8,325;8,225;6.00M;-1.20%
09/19/2024;8,325;8,275;8,400;8,275;4.25M;0.00%
09/18/2024;8,325;8,275;8,325;8,175;4.42M;0.60%
09/17/2024;8,275;8,375;8,375;8,200;5.94M;-1.19%
09/13/2024;8,375;8,425;8,425;8,300;3.70M;-0.30%
09/12/2024;8,400;8,350;8,450;8,225;6.39M;0.60%
09/11/2024;8,350;8,575;8,600;8,350;5.40M;-2.34%
09/10/2024;8,550;8,500;8,750;8,450;14.02M;1.48%
09/09/2024;8,425;8,150;8,450;8,150;6.93M;3.37%
09/06/2024;8,150;8,300;8,300;8,150;3.15M;-1.81%
09/05/2024;8,300;8,125;8,375;8,075;5.40M;2.15%
09/04/2024;8,125;8,000;8,150;7,950;3.74M;0.31%
09/03/2024;8,100;8,125;8,175;8,050;3.15M;0.00%
09/02/2024;8,100;8,125;8,250;8,100;3.84M;0.00%
08/30/2024;8,100;8,350;8,400;8,100;12.77M;-2.99%
08/29/2024;8,350;8,575;8,575;8,350;6.28M;-2.91%
08/28/2024;8,600;8,700;8,700;8,375;9.51M;-0.58%
08/27/2024;8,650;8,750;8,775;8,600;2.34M;-1.14%
08/26/2024;8,750;8,650;8,750;8,625;4.15M;0.86%
08/23/2024;8,675;8,500;8,700;8,475;9.10M;2.36%
08/22/2024;8,475;8,400;8,475;8,300;2.86M;0.30%
08/21/2024;8,450;8,525;8,550;8,450;2.44M;-0.29%
08/20/2024;8,475;8,575;8,625;8,450;5.32M;-0.88%
08/19/2024;8,550;8,350;8,550;8,350;7.02M;2.40%
08/16/2024;8,350;8,350;8,400;8,275;3.80M;0.91%
08/15/2024;8,275;8,350;8,350;8,250;3.31M;-0.90%
08/14/2024;8,350;8,200;8,350;8,100;5.68M;2.45%
08/13/2024;8,150;8,150;8,175;8,025;3.29M;0.93%
08/12/2024;8,075;7,925;8,100;7,925;3.10M;1.89%
08/09/2024;7,925;8,000;8,025;7,900;3.58M;0.32%
08/08/2024;7,900;8,150;8,175;7,900;6.64M;-3.66%
08/07/2024;8,200;7,875;8,250;7,875;6.55M;3.80%
08/06/2024;7,900;7,900;8,000;7,800;5.31M;0.32%
08/05/2024;7,875;8,175;8,175;7,800;8.07M;-4.55%
08/02/2024;8,250;8,100;8,250;8,025;5.97M;1.85%
08/01/2024;8,100;8,425;8,450;8,075;8.85M;-2.99%
07/31/2024;8,350;8,275;8,350;8,150;4.11M;1.52%
07/30/2024;8,225;8,125;8,250;8,000;4.74M;2.17%
07/29/2024;8,050;8,075;8,150;8,025;2.26M;-0.31%
07/26/2024;8,075;8,050;8,125;8,000;3.98M;0.31%
07/25/2024;8,050;8,175;8,200;7,975;9.86M;-1.83%
07/24/2024;8,200;8,450;8,475;8,150;7.38M;-2.96%
07/23/2024;8,450;8,500;8,525;8,375;2.82M;0.00%
07/22/2024;8,450;8,550;8,575;8,375;2.89M;-0.59%
07/19/2024;8,500;8,450;8,550;8,325;5.10M;0.00%
07/18/2024;8,500;8,500;8,575;8,425;4.44M;-0.29%
07/17/2024;8,525;8,675;8,675;8,450;4.52M;-1.45%
07/16/2024;8,650;8,650;8,675;8,550;2.19M;0.29%
07/15/2024;8,625;8,450;8,625;8,450;2.61M;2.07%
07/12/2024;8,450;8,700;8,725;8,350;9.34M;-2.87%
07/11/2024;8,700;8,725;8,825;8,600;4.88M;-0.29%
07/10/2024;8,725;8,875;8,900;8,700;3.05M;-1.69%
07/09/2024;8,875;8,800;8,950;8,750;6.30M;0.85%
07/08/2024;8,800;8,850;8,975;8,700;6.49M;-0.56%
07/05/2024;8,850;9,050;9,050;8,750;5.72M;-1.39%
07/04/2024;8,975;9,150;9,200;8,950;3.56M;-1.91%
07/03/2024;9,150;9,050;9,150;8,950;2.56M;1.67%
07/02/2024;9,000;9,050;9,100;8,925;3.22M;-0.55%
07/01/2024;9,050;8,950;9,075;8,900;3.20M;1.69%
06/28/2024;8,900;8,850;9,075;8,850;5.52M;-0.28%
06/27/2024;8,925;9,125;9,150;8,900;2.54M;-1.92%
06/26/2024;9,100;8,800;9,150;8,800;4.85M;4.00%
06/25/2024;8,750;8,825;8,825;8,650;2.41M;-0.28%
06/24/2024;8,775;8,875;8,975;8,750;2.84M;-0.28%
06/21/2024;8,800;8,900;9,075;8,800;5.29M;-1.40%
06/20/2024;8,925;8,825;8,925;8,700;3.01M;2.29%
06/19/2024;8,725;8,675;8,950;8,575;4.54M;0.58%
06/14/2024;8,675;8,750;8,850;8,500;2.05M;-0.86%
06/13/2024;8,750;8,550;8,900;8,550;3.81M;3.24%
06/12/2024;8,475;8,950;8,950;8,375;7.86M;-5.57%
06/11/2024;8,975;9,075;9,300;8,975;5.14M;-1.64%
06/10/2024;9,125;9,300;9,325;9,025;4.07M;-1.88%
06/07/2024;9,300;9,325;9,500;9,225;2.98M;0.00%
06/06/2024;9,300;9,200;9,450;9,075;6.11M;3.05%
06/05/2024;9,025;9,275;9,325;9,025;6.24M;-2.70%
06/04/2024;9,275;9,275;9,400;9,175;3.78M;-0.54%
06/03/2024;9,325;9,100;9,400;8,900;3.38M;2.47%
05/31/2024;9,100;9,475;9,525;9,100;14.10M;-3.96%
05/30/2024;9,475;9,600;9,700;9,250;6.29M;-0.79%
05/29/2024;9,550;9,550;9,650;9,400;2.54M;-0.52%
05/28/2024;9,600;9,250;9,675;9,125;6.08M;3.50%
05/27/2024;9,275;9,625;9,650;9,200;4.44M;-3.64%
05/22/2024;9,625;9,725;9,725;9,575;1.81M;0.00%
05/21/2024;9,625;9,725;9,800;9,550;3.22M;-0.77%
05/20/2024;9,700;9,800;9,875;9,625;3.10M;-1.02%
05/17/2024;9,800;9,700;9,900;9,700;4.02M;1.03%
05/16/2024;9,700;9,700;9,775;9,575;2.70M;0.00%
05/15/2024;9,700;9,475;9,775;9,475;4.42M;2.37%
05/14/2024;9,475;9,675;9,725;9,475;3.39M;-2.07%
05/13/2024;9,675;9,450;9,725;9,350;6.62M;1.57%
05/08/2024;9,525;9,475;9,525;9,350;4.07M;1.06%
05/07/2024;9,425;9,450;9,750;9,350;2.82M;-0.26%
05/06/2024;9,450;9,500;9,550;9,375;2.90M;1.34%
05/03/2024;9,325;9,225;9,400;9,225;2.00M;1.08%
05/02/2024;9,225;9,375;9,525;9,175;4.65M;-1.60%
04/30/2024;9,375;9,475;9,625;9,225;5.61M;-1.06%
04/29/2024;9,475;9,000;9,525;8,675;8.45M;5.57%
04/26/2024;8,975;9,650;9,725;8,800;14.19M;-6.99%
04/25/2024;9,650;9,925;9,925;9,625;5.86M;-1.78%
04/24/2024;9,825;9,725;10,000;9,700;9.15M;1.03%
04/23/2024;9,725;9,900;9,950;9,675;4.74M;-1.27%
04/22/2024;9,850;9,650;9,900;9,650;5.03M;2.07%
04/19/2024;9,650;9,650;9,775;9,500;6.28M;0.00%
04/18/2024;9,650;9,525;9,850;9,500;6.74M;1.58%
04/17/2024;9,500;9,725;9,750;9,375;11.43M;-2.31%
04/16/2024;9,725;9,300;9,800;9,300;14.15M;1.57%
04/05/2024;9,575;9,650;9,800;9,525;2.38M;-0.78%
04/04/2024;9,650;9,900;9,925;9,650;4.53M;-2.53%
04/03/2024;9,900;9,550;9,975;9,450;8.85M;2.59%
04/02/2024;9,650;9,500;9,725;9,250;14.66M;1.05%
04/01/2024;9,550;9,550;9,725;9,225;7.32M;-0.26%
03/28/2024;9,575;9,800;9,925;9,575;11.07M;-2.05%
03/27/2024;9,775;9,800;9,875;9,575;6.23M;0.77%
03/26/2024;9,700;9,750;9,875;9,525;7.67M;0.26%
03/25/2024;9,675;9,350;9,825;9,325;11.11M;3.48%
03/22/2024;9,350;9,150;9,475;9,150;9.10M;2.19%
03/21/2024;9,150;9,300;9,325;9,075;3.98M;-0.54%
03/20/2024;9,200;9,150;9,225;8,950;7.38M;0.55%
03/19/2024;9,150;9,150;9,400;9,050;10.88M;0.00%
03/18/2024;9,150;8,550;9,225;8,550;19.37M;7.02%
03/15/2024;8,550;8,600;8,625;8,450;8.97M;-0.58%
03/14/2024;8,600;8,550;8,600;8,325;5.62M;1.18%
03/13/2024;8,500;8,400;8,625;8,350;7.32M;2.10%
03/08/2024;8,325;8,400;8,450;8,300;5.62M;-0.60%
03/07/2024;8,375;8,300;8,500;8,250;11.17M;0.90%
03/06/2024;8,300;8,575;8,600;8,250;9.88M;-3.21%
03/05/2024;8,575;8,725;8,800;8,450;5.82M;-1.72%
03/04/2024;8,725;8,950;8,950;8,625;6.69M;-2.79%
03/01/2024;8,975;8,725;9,100;8,525;11.99M;2.87%
02/29/2024;8,725;8,150;8,850;8,125;23.23M;7.38%
02/28/2024;8,125;7,825;8,125;7,750;9.63M;4.17%
02/27/2024;7,800;7,900;7,925;7,750;3.67M;-1.27%
02/26/2024;7,900;7,950;7,975;7,825;2.67M;-0.32%
02/23/2024;7,925;7,975;7,975;7,825;4.09M;0.32%
02/22/2024;7,900;7,800;7,925;7,725;5.08M;1.61%
02/21/2024;7,775;7,775;7,775;7,700;3.50M;0.65%
