Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;9,800;9,925;9,975;9,800;4.99M;-1.26%
07/30/2025;9,925;10,050;10,100;9,800;11.80M;-0.75%
07/29/2025;10,000;10,225;10,250;9,950;23.32M;-2.20%
07/28/2025;10,225;10,550;10,575;10,225;5.90M;-3.08%
07/25/2025;10,550;10,350;10,550;10,275;6.64M;1.93%
07/24/2025;10,350;10,450;10,475;10,350;2.98M;-0.96%
07/23/2025;10,450;10,475;10,475;10,300;3.23M;0.97%
07/22/2025;10,350;10,525;10,525;10,350;2.92M;-1.43%
07/21/2025;10,500;10,425;10,500;10,250;11.34M;0.96%
07/18/2025;10,400;10,350;10,525;10,300;12.73M;0.48%
07/17/2025;10,350;10,350;10,400;10,150;13.25M;0.00%
07/16/2025;10,350;10,400;10,425;10,275;2.40M;-0.48%
07/15/2025;10,400;10,400;10,425;10,150;12.05M;0.00%
07/14/2025;10,400;10,325;10,425;10,200;4.15M;0.73%
07/11/2025;10,325;10,475;10,500;10,300;2.73M;-1.20%
07/10/2025;10,450;10,500;10,500;10,350;3.17M;-0.71%
07/09/2025;10,525;10,525;10,550;10,075;6.55M;0.24%
07/08/2025;10,500;10,450;10,550;10,325;7.66M;0.00%
07/07/2025;10,500;10,725;10,725;10,275;5.72M;-1.41%
07/04/2025;10,650;10,750;10,800;10,550;1.38M;-0.93%
07/03/2025;10,750;10,600;10,850;10,550;3.20M;2.38%
07/02/2025;10,500;10,425;10,625;10,350;3.47M;-1.18%
07/01/2025;10,625;10,500;10,625;10,400;4.24M;1.19%
06/30/2025;10,500;10,350;10,550;10,200;12.17M;3.45%
06/26/2025;10,150;10,100;10,300;9,950;10.96M;-0.73%
06/25/2025;10,225;10,450;10,450;10,175;2.26M;0.00%
06/24/2025;10,225;10,200;10,375;10,175;3.62M;2.76%
06/23/2025;9,950;10,300;10,300;9,950;8.90M;-4.56%
06/20/2025;10,425;10,450;10,650;10,200;14.69M;-0.24%
06/19/2025;10,450;10,675;10,675;10,400;4.45M;-1.88%
06/18/2025;10,650;10,600;10,675;10,550;3.00M;0.24%
06/17/2025;10,625;10,575;10,725;10,575;2.44M;0.47%
06/16/2025;10,575;10,600;10,750;10,550;3.56M;-0.24%
06/13/2025;10,600;10,675;10,725;10,550;4.30M;-0.70%
06/12/2025;10,675;10,700;10,825;10,600;4.17M;-0.23%
06/11/2025;10,700;10,700;10,750;10,550;5.45M;0.47%
06/10/2025;10,650;10,700;10,750;10,500;4.73M;-0.47%
06/05/2025;10,700;10,800;10,800;10,600;1.48M;-1.15%
06/04/2025;10,825;10,825;10,825;10,600;3.19M;1.88%
06/03/2025;10,625;10,800;10,850;10,600;2.69M;-1.62%
06/02/2025;10,800;10,825;10,900;10,550;10.67M;-0.92%
05/28/2025;10,900;11,200;11,225;10,900;7.58M;-2.02%
05/27/2025;11,125;11,075;11,225;10,950;4.93M;0.91%
05/26/2025;11,025;10,825;11,050;10,825;4.66M;1.85%
05/23/2025;10,825;10,900;10,925;10,700;2.40M;0.23%
05/22/2025;10,800;10,825;11,000;10,725;3.18M;-0.23%
05/21/2025;10,825;10,825;10,925;10,700;4.31M;0.70%
