Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;8,525;8,425;8,825;8,400;16.89M;1.79%
07/30/2025;8,375;8,325;8,400;8,275;6.80M;0.90%
07/29/2025;8,300;8,350;8,400;8,275;3.73M;-0.90%
07/28/2025;8,375;8,475;8,475;8,350;3.31M;-0.30%
07/25/2025;8,400;8,350;8,400;8,300;3.39M;0.60%
07/24/2025;8,350;8,350;8,450;8,350;5.00M;0.00%
07/23/2025;8,350;8,300;8,350;8,200;4.56M;1.52%
07/22/2025;8,225;8,300;8,300;8,200;3.52M;-0.90%
07/21/2025;8,300;8,275;8,375;8,225;4.41M;0.91%
07/18/2025;8,225;8,225;8,275;8,200;4.00M;0.00%
07/17/2025;8,225;8,350;8,450;8,175;7.19M;-0.60%
07/16/2025;8,275;8,325;8,450;8,275;12.71M;-0.60%
07/15/2025;8,325;8,350;8,350;8,225;17.75M;-0.30%
07/14/2025;8,350;8,250;8,350;8,125;10.10M;1.21%
07/11/2025;8,250;8,150;8,250;8,100;8.35M;1.23%
07/10/2025;8,150;8,175;8,200;8,050;4.62M;-0.31%
07/09/2025;8,175;8,025;8,200;8,000;7.33M;1.87%
07/08/2025;8,025;8,050;8,100;7,975;4.59M;-0.93%
07/07/2025;8,100;8,100;8,100;8,000;5.54M;0.00%
07/04/2025;8,100;8,125;8,250;8,050;7.56M;0.00%
07/03/2025;8,100;7,925;8,125;7,875;8.04M;1.57%
07/02/2025;7,975;7,975;8,050;7,875;11.43M;-2.74%
07/01/2025;8,200;8,050;8,200;8,050;8.27M;0.92%
06/30/2025;8,125;8,100;8,150;7,950;9.28M;0.93%
06/26/2025;8,050;8,050;8,100;7,925;7.69M;0.00%
06/25/2025;8,050;8,025;8,100;7,975;7.39M;1.58%
06/24/2025;7,925;7,950;8,025;7,900;12.22M;0.00%
06/23/2025;7,925;8,000;8,000;7,800;4.73M;-1.55%
06/20/2025;8,050;8,050;8,125;8,025;13.42M;0.00%
06/19/2025;8,050;8,150;8,275;8,025;4.75M;-0.92%
06/18/2025;8,125;8,225;8,325;8,100;8.31M;-0.91%
06/17/2025;8,200;8,300;8,350;8,200;7.75M;-0.30%
06/16/2025;8,225;8,275;8,350;8,225;7.50M;-1.20%
06/13/2025;8,325;8,275;8,450;8,225;11.96M;1.22%
06/12/2025;8,225;8,400;8,400;8,225;10.97M;-3.24%
06/11/2025;8,500;8,275;8,500;8,150;20.16M;3.66%
06/10/2025;8,200;8,150;8,250;8,125;7.20M;0.61%
06/05/2025;8,150;8,200;8,275;8,100;10.39M;-0.91%
06/04/2025;8,225;7,950;8,225;7,875;19.74M;5.11%
06/03/2025;7,825;7,675;7,875;7,650;8.01M;1.95%
06/02/2025;7,675;7,925;7,950;7,650;9.73M;-2.54%
05/28/2025;7,875;7,900;7,950;7,775;13.34M;0.00%
05/27/2025;7,875;7,875;7,900;7,825;5.10M;0.32%
05/26/2025;7,850;7,850;7,900;7,825;5.29M;0.00%
05/23/2025;7,850;7,900;7,975;7,825;7.88M;-0.63%
05/22/2025;7,900;7,975;8,150;7,900;12.04M;-0.94%
05/21/2025;7,975;7,875;8,025;7,875;10.05M;1.27%
05/20/2025;7,875;8,250;8,325;7,875;12.13M;-4.26%
05/19/2025;8,225;8,450;8,500;8,225;12.11M;-2.66%
05/16/2025;8,450;8,200;8,475;8,125;12.70M;4.32%
05/15/2025;8,100;7,900;8,150;7,900;10.06M;2.86%
05/14/2025;7,875;8,000;8,125;7,875;8.26M;-1.25%
05/09/2025;7,975;7,775;8,000;7,700;7.22M;2.57%
05/08/2025;7,775;7,750;7,850;7,650;8.46M;0.32%
05/07/2025;7,750;7,550;7,950;7,550;12.04M;2.99%
05/06/2025;7,525;7,675;7,775;7,525;5.79M;-0.99%
05/05/2025;7,600;7,725;7,750;7,600;4.80M;-1.30%
05/02/2025;7,700;7,825;7,850;7,675;6.38M;-3.75%
04/30/2025;8,000;7,500;8,000;7,425;12.40M;6.67%
04/29/2025;7,500;7,425;7,525;7,425;4.79M;1.01%
04/28/2025;7,425;7,475;7,500;7,350;2.93M;-0.67%
04/25/2025;7,475;7,275;7,475;7,275;5.16M;3.10%
04/24/2025;7,250;7,300;7,325;7,150;6.33M;-1.36%
04/23/2025;7,350;7,225;7,425;7,225;9.91M;2.08%
04/22/2025;7,200;7,325;7,350;7,150;5.95M;-2.04%
04/21/2025;7,350;7,275;7,375;7,150;1.68M;0.68%
