Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;2,200;2,160;2,250;2,130;27.91M;1.85%
07/30/2025;2,160;2,270;2,270;2,140;23.75M;-4.85%
07/29/2025;2,270;2,280;2,310;2,250;11.99M;-0.44%
07/28/2025;2,280;2,280;2,320;2,260;9.39M;0.44%
07/25/2025;2,270;2,280;2,280;2,240;7.12M;-0.87%
07/24/2025;2,290;2,330;2,340;2,260;12.10M;-0.87%
07/23/2025;2,310;2,470;2,480;2,280;15.16M;-6.10%
07/22/2025;2,460;2,460;2,520;2,430;24.71M;0.41%
07/21/2025;2,450;2,360;2,470;2,360;21.93M;4.26%
07/18/2025;2,350;2,270;2,380;2,250;32.34M;3.98%
07/17/2025;2,260;2,100;2,290;2,100;28.95M;8.13%
07/16/2025;2,090;2,070;2,140;2,050;14.07M;2.45%
07/15/2025;2,040;2,060;2,070;2,030;15.40M;-0.49%
07/14/2025;2,050;2,110;2,120;2,030;9.07M;-2.38%
07/11/2025;2,100;2,110;2,120;2,090;9.71M;0.00%
07/10/2025;2,100;2,090;2,110;2,090;3.48M;0.48%
07/09/2025;2,090;2,110;2,120;2,070;8.81M;-0.95%
07/08/2025;2,110;2,100;2,120;2,080;7.52M;1.44%
07/07/2025;2,080;2,100;2,110;2,070;11.09M;-0.48%
07/04/2025;2,090;2,110;2,120;2,080;6.77M;-0.95%
07/03/2025;2,110;2,140;2,150;2,070;9.96M;-0.47%
07/02/2025;2,120;2,120;2,170;2,090;14.48M;0.95%
07/01/2025;2,100;2,130;2,150;2,100;3.31M;0.48%
06/30/2025;2,090;2,120;2,160;2,090;23.13M;0.00%
06/26/2025;2,090;2,060;2,120;2,040;27.01M;1.95%
06/25/2025;2,050;2,060;2,070;2,050;3.03M;-0.49%
06/24/2025;2,060;2,040;2,090;2,040;8.50M;1.98%
06/23/2025;2,020;2,090;2,090;1,900;18.39M;-3.81%
06/20/2025;2,100;2,090;2,120;2,080;18.81M;0.48%
06/19/2025;2,090;2,090;2,190;2,080;16.62M;0.00%
06/18/2025;2,090;2,090;2,100;2,070;9.59M;0.00%
06/17/2025;2,090;2,100;2,110;2,080;10.77M;0.00%
06/16/2025;2,090;2,080;2,110;2,080;9.77M;0.00%
06/13/2025;2,090;2,070;2,110;2,070;16.28M;1.46%
06/12/2025;2,060;2,030;2,120;2,010;13.85M;-1.90%
06/11/2025;2,100;2,120;2,130;2,070;9.83M;-0.47%
06/10/2025;2,110;2,080;2,130;2,080;14.89M;1.44%
06/05/2025;2,080;2,070;2,090;2,030;8.14M;0.48%
06/04/2025;2,070;2,090;2,100;2,030;15.38M;-0.48%
06/03/2025;2,080;2,040;2,080;2,010;17.37M;0.48%
06/02/2025;2,070;2,090;2,110;2,010;19.77M;-0.96%
05/28/2025;2,090;2,160;2,180;2,090;20.33M;-2.79%
05/27/2025;2,150;2,120;2,200;2,110;15.26M;2.87%
05/26/2025;2,090;2,120;2,130;2,090;12.91M;-1.42%
05/23/2025;2,120;2,090;2,130;2,080;9.88M;1.92%
05/22/2025;2,080;2,120;2,130;2,070;13.83M;-0.95%
05/21/2025;2,100;2,060;2,140;2,040;23.13M;2.44%
05/20/2025;2,050;2,120;2,160;2,000;26.53M;-2.38%
05/19/2025;2,100;2,020;2,130;2,010;28.89M;3.96%
05/16/2025;2,020;1,970;2,020;1,920;41.02M;3.06%
05/15/2025;1,960;1,890;1,980;1,890;28.94M;3.98%
05/14/2025;1,885;1,855;1,915;1,845;16.65M;3.57%
05/09/2025;1,820;1,865;1,900;1,790;26.09M;-2.41%
05/08/2025;1,865;1,950;1,955;1,855;22.15M;-4.36%
05/07/2025;1,950;1,950;1,955;1,910;29.36M;0.00%
05/06/2025;1,950;1,925;1,965;1,910;27.72M;1.83%
05/05/2025;1,915;1,910;1,975;1,865;25.97M;1.32%
05/02/2025;1,890;1,895;1,940;1,830;79.44M;8.00%
04/30/2025;1,750;1,950;2,040;1,700;99.54M;-9.56%
04/29/2025;1,935;1,855;2,030;1,845;92.89M;4.59%
04/28/2025;1,850;1,850;1,940;1,830;37.67M;0.27%
04/25/2025;1,845;1,870;1,885;1,830;22.22M;-0.54%
04/24/2025;1,855;1,735;1,855;1,735;42.67M;6.92%
04/23/2025;1,735;1,740;1,755;1,710;18.94M;0.58%
04/22/2025;1,725;1,690;1,735;1,680;22.36M;2.68%
04/21/2025;1,680;1,735;1,760;1,640;42.61M;-3.17%
04/17/2025;1,735;1,600;1,775;1,595;58.74M;8.78%
04/16/2025;1,595;1,570;1,630;1,570;26.79M;1.59%
04/15/2025;1,570;1,515;1,590;1,510;26.01M;4.32%
04/14/2025;1,505;1,470;1,520;1,465;26.47M;4.88%
04/11/2025;1,435;1,455;1,460;1,410;30.06M;-1.37%
04/10/2025;1,455;1,415;1,485;1,405;53.55M;7.78%
04/09/2025;1,350;1,255;1,365;1,255;56.23M;7.57%
04/08/2025;1,255;1,350;1,350;1,240;38.19M;-13.75%
03/27/2025;1,455;1,510;1,520;1,450;18.57M;-3.64%
03/26/2025;1,510;1,460;1,540;1,460;22.65M;3.42%
03/25/2025;1,460;1,415;1,465;1,390;18.26M;3.18%
03/24/2025;1,415;1,335;1,415;1,310;40.49M;5.99%
03/21/2025;1,335;1,415;1,425;1,330;44.73M;-5.32%
03/20/2025;1,410;1,480;1,490;1,400;29.41M;-4.08%
03/19/2025;1,470;1,520;1,520;1,465;33.90M;-2.97%
