Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,600;1,645;1,675;1,585;33.68M;-2.14%
07/30/2025;1,635;1,690;1,695;1,635;11.92M;-2.97%
07/29/2025;1,685;1,670;1,700;1,670;19.31M;2.12%
07/28/2025;1,650;1,630;1,665;1,620;16.38M;2.48%
07/25/2025;1,610;1,660;1,665;1,605;36.65M;-2.72%
07/24/2025;1,655;1,675;1,695;1,655;15.86M;-0.90%
07/23/2025;1,670;1,720;1,720;1,660;25.02M;-2.05%
07/22/2025;1,705;1,725;1,740;1,680;36.62M;-0.87%
07/21/2025;1,720;1,695;1,745;1,665;36.83M;2.38%
07/18/2025;1,680;1,695;1,735;1,675;52.82M;-0.59%
07/17/2025;1,690;1,625;1,695;1,625;46.77M;4.32%
07/16/2025;1,620;1,590;1,625;1,590;26.23M;2.86%
07/15/2025;1,575;1,605;1,605;1,570;9.76M;-1.56%
07/14/2025;1,600;1,590;1,610;1,550;25.09M;0.95%
07/11/2025;1,585;1,630;1,635;1,580;29.37M;-2.76%
07/10/2025;1,630;1,615;1,635;1,580;29.40M;0.93%
07/09/2025;1,615;1,570;1,635;1,545;49.73M;3.53%
07/08/2025;1,560;1,500;1,570;1,485;58.04M;3.65%
07/07/2025;1,505;1,480;1,505;1,440;23.24M;1.69%
07/04/2025;1,480;1,500;1,500;1,475;13.43M;-1.33%
07/03/2025;1,500;1,470;1,510;1,465;29.98M;2.74%
07/02/2025;1,460;1,450;1,470;1,430;23.73M;1.74%
07/01/2025;1,435;1,515;1,515;1,430;30.32M;-5.28%
06/30/2025;1,515;1,495;1,515;1,475;24.04M;1.34%
06/26/2025;1,495;1,435;1,500;1,435;37.56M;4.91%
06/25/2025;1,425;1,460;1,470;1,415;24.81M;-2.06%
06/24/2025;1,455;1,460;1,485;1,450;19.81M;0.69%
06/23/2025;1,445;1,490;1,490;1,430;27.31M;-3.67%
06/20/2025;1,500;1,525;1,535;1,500;100.80M;-1.64%
06/19/2025;1,525;1,555;1,555;1,520;29.67M;-1.61%
06/18/2025;1,550;1,570;1,575;1,525;26.01M;-0.64%
06/17/2025;1,560;1,550;1,600;1,550;22.38M;0.65%
06/16/2025;1,550;1,580;1,580;1,550;19.48M;-1.90%
06/13/2025;1,580;1,590;1,595;1,575;13.02M;-0.94%
06/12/2025;1,595;1,625;1,630;1,590;29.52M;-1.85%
06/11/2025;1,625;1,615;1,635;1,580;31.85M;1.56%
06/10/2025;1,600;1,560;1,610;1,560;54.16M;3.23%
06/05/2025;1,550;1,555;1,595;1,540;24.91M;0.00%
06/04/2025;1,550;1,590;1,595;1,550;26.79M;-1.90%
06/03/2025;1,580;1,575;1,610;1,560;22.77M;0.32%
06/02/2025;1,575;1,605;1,610;1,575;48.86M;-1.87%
05/28/2025;1,605;1,680;1,685;1,605;64.70M;-4.18%
05/27/2025;1,675;1,620;1,675;1,590;52.98M;3.40%
05/26/2025;1,620;1,660;1,670;1,605;35.28M;-1.82%
05/23/2025;1,650;1,715;1,730;1,645;60.46M;-3.79%
05/22/2025;1,715;1,765;1,770;1,700;38.07M;-2.83%
05/21/2025;1,765;1,800;1,800;1,755;22.06M;-1.94%
05/20/2025;1,800;1,805;1,815;1,785;18.85M;0.00%
