Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,430;1,480;1,480;1,430;36.99M;-3.70%
07/30/2025;1,485;1,490;1,510;1,475;18.01M;-0.34%
07/29/2025;1,490;1,480;1,505;1,465;21.65M;1.02%
07/28/2025;1,475;1,485;1,500;1,460;16.11M;-0.67%
07/25/2025;1,485;1,505;1,505;1,475;29.35M;-1.66%
07/24/2025;1,510;1,495;1,510;1,475;36.11M;1.00%
07/23/2025;1,495;1,475;1,495;1,445;12.42M;2.40%
07/22/2025;1,460;1,500;1,505;1,460;16.43M;-2.99%
07/21/2025;1,505;1,520;1,520;1,475;20.59M;-0.33%
07/18/2025;1,510;1,515;1,560;1,500;26.73M;0.33%
07/17/2025;1,505;1,520;1,525;1,495;16.51M;-0.33%
07/16/2025;1,510;1,540;1,540;1,510;15.52M;-1.31%
07/15/2025;1,530;1,560;1,560;1,510;16.55M;-1.92%
07/14/2025;1,560;1,590;1,590;1,510;40.88M;-2.19%
07/11/2025;1,595;1,505;1,595;1,490;32.42M;5.98%
07/10/2025;1,505;1,510;1,515;1,495;17.07M;-0.33%
07/09/2025;1,510;1,500;1,525;1,475;65.33M;0.67%
07/08/2025;1,500;1,490;1,500;1,470;17.53M;0.00%
07/07/2025;1,500;1,515;1,515;1,480;18.14M;-0.99%
07/04/2025;1,515;1,560;1,565;1,515;8.13M;-2.88%
07/03/2025;1,560;1,515;1,560;1,510;17.69M;3.31%
07/02/2025;1,510;1,515;1,525;1,470;32.19M;-0.66%
07/01/2025;1,520;1,510;1,530;1,500;19.24M;-0.33%
06/30/2025;1,525;1,570;1,570;1,500;45.07M;0.66%
06/26/2025;1,515;1,525;1,525;1,460;30.15M;-1.62%
06/25/2025;1,540;1,540;1,540;1,450;23.01M;3.01%
06/24/2025;1,495;1,450;1,510;1,450;37.33M;4.55%
06/23/2025;1,430;1,500;1,500;1,415;44.39M;-4.67%
06/20/2025;1,500;1,510;1,530;1,485;62.57M;-0.99%
06/19/2025;1,515;1,550;1,555;1,510;29.50M;-2.26%
06/18/2025;1,550;1,570;1,580;1,530;29.41M;-2.82%
06/17/2025;1,595;1,520;1,595;1,505;26.00M;4.25%
06/16/2025;1,530;1,525;1,545;1,510;27.36M;0.00%
06/13/2025;1,530;1,530;1,555;1,510;78.87M;-0.33%
06/12/2025;1,535;1,540;1,550;1,525;31.89M;-0.32%
06/11/2025;1,540;1,580;1,580;1,525;38.33M;-2.53%
06/10/2025;1,580;1,595;1,595;1,550;40.63M;-1.25%
06/05/2025;1,600;1,595;1,600;1,545;34.65M;0.00%
06/04/2025;1,600;1,550;1,600;1,525;55.36M;3.23%
06/03/2025;1,550;1,560;1,585;1,530;41.51M;-0.64%
06/02/2025;1,560;1,480;1,565;1,475;62.51M;2.97%
05/28/2025;1,515;1,570;1,570;1,495;162.56M;-3.50%
05/27/2025;1,570;1,540;1,570;1,525;46.62M;3.29%
05/26/2025;1,520;1,475;1,535;1,470;44.93M;4.11%
05/23/2025;1,460;1,450;1,475;1,420;68.32M;1.39%
05/22/2025;1,440;1,520;1,525;1,440;72.14M;-5.88%
05/21/2025;1,530;1,540;1,565;1,505;41.06M;2.00%
05/20/2025;1,500;1,485;1,540;1,480;42.54M;3.09%
05/19/2025;1,455;1,500;1,505;1,455;34.07M;-3.32%
05/16/2025;1,505;1,550;1,550;1,485;32.92M;-1.31%
05/15/2025;1,525;1,480;1,525;1,465;52.01M;3.04%
05/14/2025;1,480;1,450;1,510;1,440;50.69M;2.07%
05/09/2025;1,450;1,450;1,455;1,420;32.10M;0.69%
05/08/2025;1,440;1,410;1,440;1,360;51.96M;2.49%
05/07/2025;1,405;1,430;1,440;1,385;40.72M;-0.35%
05/06/2025;1,410;1,395;1,430;1,360;39.51M;1.44%
05/05/2025;1,390;1,320;1,420;1,320;53.74M;5.70%
05/02/2025;1,315;1,340;1,355;1,315;28.58M;-3.66%
04/30/2025;1,365;1,265;1,375;1,265;80.08M;8.33%
04/29/2025;1,260;1,270;1,280;1,260;18.82M;0.00%
04/28/2025;1,260;1,250;1,290;1,235;35.81M;1.61%
04/25/2025;1,240;1,265;1,270;1,235;34.27M;-1.98%
04/24/2025;1,265;1,295;1,300;1,230;43.00M;-1.17%
04/23/2025;1,280;1,215;1,280;1,215;57.92M;6.67%
04/22/2025;1,200;1,220;1,225;1,185;36.43M;-2.04%
04/21/2025;1,225;1,200;1,225;1,180;27.31M;2.08%
04/17/2025;1,200;1,255;1,260;1,185;43.56M;-4.38%
04/16/2025;1,255;1,200;1,255;1,200;36.83M;5.02%
04/15/2025;1,195;1,240;1,245;1,165;62.26M;-3.63%
04/14/2025;1,240;1,200;1,240;1,190;62.71M;5.08%
04/11/2025;1,180;1,145;1,190;1,140;48.93M;3.06%
04/10/2025;1,145;1,125;1,150;1,110;59.92M;3.62%
04/09/2025;1,105;1,050;1,120;1,050;57.27M;4.74%
04/08/2025;1,055;1,025;1,055;990;79.02M;-7.05%
03/27/2025;1,135;1,100;1,135;1,085;49.33M;3.18%
03/26/2025;1,100;1,125;1,125;1,095;56.23M;-3.08%
03/25/2025;1,135;1,115;1,145;1,105;51.45M;2.71%
03/24/2025;1,105;1,110;1,120;1,085;37.71M;-1.34%
03/21/2025;1,120;1,085;1,125;1,065;100.62M;2.75%
03/20/2025;1,090;1,030;1,090;1,030;54.99M;5.83%
03/19/2025;1,030;1,020;1,035;1,010;77.68M;1.48%
03/18/2025;1,015;1,065;1,065;985;65.90M;-4.25%
03/17/2025;1,060;1,055;1,065;1,045;36.82M;0.95%
03/14/2025;1,050;1,085;1,085;1,040;38.55M;-3.23%
03/13/2025;1,085;1,070;1,085;1,055;48.44M;1.40%
03/12/2025;1,070;1,070;1,085;1,060;61.16M;0.94%
03/11/2025;1,060;1,060;1,070;1,050;49.71M;-1.85%
03/10/2025;1,080;1,150;1,150;1,080;64.82M;-6.90%
03/07/2025;1,160;1,150;1,160;1,130;70.17M;0.87%
03/06/2025;1,150;1,105;1,160;1,100;94.42M;5.50%
03/05/2025;1,090;1,110;1,115;1,070;68.13M;-1.80%
03/04/2025;1,110;1,110;1,130;1,090;61.80M;0.00%
03/03/2025;1,110;1,120;1,125;1,095;69.02M;2.78%
02/28/2025;1,080;1,150;1,155;1,065;120.32M;-5.26%
02/27/2025;1,140;1,195;1,210;1,125;45.99M;-3.80%
02/26/2025;1,185;1,170;1,195;1,170;34.12M;2.16%
02/25/2025;1,160;1,205;1,210;1,155;29.00M;-4.13%
02/24/2025;1,210;1,220;1,230;1,200;29.05M;-0.82%
02/21/2025;1,220;1,210;1,235;1,210;44.74M;0.83%
02/20/2025;1,210;1,245;1,250;1,200;41.53M;-2.02%
02/19/2025;1,235;1,295;1,300;1,230;43.14M;-4.63%
02/18/2025;1,295;1,290;1,305;1,275;29.47M;0.78%
02/17/2025;1,285;1,290;1,295;1,275;11.68M;-0.39%
02/14/2025;1,290;1,290;1,300;1,280;30.72M;0.00%
02/13/2025;1,290;1,285;1,310;1,275;23.38M;0.39%
02/12/2025;1,285;1,255;1,290;1,255;23.97M;2.80%
02/11/2025;1,250;1,320;1,325;1,250;34.74M;-5.30%
02/10/2025;1,320;1,265;1,330;1,240;47.23M;4.35%
02/07/2025;1,265;1,310;1,325;1,245;51.94M;-2.69%
02/06/2025;1,300;1,230;1,300;1,230;50.75M;7.44%
02/05/2025;1,210;1,235;1,250;1,210;35.25M;-3.20%
02/04/2025;1,250;1,230;1,265;1,225;27.75M;4.17%
02/03/2025;1,200;1,255;1,265;1,185;27.74M;-5.14%
01/31/2025;1,265;1,240;1,265;1,240;15.69M;2.43%
01/30/2025;1,235;1,220;1,240;1,195;28.41M;1.23%
01/24/2025;1,220;1,250;1,255;1,220;21.58M;-1.21%
01/23/2025;1,235;1,260;1,265;1,235;16.20M;-1.98%
01/22/2025;1,260;1,240;1,260;1,235;31.46M;1.61%
01/21/2025;1,240;1,225;1,245;1,220;39.34M;1.64%
01/20/2025;1,220;1,225;1,235;1,215;17.22M;-0.41%
01/17/2025;1,225;1,240;1,240;1,210;28.92M;-0.81%
01/16/2025;1,235;1,260;1,265;1,235;26.98M;-1.59%
01/15/2025;1,255;1,245;1,270;1,245;27.37M;2.45%
01/14/2025;1,225;1,265;1,270;1,225;25.57M;-3.16%
01/13/2025;1,265;1,260;1,280;1,245;28.55M;0.40%
01/10/2025;1,260;1,270;1,270;1,245;34.37M;-0.79%
01/09/2025;1,270;1,275;1,285;1,255;19.04M;-0.39%
01/08/2025;1,275;1,300;1,310;1,270;32.64M;-1.16%
01/07/2025;1,290;1,280;1,315;1,280;19.46M;0.78%
01/06/2025;1,280;1,330;1,340;1,280;22.17M;-3.40%
01/03/2025;1,325;1,345;1,360;1,315;25.50M;-1.12%
01/02/2025;1,340;1,370;1,375;1,340;14.75M;-1.47%
12/30/2024;1,360;1,360;1,390;1,340;43.20M;0.37%
12/27/2024;1,355;1,400;1,405;1,335;38.83M;-3.21%
12/24/2024;1,400;1,330;1,405;1,305;21.05M;5.26%
12/23/2024;1,330;1,280;1,330;1,265;44.24M;4.31%
12/20/2024;1,275;1,310;1,325;1,245;116.32M;-3.41%
12/19/2024;1,320;1,375;1,375;1,290;53.63M;-4.35%
12/18/2024;1,380;1,420;1,430;1,355;32.06M;-1.43%
12/17/2024;1,400;1,440;1,445;1,380;20.72M;-2.78%
12/16/2024;1,440;1,445;1,450;1,420;38.74M;-0.35%
12/13/2024;1,445;1,460;1,465;1,430;30.60M;-0.69%
12/12/2024;1,455;1,505;1,520;1,430;47.34M;-3.32%
12/11/2024;1,505;1,505;1,525;1,495;27.06M;0.00%
12/10/2024;1,505;1,490;1,505;1,470;30.93M;1.35%
12/09/2024;1,485;1,480;1,510;1,475;36.92M;1.37%
12/06/2024;1,465;1,505;1,505;1,465;31.35M;-2.66%
12/05/2024;1,505;1,485;1,505;1,475;27.92M;1.35%
12/04/2024;1,485;1,485;1,500;1,475;39.81M;0.34%
12/03/2024;1,480;1,475;1,490;1,455;27.01M;0.34%
12/02/2024;1,475;1,495;1,505;1,475;23.69M;-1.67%
11/29/2024;1,500;1,500;1,530;1,500;26.94M;0.33%
11/28/2024;1,495;1,500;1,520;1,485;31.49M;1.01%
11/26/2024;1,480;1,520;1,540;1,480;27.44M;-1.33%
11/25/2024;1,500;1,500;1,525;1,485;260.64M;2.04%
11/22/2024;1,470;1,455;1,490;1,450;21.93M;1.38%
11/21/2024;1,450;1,475;1,530;1,445;45.07M;-1.02%
11/20/2024;1,465;1,430;1,480;1,430;29.23M;2.81%
11/19/2024;1,425;1,435;1,455;1,425;31.00M;-0.70%
11/18/2024;1,435;1,415;1,435;1,415;33.79M;1.06%
11/15/2024;1,420;1,435;1,455;1,420;42.31M;-2.07%
11/14/2024;1,450;1,485;1,490;1,450;45.39M;-3.33%
11/13/2024;1,500;1,500;1,515;1,480;21.33M;0.00%
11/12/2024;1,500;1,500;1,520;1,490;34.35M;-0.66%
11/11/2024;1,510;1,540;1,545;1,485;47.39M;-1.95%
11/08/2024;1,540;1,570;1,575;1,530;32.73M;-1.91%
11/07/2024;1,570;1,590;1,605;1,570;32.00M;-1.26%
11/06/2024;1,590;1,615;1,615;1,585;35.56M;-0.63%
11/05/2024;1,600;1,605;1,620;1,590;27.95M;0.63%
11/04/2024;1,590;1,580;1,610;1,575;30.37M;1.27%
11/01/2024;1,570;1,610;1,615;1,560;47.18M;-2.79%
10/31/2024;1,615;1,605;1,630;1,590;32.90M;0.62%
10/30/2024;1,605;1,615;1,615;1,575;35.37M;-0.62%
10/29/2024;1,615;1,640;1,645;1,600;24.62M;-0.92%
10/28/2024;1,630;1,625;1,640;1,610;21.95M;0.62%
10/25/2024;1,620;1,655;1,655;1,620;24.17M;-1.52%
10/24/2024;1,645;1,675;1,675;1,640;14.52M;-1.79%
10/23/2024;1,675;1,680;1,690;1,660;17.97M;-0.30%
10/22/2024;1,680;1,670;1,710;1,660;39.53M;1.20%
10/21/2024;1,660;1,715;1,720;1,660;28.49M;-3.21%
10/18/2024;1,715;1,700;1,715;1,680;26.15M;1.48%
10/17/2024;1,690;1,730;1,735;1,690;30.03M;-2.31%
10/16/2024;1,730;1,770;1,770;1,725;23.66M;-1.14%
10/15/2024;1,750;1,715;1,755;1,715;40.20M;2.04%
10/14/2024;1,715;1,720;1,740;1,695;14.66M;-0.29%
10/11/2024;1,720;1,680;1,720;1,655;21.20M;4.24%
10/10/2024;1,650;1,665;1,675;1,620;20.15M;-1.20%
10/09/2024;1,670;1,695;1,695;1,655;22.13M;-1.76%
10/08/2024;1,700;1,730;1,730;1,675;29.45M;-1.73%
10/07/2024;1,730;1,730;1,745;1,720;15.63M;-0.57%
10/04/2024;1,740;1,740;1,745;1,725;23.89M;0.00%
10/03/2024;1,740;1,725;1,745;1,720;29.34M;0.87%
10/02/2024;1,725;1,720;1,730;1,710;34.29M;-0.86%
10/01/2024;1,740;1,725;1,750;1,715;17.78M;0.87%
09/30/2024;1,725;1,750;1,750;1,715;32.21M;-0.58%
09/27/2024;1,735;1,750;1,750;1,720;26.17M;-0.29%
09/26/2024;1,740;1,755;1,755;1,730;43.18M;0.00%
09/25/2024;1,740;1,760;1,760;1,715;43.95M;-0.29%
09/24/2024;1,745;1,730;1,755;1,705;50.07M;0.58%
09/23/2024;1,735;1,745;1,765;1,725;26.81M;0.87%
09/20/2024;1,720;1,730;1,750;1,700;53.86M;-0.58%
09/19/2024;1,730;1,765;1,765;1,725;36.03M;-1.14%
