Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;2,230;2,160;2,270;2,120;14.08M;2.76%
07/30/2025;2,170;2,210;2,220;2,150;15.59M;-1.81%
07/29/2025;2,210;2,150;2,210;2,130;14.52M;3.76%
07/28/2025;2,130;2,060;2,170;2,060;18.18M;3.40%
07/25/2025;2,060;2,060;2,080;2,030;9.65M;0.98%
07/24/2025;2,040;2,010;2,060;2,010;8.09M;1.49%
07/23/2025;2,010;2,010;2,020;1,995;6.91M;0.00%
07/22/2025;2,010;2,090;2,090;2,000;11.35M;-2.90%
07/21/2025;2,070;2,050;2,090;2,000;8.41M;1.97%
07/18/2025;2,030;2,050;2,060;2,030;6.44M;0.00%
07/17/2025;2,030;2,020;2,050;1,990;10.96M;2.01%
07/16/2025;1,990;2,030;2,050;1,975;18.70M;-1.97%
07/15/2025;2,030;2,080;2,080;2,020;6.41M;-2.40%
07/14/2025;2,080;2,160;2,170;2,060;7.38M;-3.26%
07/11/2025;2,150;2,110;2,170;2,110;3.00M;1.90%
07/10/2025;2,110;2,110;2,130;2,080;6.51M;0.00%
07/09/2025;2,110;2,110;2,130;2,070;3.65M;0.00%
07/08/2025;2,110;2,140;2,150;2,110;2.14M;-1.40%
07/07/2025;2,140;2,140;2,170;2,110;1.18M;0.00%
07/04/2025;2,140;2,160;2,190;2,130;1.61M;-0.47%
07/03/2025;2,150;2,190;2,200;2,150;2.16M;-1.38%
07/02/2025;2,180;2,180;2,210;2,170;9.58M;0.46%
07/01/2025;2,170;2,100;2,200;2,080;21.81M;3.83%
06/30/2025;2,090;2,100;2,140;2,080;7.06M;-0.48%
06/26/2025;2,100;2,080;2,100;2,050;13.11M;2.44%
06/25/2025;2,050;2,050;2,080;2,010;6.39M;0.00%
06/24/2025;2,050;2,020;2,080;2,010;10.31M;2.50%
06/23/2025;2,000;1,985;2,020;1,935;14.59M;0.25%
06/20/2025;1,995;2,010;2,020;1,950;31.26M;-0.75%
06/19/2025;2,010;2,020;2,040;2,000;17.32M;-1.47%
06/18/2025;2,040;2,100;2,100;2,030;12.92M;-1.45%
06/17/2025;2,070;2,090;2,100;2,060;9.23M;-0.96%
06/16/2025;2,090;2,080;2,110;2,080;5.87M;0.97%
06/13/2025;2,070;2,100;2,110;2,070;4.83M;-0.96%
06/12/2025;2,090;2,150;2,150;2,080;11.87M;-3.24%
06/11/2025;2,160;2,180;2,230;2,110;10.40M;1.89%
06/10/2025;2,120;2,150;2,180;2,090;8.45M;-1.40%
06/05/2025;2,150;2,120;2,210;2,110;8.81M;2.38%
06/04/2025;2,100;2,190;2,190;2,060;6.63M;-3.67%
06/03/2025;2,180;2,230;2,230;2,170;5.06M;-2.24%
06/02/2025;2,230;2,280;2,280;2,210;3.05M;-2.19%
05/28/2025;2,280;2,300;2,310;2,260;6.75M;-0.44%
05/27/2025;2,290;2,280;2,300;2,280;3.11M;0.00%
05/26/2025;2,290;2,270;2,310;2,260;3.40M;0.00%
05/23/2025;2,290;2,260;2,330;2,240;8.99M;1.33%
05/22/2025;2,260;2,270;2,350;2,240;14.40M;0.00%
05/21/2025;2,260;2,250;2,270;2,210;9.96M;1.35%
05/20/2025;2,230;2,290;2,310;2,230;5.42M;-2.62%
05/19/2025;2,290;2,300;2,310;2,270;6.84M;0.00%
05/16/2025;2,290;2,320;2,340;2,270;10.16M;-0.87%
05/15/2025;2,310;2,350;2,380;2,300;8.31M;-1.70%
05/14/2025;2,350;2,260;2,360;2,250;17.40M;5.86%
05/09/2025;2,220;2,220;2,260;2,200;9.54M;-0.89%
05/08/2025;2,240;2,270;2,300;2,220;5.72M;-0.88%
05/07/2025;2,260;2,330;2,340;2,260;9.70M;-3.00%
05/06/2025;2,330;2,330;2,360;2,330;4.81M;0.43%
05/05/2025;2,320;2,260;2,350;2,250;19.65M;2.65%
05/02/2025;2,260;2,280;2,310;2,250;10.65M;-0.88%
04/30/2025;2,280;2,400;2,400;2,220;41.14M;-7.69%
04/29/2025;2,470;2,460;2,480;2,450;1.39M;0.41%
04/28/2025;2,460;2,500;2,530;2,440;3.81M;-0.81%
04/25/2025;2,480;2,410;2,610;2,410;19.16M;3.77%
04/24/2025;2,390;2,300;2,430;2,300;19.46M;3.91%
04/23/2025;2,300;2,260;2,320;2,250;4.34M;2.22%
04/22/2025;2,250;2,290;2,320;2,240;5.16M;-1.75%
04/21/2025;2,290;2,090;2,330;2,090;10.99M;4.09%
04/17/2025;2,200;2,210;2,220;2,170;3.48M;-0.45%
04/16/2025;2,210;2,170;2,230;2,150;4.66M;3.76%
04/15/2025;2,130;2,140;2,170;2,090;4.39M;0.00%
04/14/2025;2,130;2,050;2,170;2,030;6.17M;3.90%
04/11/2025;2,050;2,080;2,090;2,010;4.25M;-1.44%
04/10/2025;2,080;1,970;2,210;1,970;26.58M;9.47%
04/09/2025;1,900;1,880;1,915;1,880;21.95M;1.06%
04/08/2025;1,880;1,990;1,990;1,820;11.83M;-7.39%
03/27/2025;2,030;2,060;2,130;2,030;9.02M;-2.87%
03/26/2025;2,090;2,080;2,130;2,070;5.68M;0.00%
03/25/2025;2,090;2,040;2,150;2,030;6.95M;2.45%
03/24/2025;2,040;2,000;2,050;1,985;2.56M;1.49%
03/21/2025;2,010;2,140;2,140;2,000;17.28M;-6.94%
03/20/2025;2,160;2,170;2,180;2,130;4.15M;0.00%
