Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,285;1,340;1,345;1,280;41.57M;-3.02%
07/30/2025;1,325;1,340;1,350;1,320;55.68M;0.38%
07/29/2025;1,320;1,290;1,330;1,270;55.40M;3.94%
07/28/2025;1,270;1,270;1,270;1,250;17.24M;1.60%
07/25/2025;1,250;1,290;1,295;1,250;29.40M;-2.72%
07/24/2025;1,285;1,270;1,305;1,260;42.39M;1.18%
07/23/2025;1,270;1,255;1,270;1,225;55.68M;0.79%
07/22/2025;1,260;1,285;1,290;1,250;38.04M;-1.95%
07/21/2025;1,285;1,305;1,310;1,275;41.07M;-1.15%
07/18/2025;1,300;1,300;1,330;1,300;53.83M;-1.89%
07/17/2025;1,325;1,300;1,335;1,280;62.66M;2.32%
07/16/2025;1,295;1,265;1,315;1,260;77.89M;3.19%
07/15/2025;1,255;1,250;1,260;1,235;28.63M;0.40%
07/14/2025;1,250;1,270;1,270;1,235;38.73M;-0.79%
07/11/2025;1,260;1,260;1,265;1,250;20.42M;0.40%
07/10/2025;1,255;1,260;1,275;1,250;26.73M;-0.40%
07/09/2025;1,260;1,260;1,265;1,250;36.50M;1.61%
07/08/2025;1,240;1,235;1,260;1,235;27.53M;0.81%
07/07/2025;1,230;1,245;1,255;1,220;23.11M;-1.20%
07/04/2025;1,245;1,260;1,260;1,230;19.13M;-1.19%
07/03/2025;1,260;1,250;1,285;1,245;42.39M;1.20%
07/02/2025;1,245;1,260;1,260;1,215;68.32M;-1.19%
07/01/2025;1,260;1,245;1,270;1,220;74.43M;1.20%
06/30/2025;1,245;1,270;1,275;1,240;41.45M;-1.97%
06/26/2025;1,270;1,260;1,280;1,245;57.19M;0.79%
06/25/2025;1,260;1,320;1,330;1,235;132.67M;-4.55%
06/24/2025;1,320;1,315;1,355;1,310;147.30M;-8.97%
06/23/2025;1,450;1,500;1,525;1,435;226.18M;1.40%
06/20/2025;1,430;1,430;1,450;1,395;105.53M;-1.38%
06/19/2025;1,450;1,420;1,450;1,355;131.10M;2.47%
