Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,580;1,595;1,630;1,560;13.02M;-0.32%
07/30/2025;1,585;1,580;1,595;1,565;6.02M;1.28%
07/29/2025;1,565;1,530;1,570;1,525;19.50M;1.62%
07/28/2025;1,540;1,530;1,560;1,525;3.12M;0.00%
07/25/2025;1,540;1,555;1,580;1,520;8.27M;-1.28%
07/24/2025;1,560;1,625;1,625;1,505;40.09M;-5.17%
07/23/2025;1,645;1,680;1,685;1,620;46.86M;-2.08%
07/22/2025;1,680;1,670;1,695;1,665;24.71M;1.20%
07/21/2025;1,660;1,665;1,675;1,650;17.19M;-0.30%
07/18/2025;1,665;1,625;1,725;1,625;49.27M;3.42%
07/17/2025;1,610;1,555;1,620;1,555;24.41M;3.54%
07/16/2025;1,555;1,555;1,575;1,550;18.31M;0.32%
07/15/2025;1,550;1,555;1,565;1,550;22.48M;0.98%
07/14/2025;1,535;1,530;1,555;1,525;19.54M;2.68%
07/11/2025;1,495;1,505;1,510;1,495;11.32M;-0.33%
07/10/2025;1,500;1,510;1,520;1,500;8.36M;-0.66%
07/09/2025;1,510;1,485;1,565;1,485;17.21M;2.37%
07/08/2025;1,475;1,480;1,490;1,465;13.20M;0.68%
07/07/2025;1,465;1,480;1,495;1,460;12.61M;-1.01%
07/04/2025;1,480;1,480;1,485;1,470;11.16M;1.72%
07/03/2025;1,455;1,475;1,485;1,455;15.32M;-0.68%
07/02/2025;1,465;1,440;1,480;1,440;45.54M;3.53%
07/01/2025;1,415;1,430;1,435;1,410;14.99M;0.00%
06/30/2025;1,415;1,425;1,440;1,405;12.23M;-0.35%
06/26/2025;1,420;1,450;1,460;1,400;18.74M;3.27%
06/25/2025;1,375;1,435;1,500;1,375;50.75M;-0.36%
06/24/2025;1,380;1,380;1,400;1,375;5.88M;1.47%
06/23/2025;1,360;1,365;1,370;1,355;8.71M;0.00%
06/20/2025;1,360;1,390;1,405;1,360;35.02M;-1.45%
06/19/2025;1,380;1,405;1,410;1,380;8.61M;-2.13%
06/18/2025;1,410;1,400;1,415;1,390;4.76M;1.08%
06/17/2025;1,395;1,400;1,430;1,390;9.17M;0.00%
06/16/2025;1,395;1,400;1,415;1,395;5.21M;1.09%
06/13/2025;1,380;1,400;1,415;1,375;8.12M;-0.36%
06/12/2025;1,385;1,440;1,440;1,380;14.52M;-3.48%
06/11/2025;1,435;1,410;1,435;1,405;3.59M;2.14%
06/10/2025;1,405;1,475;1,480;1,315;20.30M;-4.42%
06/05/2025;1,470;1,500;1,500;1,435;22.71M;-1.67%
06/04/2025;1,495;1,465;1,500;1,455;21.96M;1.70%
06/03/2025;1,470;1,440;1,470;1,435;10.33M;2.44%
06/02/2025;1,435;1,500;1,500;1,425;9.39M;-6.82%
05/28/2025;1,540;1,435;1,540;1,435;26.03M;8.07%
05/27/2025;1,425;1,440;1,450;1,425;7.71M;-1.04%
05/26/2025;1,440;1,450;1,460;1,425;9.10M;-0.35%
05/23/2025;1,445;1,445;1,455;1,435;12.44M;0.70%
05/22/2025;1,435;1,430;1,450;1,420;19.05M;0.35%
05/21/2025;1,430;1,390;1,430;1,390;11.77M;3.25%
05/20/2025;1,385;1,385;1,405;1,380;7.69M;0.73%
05/19/2025;1,375;1,355;1,375;1,330;20.38M;1.85%
05/16/2025;1,350;1,300;1,365;1,300;9.63M;3.85%
