Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,630;1,630;1,640;1,610;33.07M;0.62%
07/30/2025;1,620;1,630;1,635;1,620;18.91M;-0.61%
07/29/2025;1,630;1,615;1,630;1,595;23.89M;1.24%
07/28/2025;1,610;1,605;1,620;1,605;13.01M;0.31%
07/25/2025;1,605;1,630;1,640;1,605;20.76M;-1.23%
07/24/2025;1,625;1,610;1,640;1,610;30.09M;0.93%
07/23/2025;1,610;1,620;1,625;1,600;21.06M;0.31%
07/22/2025;1,605;1,630;1,635;1,605;40.08M;-1.53%
07/21/2025;1,630;1,645;1,655;1,620;47.57M;-0.31%
07/18/2025;1,635;1,585;1,640;1,580;68.16M;3.81%
07/17/2025;1,575;1,575;1,585;1,565;19.13M;0.32%
07/16/2025;1,570;1,575;1,590;1,560;32.85M;0.32%
07/15/2025;1,565;1,585;1,600;1,560;30.63M;-0.95%
07/14/2025;1,580;1,595;1,605;1,570;18.87M;-0.94%
07/11/2025;1,595;1,605;1,605;1,585;19.77M;0.00%
07/10/2025;1,595;1,575;1,595;1,570;21.28M;1.92%
07/09/2025;1,565;1,580;1,590;1,560;24.27M;-0.63%
07/08/2025;1,575;1,580;1,585;1,570;12.99M;-0.63%
07/07/2025;1,585;1,600;1,600;1,575;13.20M;-1.25%
07/04/2025;1,605;1,590;1,605;1,570;17.58M;0.63%
07/03/2025;1,595;1,590;1,610;1,575;20.27M;0.95%
07/02/2025;1,580;1,590;1,590;1,570;22.60M;-0.32%
07/01/2025;1,585;1,630;1,630;1,570;29.65M;-1.86%
06/30/2025;1,615;1,580;1,620;1,565;79.85M;4.19%
06/26/2025;1,550;1,530;1,560;1,530;53.96M;1.31%
06/25/2025;1,530;1,590;1,595;1,530;53.21M;-3.47%
06/24/2025;1,585;1,620;1,635;1,580;70.69M;-1.86%
06/23/2025;1,615;1,590;1,650;1,590;78.20M;1.57%
06/20/2025;1,590;1,640;1,645;1,590;133.44M;-3.34%
06/19/2025;1,645;1,680;1,680;1,620;54.37M;-1.50%
06/18/2025;1,670;1,700;1,705;1,660;49.53M;-0.89%
06/17/2025;1,685;1,705;1,705;1,670;36.25M;0.00%
06/16/2025;1,685;1,695;1,725;1,670;96.29M;0.90%
06/13/2025;1,670;1,690;1,700;1,660;70.28M;-0.60%
06/12/2025;1,680;1,715;1,720;1,680;153.46M;-10.88%
06/11/2025;1,885;1,880;1,890;1,860;158.77M;0.53%
06/10/2025;1,875;1,845;1,895;1,840;117.60M;2.18%
06/05/2025;1,835;1,845;1,850;1,820;37.77M;-0.27%
06/04/2025;1,840;1,865;1,870;1,825;48.38M;-0.81%
06/03/2025;1,855;1,835;1,865;1,810;67.26M;1.92%
06/02/2025;1,820;1,830;1,840;1,810;68.46M;0.00%
05/28/2025;1,820;1,840;1,895;1,810;293.19M;-0.27%
05/27/2025;1,825;1,825;1,840;1,795;74.24M;0.55%
05/26/2025;1,815;1,785;1,815;1,765;76.74M;2.54%
05/23/2025;1,770;1,820;1,830;1,765;80.03M;-1.67%
05/22/2025;1,800;1,745;1,815;1,735;135.35M;3.15%
05/21/2025;1,745;1,745;1,765;1,710;80.26M;1.16%
05/20/2025;1,725;1,750;1,775;1,725;63.62M;-0.86%
05/19/2025;1,740;1,700;1,750;1,700;109.66M;2.96%
05/16/2025;1,690;1,675;1,710;1,650;59.11M;1.50%
05/15/2025;1,665;1,665;1,680;1,640;60.19M;0.30%
05/14/2025;1,660;1,615;1,665;1,615;65.24M;3.43%
05/09/2025;1,605;1,610;1,620;1,595;29.46M;0.31%
05/08/2025;1,600;1,635;1,645;1,600;63.55M;-2.14%
05/07/2025;1,635;1,630;1,645;1,620;59.35M;0.93%
05/06/2025;1,620;1,630;1,635;1,610;38.05M;-0.61%
05/05/2025;1,630;1,640;1,650;1,630;32.21M;-0.31%
05/02/2025;1,635;1,685;1,690;1,635;56.08M;-2.97%
04/30/2025;1,685;1,650;1,700;1,625;105.79M;-2.03%
04/29/2025;1,720;1,720;1,735;1,710;33.94M;0.58%
04/28/2025;1,710;1,725;1,735;1,700;51.69M;-0.87%
04/25/2025;1,725;1,780;1,785;1,710;67.66M;-2.54%
04/24/2025;1,770;1,730;1,795;1,725;76.10M;3.21%
04/23/2025;1,715;1,690;1,765;1,685;49.76M;2.39%
04/22/2025;1,675;1,685;1,690;1,670;13.81M;-0.30%
04/21/2025;1,680;1,675;1,685;1,660;8.55M;0.30%
04/17/2025;1,675;1,670;1,680;1,655;10.83M;0.30%
04/16/2025;1,670;1,675;1,685;1,645;28.37M;-0.89%
04/15/2025;1,685;1,650;1,695;1,650;33.70M;2.74%
04/14/2025;1,640;1,585;1,650;1,585;23.46M;3.80%
04/11/2025;1,580;1,550;1,590;1,530;16.48M;1.94%
04/10/2025;1,550;1,525;1,570;1,525;34.75M;4.03%
04/09/2025;1,490;1,445;1,490;1,440;43.73M;3.11%
04/08/2025;1,445;1,450;1,480;1,425;63.43M;-7.07%
03/27/2025;1,555;1,555;1,570;1,545;19.12M;0.32%
03/26/2025;1,550;1,505;1,580;1,505;47.41M;3.33%
03/25/2025;1,500;1,545;1,545;1,500;32.50M;-1.64%
03/24/2025;1,525;1,540;1,565;1,510;24.99M;-0.97%
03/21/2025;1,540;1,535;1,550;1,505;182.22M;0.00%
03/20/2025;1,540;1,500;1,555;1,500;43.59M;2.67%
03/19/2025;1,500;1,510;1,525;1,490;22.82M;-0.66%
03/18/2025;1,510;1,540;1,540;1,460;41.41M;-0.98%
03/17/2025;1,525;1,570;1,570;1,515;39.75M;-0.65%
03/14/2025;1,535;1,565;1,565;1,530;35.40M;-1.29%
03/13/2025;1,555;1,520;1,585;1,515;63.29M;2.98%
03/12/2025;1,510;1,465;1,520;1,465;45.18M;4.14%
03/11/2025;1,450;1,480;1,485;1,445;44.53M;-2.36%
03/10/2025;1,485;1,530;1,530;1,480;43.08M;-1.66%
03/07/2025;1,510;1,510;1,525;1,500;11.71M;0.33%
03/06/2025;1,505;1,525;1,540;1,505;50.71M;-0.99%
03/05/2025;1,520;1,520;1,565;1,505;32.79M;0.00%
03/04/2025;1,520;1,520;1,535;1,505;27.45M;0.00%
03/03/2025;1,520;1,500;1,535;1,495;34.18M;1.00%
02/28/2025;1,505;1,520;1,550;1,480;43.72M;-1.63%
02/27/2025;1,530;1,595;1,615;1,505;73.54M;-5.26%
02/26/2025;1,615;1,645;1,660;1,585;21.62M;-1.22%
02/25/2025;1,635;1,680;1,680;1,615;20.00M;-1.80%
02/24/2025;1,665;1,655;1,710;1,640;11.26M;0.30%
02/21/2025;1,660;1,685;1,685;1,645;14.79M;-1.48%
02/20/2025;1,685;1,685;1,700;1,675;13.86M;0.00%
02/19/2025;1,685;1,710;1,710;1,670;20.12M;-0.88%
02/18/2025;1,700;1,685;1,715;1,685;28.87M;0.89%
02/17/2025;1,685;1,650;1,690;1,635;22.34M;2.43%
02/14/2025;1,645;1,630;1,660;1,625;23.39M;1.23%
02/13/2025;1,625;1,640;1,655;1,605;41.67M;-0.91%
02/12/2025;1,640;1,640;1,650;1,620;20.01M;0.61%
02/11/2025;1,630;1,605;1,655;1,605;43.81M;2.19%
02/10/2025;1,595;1,575;1,620;1,560;23.76M;1.27%
02/07/2025;1,575;1,565;1,595;1,530;19.95M;0.64%
02/06/2025;1,565;1,635;1,640;1,565;22.37M;-3.99%
02/05/2025;1,630;1,630;1,635;1,605;33.17M;2.84%
02/04/2025;1,585;1,600;1,620;1,580;9.94M;-0.31%
02/03/2025;1,590;1,600;1,605;1,560;21.40M;-0.63%
01/31/2025;1,600;1,635;1,635;1,595;30.19M;-1.84%
01/30/2025;1,630;1,650;1,650;1,610;15.52M;-1.21%
