Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,655.00;1,680.00;1,700.00;1,630.00;142.17M;-2.93%
07/30/2025;1,705.00;1,830.00;1,835.00;1,680.00;250.40M;-6.83%
07/29/2025;1,830.00;1,690.00;1,855.00;1,675.00;243.07M;8.28%
07/28/2025;1,690.00;1,630.00;1,710.00;1,630.00;105.68M;4.32%
07/25/2025;1,620.00;1,610.00;1,625.00;1,585.00;51.24M;1.25%
07/24/2025;1,600.00;1,650.00;1,670.00;1,595.00;69.06M;-2.14%
07/23/2025;1,635.00;1,585.00;1,635.00;1,555.00;94.76M;3.15%
07/22/2025;1,585.00;1,675.00;1,690.00;1,580.00;136.83M;-5.09%
07/21/2025;1,670.00;1,660.00;1,720.00;1,630.00;111.04M;0.91%
07/18/2025;1,655.00;1,655.00;1,735.00;1,630.00;192.49M;1.53%
07/17/2025;1,630.00;1,575.00;1,710.00;1,570.00;194.54M;1.24%
07/16/2025;1,610.00;1,645.00;1,645.00;1,530.00;158.94M;-1.53%
07/15/2025;1,635.00;1,510.00;1,645.00;1,500.00;262.15M;10.47%
07/14/2025;1,480.00;1,495.00;1,505.00;1,460.00;104.46M;-0.67%
07/11/2025;1,490.00;1,500.00;1,515.00;1,480.00;64.33M;0.68%
07/10/2025;1,480.00;1,480.00;1,515.00;1,470.00;71.74M;0.34%
07/09/2025;1,475.00;1,465.00;1,480.00;1,445.00;44.59M;0.68%
07/08/2025;1,465.00;1,435.00;1,500.00;1,435.00;128.39M;2.45%
07/07/2025;1,430.00;1,415.00;1,440.00;1,395.00;64.36M;1.78%
07/04/2025;1,405.00;1,465.00;1,465.00;1,400.00;54.73M;-2.43%
07/03/2025;1,440.00;1,370.00;1,450.00;1,370.00;81.56M;5.88%
07/02/2025;1,360.00;1,395.00;1,395.00;1,345.00;66.69M;-1.81%
07/01/2025;1,385.00;1,405.00;1,435.00;1,385.00;75.67M;-2.12%
06/30/2025;1,415.00;1,355.00;1,415.00;1,335.00;201.87M;6.79%
06/26/2025;1,325.00;1,340.00;1,350.00;1,310.00;50.15M;0.38%
06/25/2025;1,320.00;1,350.00;1,370.00;1,315.00;112.20M;-0.38%
06/24/2025;1,325.00;1,370.00;1,380.00;1,265.00;179.64M;0.38%
06/23/2025;1,320.00;1,315.00;1,360.00;1,280.00;160.66M;-4.69%
06/20/2025;1,385.00;1,470.00;1,490.00;1,385.00;160.33M;-5.78%
06/19/2025;1,470.00;1,550.00;1,555.00;1,450.00;131.91M;-5.77%
06/18/2025;1,560.00;1,610.00;1,620.00;1,515.00;196.29M;-3.11%
06/17/2025;1,610.00;1,595.00;1,650.00;1,540.00;276.52M;2.88%
