Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;16,500;16,025;16,500;15,900;13.55M;2.96%
07/30/2025;16,025;15,800;16,800;15,775;20.87M;1.58%
07/29/2025;15,775;15,975;16,150;15,675;12.88M;-1.25%
07/28/2025;15,975;16,025;16,525;15,875;11.62M;-0.16%
07/25/2025;16,000;15,300;16,325;15,200;19.76M;-1.39%
07/24/2025;16,225;16,700;16,900;16,150;21.53M;-2.84%
07/23/2025;16,700;14,975;16,700;14,475;45.08M;10.78%
07/22/2025;15,075;15,675;15,900;14,675;22.59M;-3.52%
07/21/2025;15,625;14,150;15,625;13,725;28.09M;10.42%
07/18/2025;14,150;14,700;14,700;14,100;10.58M;-2.92%
07/17/2025;14,575;14,600;14,750;14,375;5.55M;0.00%
07/16/2025;14,575;14,725;14,850;14,375;13.25M;0.34%
07/15/2025;14,525;14,600;14,700;14,075;12.20M;-0.51%
07/14/2025;14,600;13,875;14,950;13,625;25.17M;7.35%
07/11/2025;13,600;13,525;14,200;13,350;13.58M;0.18%
07/10/2025;13,575;13,600;13,825;13,200;14.07M;0.00%
07/09/2025;13,575;12,200;13,925;12,200;40.24M;11.27%
07/08/2025;12,200;11,450;12,300;11,400;16.34M;6.78%
07/07/2025;11,425;11,200;11,425;11,025;2.74M;2.70%
07/04/2025;11,125;11,075;11,225;11,025;2.11M;0.45%
07/03/2025;11,075;10,950;11,250;10,950;2.28M;1.37%
07/02/2025;10,925;11,350;11,450;10,875;5.79M;-3.74%
07/01/2025;11,350;11,350;11,550;11,300;2.27M;0.44%
06/30/2025;11,300;11,700;11,750;11,300;4.23M;-2.59%
06/26/2025;11,600;11,500;11,775;11,400;5.35M;1.75%
06/25/2025;11,400;11,925;12,100;11,325;10.55M;-3.39%
06/24/2025;11,800;11,325;11,900;11,225;7.93M;7.27%
06/23/2025;11,000;11,150;11,400;10,800;10.88M;-4.56%
06/20/2025;11,525;12,000;12,025;11,350;12.90M;-3.15%
06/19/2025;11,900;12,050;12,500;11,400;25.18M;-0.63%
06/18/2025;11,975;11,150;12,075;11,150;29.05M;7.88%
06/17/2025;11,100;11,375;11,775;11,050;11.96M;-1.33%
06/16/2025;11,250;10,725;11,500;10,700;11.40M;5.14%
06/13/2025;10,700;10,925;10,950;10,650;3.37M;-1.83%
06/12/2025;10,900;11,050;11,100;10,825;3.54M;-0.91%
06/11/2025;11,000;10,725;11,125;10,625;6.15M;3.29%
06/10/2025;10,650;10,900;10,900;10,575;5.49M;-2.29%
06/05/2025;10,900;11,100;11,100;10,775;3.83M;-0.23%
06/04/2025;10,925;10,875;11,125;10,750;6.83M;1.39%
06/03/2025;10,775;10,450;11,000;10,225;7.96M;3.11%
06/02/2025;10,450;10,725;10,775;10,425;5.17M;-2.34%
05/28/2025;10,700;10,800;10,825;10,700;3.10M;-0.23%
05/27/2025;10,725;10,725;10,950;10,700;3.12M;0.00%
05/26/2025;10,725;10,925;11,125;10,725;4.69M;-1.61%
05/23/2025;10,900;11,000;11,125;10,900;4.25M;-1.13%
05/22/2025;11,025;11,175;11,225;10,950;3.41M;-0.90%
05/21/2025;11,125;11,000;11,450;11,000;10.45M;1.83%
05/20/2025;10,925;11,200;11,400;10,675;15.98M;-4.17%
05/19/2025;11,400;11,700;11,775;11,400;6.39M;-2.36%
05/16/2025;11,675;12,300;12,300;11,600;11.27M;-3.31%
05/15/2025;12,075;11,500;12,400;11,450;25.67M;5.92%
05/14/2025;11,400;11,250;11,500;11,125;5.57M;3.64%
05/09/2025;11,000;11,000;11,275;10,975;3.53M;0.00%
05/08/2025;11,000;11,475;11,500;11,000;8.57M;-4.14%
