Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;386;396;398;382;16.55M;-2.53%
07/30/2025;396;404;408;390;34.54M;-1.98%
07/29/2025;404;414;416;402;33.42M;-2.42%
07/28/2025;414;416;422;410;16.65M;-0.48%
07/25/2025;416;416;426;414;15.23M;0.00%
07/24/2025;416;420;430;414;20.68M;-0.48%
07/23/2025;418;416;420;414;11.03M;0.97%
07/22/2025;414;422;428;414;18.50M;-1.90%
07/21/2025;422;428;432;420;30.32M;-0.47%
07/18/2025;424;436;448;424;42.45M;-2.30%
07/17/2025;434;432;440;426;22.40M;1.40%
07/16/2025;428;424;434;422;33.40M;1.90%
07/15/2025;420;420;420;408;27.07M;0.96%
07/14/2025;416;432;434;414;33.24M;-3.70%
07/11/2025;432;436;442;430;18.00M;0.00%
07/10/2025;432;432;440;428;30.81M;0.93%
07/09/2025;428;422;438;418;57.21M;1.90%
07/08/2025;420;418;428;418;12.56M;0.48%
07/07/2025;418;418;428;414;8.67M;-0.48%
07/04/2025;420;426;432;414;27.11M;-1.41%
07/03/2025;426;424;442;422;40.49M;0.95%
07/02/2025;422;434;438;420;16.95M;-2.31%
07/01/2025;432;440;448;432;20.62M;-1.37%
06/30/2025;438;432;444;428;19.52M;2.82%
06/26/2025;426;438;450;426;36.58M;-2.29%
06/25/2025;436;424;440;420;52.61M;4.31%
06/24/2025;418;406;428;404;39.27M;4.50%
06/23/2025;400;398;402;386;47.21M;-4.31%
06/20/2025;418;422;426;404;36.86M;-0.95%
06/19/2025;422;450;452;420;54.76M;-5.38%
06/18/2025;446;450;460;442;34.10M;-0.45%
06/17/2025;448;444;456;442;43.15M;1.36%
06/16/2025;442;452;456;436;52.63M;-3.49%
06/13/2025;458;470;480;456;107.37M;-4.58%
06/12/2025;480;470;488;458;143.44M;2.13%
06/11/2025;470;450;500;448;165.63M;5.38%
06/10/2025;446;460;470;444;30.83M;-1.76%
06/05/2025;454;470;478;450;51.17M;-2.16%
06/04/2025;464;428;472;428;76.12M;8.92%
06/03/2025;426;438;442;418;33.08M;-2.74%
06/02/2025;438;454;464;436;27.98M;-3.52%
05/28/2025;454;454;462;448;28.74M;0.89%
05/27/2025;450;452;464;444;51.62M;0.45%
05/26/2025;448;432;450;428;59.65M;5.16%
05/23/2025;426;458;468;424;84.68M;-6.58%
05/22/2025;456;472;474;454;38.90M;-3.39%
05/21/2025;472;480;482;466;48.42M;-0.84%
05/20/2025;476;464;484;460;100.68M;3.93%
05/19/2025;458;438;464;436;76.57M;4.57%
05/16/2025;438;448;458;434;90.69M;-1.35%
05/15/2025;444;420;456;420;126.87M;5.71%
05/14/2025;420;436;442;420;79.34M;-1.87%
05/09/2025;428;414;428;412;89.18M;4.39%
05/08/2025;410;402;430;400;145.55M;3.54%
05/07/2025;396;400;414;396;36.40M;-0.50%
05/06/2025;398;404;406;396;29.48M;-0.50%
05/05/2025;400;392;408;388;35.14M;2.56%
05/02/2025;390;412;414;384;70.73M;-4.41%
04/30/2025;408;422;424;402;104.30M;-2.86%
04/29/2025;420;370;442;368;294.50M;13.51%
04/28/2025;370;362;370;350;49.86M;3.93%
04/25/2025;356;350;362;346;46.04M;2.89%
04/24/2025;346;346;366;342;87.22M;1.76%
04/23/2025;340;342;348;334;38.79M;0.59%
04/22/2025;338;322;358;322;156.25M;6.29%
04/21/2025;318;326;328;312;32.77M;-1.85%
04/17/2025;324;302;346;302;99.54M;7.28%
04/16/2025;302;308;316;298;19.60M;-1.31%
04/15/2025;306;304;320;304;35.96M;0.66%
04/14/2025;304;286;308;286;36.47M;6.29%
04/11/2025;286;282;292;272;20.76M;0.70%
04/10/2025;284;284;292;272;35.08M;8.40%
04/09/2025;262;270;296;252;39.22M;-2.96%
04/08/2025;270;260;274;260;33.56M;-11.18%
03/27/2025;304;306;342;298;238.35M;4.83%
03/26/2025;290;232;290;232;53.33M;25.00%
03/25/2025;232;228;236;220;10.71M;2.65%
03/24/2025;226;236;236;218;11.11M;-4.24%
03/21/2025;236;242;244;230;11.22M;-0.84%
03/20/2025;238;236;248;236;14.98M;0.85%
03/19/2025;236;232;246;230;16.60M;3.51%
03/18/2025;228;242;242;216;12.60M;-5.00%
03/17/2025;240;244;248;238;3.59M;-0.83%
03/14/2025;242;246;246;240;3.80M;-1.63%
03/13/2025;246;254;254;242;6.80M;-1.60%
03/12/2025;250;250;252;246;4.60M;0.00%
03/11/2025;250;250;256;242;7.64M;0.00%
03/10/2025;250;266;268;250;6.72M;-3.85%
03/07/2025;260;256;266;256;5.06M;-0.76%
03/06/2025;262;258;266;258;12.39M;3.15%
03/05/2025;254;250;262;250;10.42M;3.25%
03/04/2025;246;246;256;240;13.47M;-1.60%
03/03/2025;250;234;254;234;18.67M;8.70%
02/28/2025;230;256;256;230;22.31M;-10.16%
02/27/2025;256;268;270;254;13.12M;-4.48%
02/26/2025;268;264;270;262;8.73M;1.52%
02/25/2025;264;276;284;260;13.68M;-2.94%
02/24/2025;272;280;280;268;9.40M;-2.86%
02/21/2025;280;284;284;274;9.65M;0.72%
02/20/2025;278;282;286;276;8.83M;-0.71%
02/19/2025;280;288;290;280;7.25M;-2.78%
02/18/2025;288;290;294;282;19.55M;0.00%
02/17/2025;288;270;288;268;32.50M;8.27%
02/14/2025;266;272;280;266;21.09M;-1.48%
02/13/2025;270;272;274;268;30.91M;-1.46%
