Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,900;1,990;2,000;1,900;10.23M;-1.04%
07/30/2025;1,920;1,935;1,960;1,910;11.66M;-1.54%
07/29/2025;1,950;1,970;2,010;1,950;8.10M;-0.76%
07/28/2025;1,965;1,955;2,000;1,955;5.46M;0.77%
07/25/2025;1,950;2,000;2,000;1,950;6.44M;-2.01%
07/24/2025;1,990;2,030;2,040;1,980;8.30M;-1.49%
07/23/2025;2,020;1,985;2,080;1,985;18.06M;2.28%
07/22/2025;1,975;1,970;2,020;1,945;43.24M;0.77%
07/21/2025;1,960;1,870;1,970;1,870;55.74M;6.52%
07/18/2025;1,840;1,770;1,860;1,765;27.70M;4.25%
07/17/2025;1,765;1,690;1,770;1,680;13.50M;4.75%
07/16/2025;1,685;1,710;1,740;1,680;8.88M;-0.30%
07/15/2025;1,690;1,605;1,715;1,595;8.27M;5.63%
07/14/2025;1,600;1,625;1,625;1,590;7.64M;-1.54%
07/11/2025;1,625;1,625;1,670;1,625;6.29M;0.00%
07/10/2025;1,625;1,605;1,635;1,600;3.83M;1.25%
07/09/2025;1,605;1,620;1,630;1,605;1.61M;-0.93%
07/08/2025;1,620;1,650;1,650;1,600;2.74M;-0.31%
07/07/2025;1,625;1,600;1,630;1,600;1.54M;1.56%
07/04/2025;1,600;1,605;1,625;1,580;1.96M;0.00%
07/03/2025;1,600;1,570;1,610;1,570;2.21M;2.89%
07/02/2025;1,555;1,585;1,585;1,550;3.94M;-1.27%
07/01/2025;1,575;1,620;1,625;1,575;3.34M;-2.17%
06/30/2025;1,610;1,625;1,635;1,605;4.31M;0.63%
06/26/2025;1,600;1,605;1,620;1,595;1.97M;0.00%
06/25/2025;1,600;1,640;1,650;1,600;3.03M;-1.54%
06/24/2025;1,625;1,580;1,635;1,580;3.55M;3.83%
06/23/2025;1,565;1,595;1,595;1,550;3.53M;-2.49%
06/20/2025;1,605;1,585;1,620;1,550;6.55M;0.94%
06/19/2025;1,590;1,660;1,680;1,550;10.86M;-3.93%
06/18/2025;1,655;1,680;1,685;1,650;3.84M;-0.90%
06/17/2025;1,670;1,700;1,710;1,670;4.43M;-1.76%
06/16/2025;1,700;1,625;1,725;1,625;19.20M;5.26%
06/13/2025;1,615;1,630;1,640;1,605;4.34M;0.00%
06/12/2025;1,615;1,640;1,655;1,610;3.35M;-1.22%
06/11/2025;1,635;1,620;1,650;1,610;6.21M;1.55%
06/10/2025;1,610;1,640;1,655;1,610;8.23M;-1.83%
06/05/2025;1,640;1,735;1,740;1,610;11.00M;-4.37%
06/04/2025;1,715;1,690;1,735;1,685;14.22M;1.78%
06/03/2025;1,685;1,715;1,725;1,680;8.29M;-1.75%
06/02/2025;1,715;1,750;1,750;1,685;12.61M;-2.00%
