Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;2,110;2,100;2,120;2,080;1.08M;0.48%
07/30/2025;2,100;2,130;2,130;2,050;1.09M;-0.94%
07/29/2025;2,120;2,130;2,140;2,050;1.12M;-0.47%
07/28/2025;2,130;2,130;2,140;2,110;966.20K;0.00%
07/25/2025;2,130;2,140;2,140;2,110;1.03M;-0.47%
07/24/2025;2,140;2,130;2,170;2,120;847.00K;0.47%
07/23/2025;2,130;2,150;2,160;2,130;375.10K;-0.93%
07/22/2025;2,150;2,160;2,170;2,140;678.60K;-0.46%
07/21/2025;2,160;2,160;2,200;2,140;971.60K;-0.92%
07/18/2025;2,180;2,170;2,190;2,160;241.10K;0.46%
07/17/2025;2,170;2,190;2,210;2,160;680.60K;-0.91%
07/16/2025;2,190;2,180;2,200;2,170;185.10K;0.46%
07/15/2025;2,180;2,200;2,210;2,160;914.60K;-0.91%
07/14/2025;2,200;2,220;2,230;2,190;512.80K;-0.90%
07/11/2025;2,220;2,200;2,230;2,200;509.60K;0.91%
07/10/2025;2,200;2,210;2,210;2,200;305.90K;-0.45%
07/09/2025;2,210;2,220;2,220;2,200;195.90K;0.45%
07/08/2025;2,200;2,200;2,230;2,200;628.40K;-0.45%
07/07/2025;2,210;2,210;2,230;2,200;82.70K;0.45%
07/04/2025;2,200;2,210;2,210;2,190;408.00K;-0.45%
07/03/2025;2,210;2,200;2,220;2,190;199.10K;0.45%
07/02/2025;2,200;2,220;2,220;2,150;634.30K;-0.90%
07/01/2025;2,220;2,350;2,350;2,210;664.90K;-5.53%
06/30/2025;2,350;2,220;2,350;2,200;2.99M;7.31%
06/26/2025;2,190;2,180;2,230;2,140;1.13M;0.46%
06/25/2025;2,180;2,180;2,180;2,100;873.80K;0.93%
06/24/2025;2,160;2,140;2,170;2,130;537.00K;0.93%
06/23/2025;2,140;2,140;2,150;2,040;2.29M;0.00%
06/20/2025;2,140;2,160;2,170;2,130;1.23M;-0.93%
06/19/2025;2,160;2,230;2,230;2,150;1.17M;-1.37%
06/18/2025;2,190;2,150;2,230;2,130;3.25M;3.79%
06/17/2025;2,110;2,150;2,150;2,080;785.30K;0.00%
06/16/2025;2,110;2,150;2,160;2,110;848.90K;-1.40%
06/13/2025;2,140;2,130;2,160;2,100;1.24M;0.47%
06/12/2025;2,130;2,220;2,220;2,110;2.16M;-3.62%
06/11/2025;2,210;2,180;2,210;2,170;644.20K;2.79%
06/10/2025;2,150;2,250;2,250;2,150;1.76M;-4.02%
06/05/2025;2,240;2,280;2,280;2,210;726.30K;-1.75%
06/04/2025;2,280;2,360;2,360;2,260;504.60K;-0.44%
06/03/2025;2,290;2,340;2,340;2,260;675.30K;-2.14%
06/02/2025;2,340;2,390;2,400;2,310;905.10K;-1.68%
05/28/2025;2,380;2,440;2,450;2,360;3.65M;-1.24%
05/27/2025;2,410;2,300;2,430;2,300;4.16M;4.78%
05/26/2025;2,300;2,280;2,320;2,280;484.80K;1.32%
05/23/2025;2,270;2,300;2,320;2,260;686.10K;-1.30%
05/22/2025;2,300;2,310;2,340;2,280;635.20K;-0.43%
05/21/2025;2,310;2,340;2,340;2,300;984.80K;-1.28%
05/20/2025;2,340;2,400;2,400;2,330;632.50K;-1.68%
05/19/2025;2,380;2,350;2,380;2,320;737.10K;1.71%
05/16/2025;2,340;2,350;2,370;2,330;584.10K;-0.43%
05/15/2025;2,350;2,320;2,350;2,290;904.80K;2.17%
05/14/2025;2,300;2,410;2,440;2,280;1.85M;-4.17%
05/09/2025;2,400;2,420;2,420;2,380;760.50K;-0.83%
05/08/2025;2,420;2,420;2,430;2,400;345.50K;0.00%
05/07/2025;2,420;2,450;2,470;2,420;1.19M;-0.41%
05/06/2025;2,430;2,410;2,440;2,390;1.76M;0.83%
05/05/2025;2,410;2,490;2,500;2,400;1.19M;-3.21%
05/02/2025;2,490;2,600;2,600;2,430;1.83M;-4.23%
04/30/2025;2,600;2,380;2,680;2,350;2.86M;9.24%
04/29/2025;2,380;2,330;2,400;2,320;1.18M;2.15%
04/28/2025;2,330;2,300;2,340;2,250;2.08M;2.64%
04/25/2025;2,270;2,200;2,280;2,160;3.13M;3.65%
04/24/2025;2,190;2,110;2,200;2,080;2.57M;4.29%
04/23/2025;2,100;2,100;2,120;2,060;890.90K;0.48%
04/22/2025;2,090;2,130;2,140;2,050;1.81M;-1.42%
04/21/2025;2,120;2,040;2,130;2,040;1.36M;4.43%
04/17/2025;2,030;2,040;2,090;2,020;2.80M;0.00%
04/16/2025;2,030;2,120;2,140;2,030;1.88M;-4.25%
04/15/2025;2,120;2,140;2,230;2,090;3.98M;-0.93%
04/14/2025;2,140;2,160;2,200;2,130;1.75M;-0.47%
04/11/2025;2,150;2,240;2,240;2,100;2.14M;-2.71%
04/10/2025;2,210;2,260;2,370;2,200;1.95M;-1.34%
04/09/2025;2,240;2,190;2,270;2,190;205.70K;3.23%
04/08/2025;2,170;2,300;2,350;2,160;3.12M;-13.20%
03/27/2025;2,500;2,430;2,530;2,300;6.24M;3.73%
03/26/2025;2,410;2,400;2,450;2,400;786.70K;1.26%
03/25/2025;2,380;2,400;2,400;2,350;945.50K;-0.83%
03/24/2025;2,400;2,400;2,500;2,310;2.43M;0.00%
03/21/2025;2,400;2,540;2,580;2,400;20.66M;-4.76%
03/20/2025;2,520;2,510;2,650;2,510;1.53M;0.40%
03/19/2025;2,510;2,500;2,540;2,500;111.90K;0.40%
03/18/2025;2,500;2,530;2,550;2,500;642.70K;-1.57%
03/17/2025;2,540;2,520;2,570;2,510;325.90K;0.00%
03/14/2025;2,540;2,530;2,630;2,510;414.30K;0.40%
03/13/2025;2,530;2,520;2,560;2,520;320.20K;0.40%
03/12/2025;2,520;2,570;2,570;2,520;134.90K;-1.95%
03/11/2025;2,570;2,590;2,590;2,510;565.80K;-0.77%
03/10/2025;2,590;2,600;2,640;2,560;571.70K;-0.38%
03/07/2025;2,600;2,620;2,660;2,600;911.20K;-0.76%
03/06/2025;2,620;2,640;2,710;2,600;1.80M;1.16%
03/05/2025;2,590;2,680;2,750;2,590;1.12M;-3.36%
03/04/2025;2,680;2,790;2,840;2,660;1.43M;-3.25%
03/03/2025;2,770;2,700;2,900;2,700;2.27M;1.09%
02/28/2025;2,740;2,730;2,750;2,640;5.16M;0.37%
02/27/2025;2,730;2,790;2,880;2,730;2.14M;-5.86%
02/26/2025;2,900;2,900;2,900;2,810;1.32M;0.00%
02/25/2025;2,900;2,900;2,900;2,880;235.10K;0.00%
02/24/2025;2,900;2,960;2,960;2,900;301.00K;-2.03%
02/21/2025;2,960;2,920;2,980;2,900;811.70K;1.37%
