Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;2,880;2,890;2,930;2,860;201.07M;0.00%
07/30/2025;2,880;2,890;2,890;2,850;99.06M;0.00%
07/29/2025;2,880;2,870;2,880;2,840;46.36M;0.70%
07/28/2025;2,860;2,870;2,870;2,830;40.19M;1.42%
07/25/2025;2,820;2,810;2,830;2,780;41.30M;-0.70%
07/24/2025;2,840;2,860;2,870;2,800;74.22M;-0.35%
07/23/2025;2,850;2,870;2,870;2,840;86.08M;0.00%
07/22/2025;2,850;2,800;2,850;2,800;108.24M;1.79%
07/21/2025;2,800;2,800;2,800;2,750;52.55M;1.08%
07/18/2025;2,770;2,800;2,800;2,750;83.76M;0.00%
07/17/2025;2,770;2,700;2,770;2,660;102.64M;4.53%
07/16/2025;2,650;2,660;2,680;2,650;43.39M;0.38%
07/15/2025;2,640;2,690;2,690;2,640;35.31M;-1.86%
07/14/2025;2,690;2,700;2,710;2,640;60.46M;-1.47%
07/11/2025;2,730;2,710;2,730;2,690;47.85M;1.49%
07/10/2025;2,690;2,690;2,710;2,650;41.11M;0.75%
07/09/2025;2,670;2,650;2,680;2,640;44.90M;0.75%
07/08/2025;2,650;2,680;2,700;2,640;45.93M;-1.85%
07/07/2025;2,700;2,630;2,700;2,610;33.45M;2.66%
07/04/2025;2,630;2,710;2,720;2,620;53.59M;-2.95%
07/03/2025;2,710;2,780;2,810;2,690;69.09M;-2.52%
07/02/2025;2,780;2,820;2,820;2,730;92.32M;-1.07%
07/01/2025;2,810;2,800;2,810;2,760;73.03M;1.08%
06/30/2025;2,780;2,780;2,790;2,730;124.30M;2.58%
06/26/2025;2,710;2,620;2,710;2,590;132.87M;3.44%
06/25/2025;2,620;2,650;2,650;2,560;79.96M;1.16%
06/24/2025;2,590;2,600;2,670;2,580;107.30M;0.39%
06/23/2025;2,580;2,610;2,610;2,560;73.55M;-2.27%
06/20/2025;2,640;2,700;2,710;2,640;243.03M;-1.86%
06/19/2025;2,690;2,740;2,780;2,630;98.91M;-2.89%
06/18/2025;2,770;2,770;2,800;2,760;70.76M;0.36%
06/17/2025;2,760;2,800;2,800;2,760;59.64M;0.73%
06/16/2025;2,740;2,740;2,770;2,730;46.64M;0.00%
06/13/2025;2,740;2,770;2,770;2,720;81.11M;-1.44%
06/12/2025;2,780;2,830;2,830;2,750;97.10M;-0.71%
06/11/2025;2,800;2,750;2,810;2,730;200.61M;-3.78%
06/10/2025;2,910;2,920;2,920;2,880;213.56M;2.46%
06/05/2025;2,840;2,850;2,850;2,820;95.01M;0.71%
06/04/2025;2,820;2,810;2,860;2,810;125.01M;0.71%
06/03/2025;2,800;2,780;2,830;2,730;142.90M;0.72%
