Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,450;1,435;1,515;1,430;49.50M;1.05%
07/30/2025;1,435;1,425;1,465;1,405;28.82M;2.87%
07/29/2025;1,395;1,365;1,455;1,360;36.62M;2.95%
07/28/2025;1,355;1,350;1,370;1,300;25.05M;0.37%
07/25/2025;1,350;1,375;1,390;1,350;10.55M;-1.46%
07/24/2025;1,370;1,310;1,390;1,310;27.28M;4.58%
07/23/2025;1,310;1,335;1,345;1,305;11.48M;-1.87%
07/22/2025;1,335;1,315;1,340;1,290;18.13M;1.14%
07/21/2025;1,320;1,260;1,340;1,260;29.13M;4.76%
07/18/2025;1,260;1,290;1,295;1,200;22.96M;-1.95%
07/17/2025;1,285;1,270;1,290;1,250;20.45M;1.18%
07/16/2025;1,270;1,180;1,275;1,180;60.21M;8.09%
07/15/2025;1,175;1,125;1,220;1,110;36.37M;4.44%
07/14/2025;1,125;1,145;1,160;1,125;15.72M;-1.75%
07/11/2025;1,145;1,100;1,145;1,085;13.99M;4.09%
07/10/2025;1,100;1,125;1,150;1,080;32.07M;-2.22%
07/09/2025;1,125;1,010;1,140;1,010;64.50M;11.39%
07/08/2025;1,010;975;1,010;975;13.14M;3.59%
07/07/2025;975;985;985;970;4.78M;-1.02%
07/04/2025;985;990;995;975;4.62M;0.00%
07/03/2025;985;990;1,000;980;3.96M;-0.51%
07/02/2025;990;1,000;1,000;985;8.67M;-1.00%
07/01/2025;1,000;995;1,010;980;17.08M;1.01%
06/30/2025;990;960;995;960;8.08M;3.13%
06/26/2025;960;955;970;955;5.01M;0.52%
06/25/2025;955;960;960;945;6.23M;-0.52%
06/24/2025;960;960;985;960;9.29M;0.00%
06/23/2025;960;960;970;930;11.02M;-0.52%
06/20/2025;965;955;975;950;12.76M;1.05%
06/19/2025;955;975;975;945;13.71M;-2.05%
06/18/2025;975;1,020;1,020;975;18.13M;-3.94%
06/17/2025;1,015;995;1,015;995;16.68M;2.53%
06/16/2025;990;980;1,000;980;15.43M;1.54%
06/13/2025;975;980;985;970;12.92M;-0.51%
06/12/2025;980;975;990;965;15.01M;0.51%
06/11/2025;975;970;975;960;20.07M;1.56%
06/10/2025;960;940;965;930;22.48M;3.23%
06/05/2025;930;940;940;920;8.26M;0.00%
06/04/2025;930;940;945;925;14.04M;0.00%
06/03/2025;930;915;935;895;15.81M;1.64%
06/02/2025;915;910;920;890;10.48M;1.10%
05/28/2025;905;920;920;905;10.64M;-1.09%
05/27/2025;915;920;930;910;6.90M;-0.54%
05/26/2025;920;930;935;900;27.23M;-0.54%
05/23/2025;925;940;945;920;16.21M;-1.60%
05/22/2025;940;975;975;935;23.84M;-2.08%
05/21/2025;960;960;975;955;19.53M;1.05%
05/20/2025;950;925;960;925;29.71M;2.70%
05/19/2025;925;915;935;905;14.88M;1.65%
05/16/2025;910;920;925;905;15.59M;-0.55%
05/15/2025;915;900;935;900;28.66M;1.67%
05/14/2025;900;885;915;885;40.99M;2.27%
05/09/2025;880;890;900;865;20.24M;-1.12%
05/08/2025;890;915;925;885;58.58M;-9.18%
05/07/2025;980;970;990;970;60.66M;1.03%
05/06/2025;970;990;995;960;39.12M;-2.02%
05/05/2025;990;990;1,000;980;42.94M;0.51%
05/02/2025;985;975;995;970;27.99M;1.03%
04/30/2025;975;1,005;1,020;975;37.08M;-2.99%
04/29/2025;1,005;1,020;1,025;970;45.37M;-1.47%
04/28/2025;1,020;1,020;1,060;970;61.17M;0.99%
04/25/2025;1,010;975;1,025;975;51.52M;4.66%
04/24/2025;965;965;980;965;17.10M;1.05%
04/23/2025;955;935;960;935;14.46M;2.14%
04/22/2025;935;935;945;925;9.82M;0.54%
