Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;1,710;1,570;1,740;1,525;213.62M;11.76%
07/30/2025;1,530;1,555;1,560;1,525;16.04M;-1.61%
07/29/2025;1,555;1,560;1,575;1,540;29.89M;0.00%
07/28/2025;1,555;1,545;1,580;1,545;26.63M;0.65%
07/25/2025;1,545;1,595;1,610;1,540;14.12M;-2.52%
07/24/2025;1,585;1,570;1,625;1,570;24.66M;0.96%
07/23/2025;1,570;1,580;1,590;1,535;15.74M;0.00%
07/22/2025;1,570;1,550;1,585;1,550;15.94M;1.29%
07/21/2025;1,550;1,515;1,590;1,515;25.04M;2.65%
07/18/2025;1,510;1,580;1,595;1,510;23.32M;-4.13%
07/17/2025;1,575;1,560;1,610;1,550;24.87M;0.96%
07/16/2025;1,560;1,565;1,575;1,540;14.18M;-0.64%
07/15/2025;1,570;1,575;1,580;1,545;9.13M;-0.32%
07/14/2025;1,575;1,575;1,600;1,550;12.78M;0.00%
07/11/2025;1,575;1,585;1,620;1,570;30.40M;-0.32%
07/10/2025;1,580;1,515;1,600;1,485;38.37M;4.29%
07/09/2025;1,515;1,520;1,520;1,485;8.63M;-0.33%
07/08/2025;1,520;1,560;1,560;1,515;18.96M;-2.56%
07/07/2025;1,560;1,565;1,570;1,525;16.93M;0.97%
07/04/2025;1,545;1,600;1,605;1,515;38.93M;-3.13%
07/03/2025;1,595;1,470;1,625;1,455;55.97M;8.50%
07/02/2025;1,470;1,480;1,530;1,450;37.64M;0.00%
07/01/2025;1,470;1,445;1,485;1,430;22.38M;1.38%
06/30/2025;1,450;1,475;1,475;1,450;17.20M;-0.68%
06/26/2025;1,460;1,450;1,460;1,425;9.13M;0.34%
06/25/2025;1,455;1,470;1,470;1,430;24.25M;0.69%
06/24/2025;1,445;1,400;1,465;1,400;47.07M;5.86%
06/23/2025;1,365;1,340;1,390;1,305;48.23M;-1.09%
06/20/2025;1,380;1,440;1,455;1,380;31.26M;-4.83%
06/19/2025;1,450;1,460;1,470;1,420;27.28M;-1.36%
